task_id,choice,raw_output
1,B,B
2,B,B
3,B,B
4,B,B
5,B,B
6,B,B
7,B,B
8,B,B
9,A,A
10,A,A
11,A,A
12,A,A
13,B,B
14,B,B
15,B,B
16,B,B
17,B,B
18,B,B
19,B,B
20,B,B
21,B,B
22,B,B
23,B,B
24,B,B
25,B,B
26,A,A
27,A,A
28,B,B
29,B,B
30,A,A
31,B,B
32,B,B
33,B,B
34,B,B
35,B,B
36,B,B
37,B,B
38,B,B
39,B,B
40,B,B
41,B,B
42,B,B
43,B,B
44,B,B
45,B,B
46,B,B
47,B,B
48,B,B
49,B,B
50,A,A
51,A,A
52,A,A
53,B,B
54,B,B
55,B,B
56,B,B
57,B,B
58,B,B
59,B,B
60,B,B
61,A,A
62,B,B
63,A,A
64,B,B
65,B,B
66,B,B
67,B,B
68,B,B
69,B,B
70,A,A
71,B,B
72,A,A
73,A,A
74,A,A
75,B,B
76,B,B
77,B,B
78,B,B
79,B,B
80,B,B
81,A,A
82,A,A
83,A,A
84,A,A
85,B,B
86,A,A
87,B,B
88,A,A
89,B,B
90,B,B
91,B,B
92,B,B
93,B,B
94,B,B
95,B,B
96,B,B
97,A,A
98,B,B
99,A,A
100,B,B
101,B,B
102,B,B
103,B,B
104,B,B
105,A,A
106,B,B
107,A,A
108,B,B
109,A,A
110,A,A
111,A,A
112,A,A
113,A,A
114,B,B
115,B,B
116,A,A
117,B,B
118,A,A
119,A,A
120,B,B
121,B,B
122,A,A
123,B,B
124,A,A
125,A,A
126,A,A
127,A,A
128,A,A
129,B,B
130,B,B
131,A,A
132,A,A
133,B,B
134,B,B
135,B,B
136,B,B
137,B,B
138,B,B
139,B,B
140,A,A
141,B,B
142,B,B
143,B,B
144,B,B
145,B,B
146,B,B
147,B,B
148,B,B
149,B,B
150,A,A
151,A,A
152,B,B
153,B,B
154,B,B
155,B,B
156,A,A
157,A,A
158,B,B
159,B,B
160,A,A
161,A,A
162,B,B
163,B,B
164,B,B
165,A,A
166,A,A
167,A,A
168,A,A
169,A,A
170,A,A
171,A,A
172,B,B
173,A,A
174,B,B
175,B,B
176,A,A
177,A,A
178,B,B
179,A,A
180,A,A
181,A,A
182,B,B
183,B,B
184,B,B
185,B,B
186,A,A
187,A,A
188,A,A
189,B,B
190,A,A
191,A,A
192,B,B
193,A,A
194,A,A
195,B,B
196,A,A
197,B,B
198,A,A
199,B,B
200,B,B
201,A,A
202,B,B
203,A,A
204,A,A
205,B,B
206,A,A
207,A,A
208,A,A
209,B,B
210,A,A
211,A,A
212,A,A
213,B,B
214,A,A
215,B,B
216,A,A
217,A,A
218,A,A
219,A,A
220,A,A
221,A,A
222,A,A
223,B,B
224,A,A
225,B,B
226,A,A
227,A,A
228,B,B
229,A,A
230,B,B
231,A,A
232,B,B
233,A,A
234,A,A
235,A,A
236,A,A
237,B,B
238,A,A
239,A,A
240,A,A
241,B,B
242,A,A
243,A,A
244,B,B
245,A,A
246,A,A
247,A,A
248,A,A
249,B,B
250,B,B
251,B,B
252,A,A
253,B,B
254,B,B
255,B,B
256,A,A
257,B,B
258,B,B
259,B,B
260,B,B
261,B,B
262,B,B
263,B,B
264,B,B
265,B,B
266,A,A
267,A,A
268,B,B
269,A,A
270,A,A
271,A,A
272,B,B
273,B,B
274,B,B
275,A,A
276,B,B
277,A,A
278,A,A
279,A,A
280,A,A
281,A,A
282,A,A
283,A,A
284,A,A
285,A,A
286,A,A
287,A,A
288,A,A
289,A,A
290,A,A
291,A,A
292,A,A
293,B,B
294,B,B
295,B,B
296,B,B
297,A,A
298,A,A
299,A,A
300,A,A
301,A,A
302,B,B
303,A,A
304,A,A
305,A,A
306,B,B
307,A,A
308,B,B
309,B,B
310,B,B
311,A,A
312,A,A
313,A,A
314,A,A
315,A,A
316,A,A
317,B,B
318,A,A
319,B,B
320,A,A
321,A,A
322,A,A
323,A,A
324,A,A
325,A,A
326,B,B
327,A,A
328,B,B
329,B,B
330,A,A
331,A,A
332,B,B
333,B,B
334,B,B
335,B,B
336,A,A
337,A,A
338,A,A
339,A,A
340,A,A
341,B,B
342,B,B
343,B,B
344,B,B
345,B,B
346,B,B
347,B,B
348,B,B
349,A,A
350,B,B
351,B,B
352,A,A
353,A,A
354,A,A
355,B,B
356,A,A
357,A,A
358,A,A
359,B,B
360,A,A
361,B,B
362,B,B
363,B,B
364,B,B
365,A,A
366,B,B
367,A,A
368,B,B
369,A,A
370,A,A
371,A,A
372,A,A
373,B,B
374,B,B
375,B,B
376,B,B
377,A,A
378,B,B
379,B,B
380,B,B
381,B,B
382,B,B
383,B,B
384,B,B
385,A,A
386,A,A
387,A,A
388,A,A
389,B,B
390,A,A
391,B,B
392,A,A
393,A,A
394,A,A
395,A,A
396,B,B
397,B,B
398,A,A
399,A,A
400,A,A
401,A,A
402,A,A
403,B,B
404,A,A
405,A,A
406,A,A
407,A,A
408,A,A
409,B,B
410,B,B
411,B,B
412,A,A
413,B,B
414,B,B
415,B,B
416,A,A
417,A,A
418,A,A
419,A,A
420,B,B
421,B,B
422,B,B
423,B,B
424,A,A
425,B,B
426,B,B
427,B,B
428,A,A
429,A,A
430,A,A
431,A,A
432,A,A
433,B,B
434,B,B
435,B,B
436,B,B
437,B,B
438,B,B
439,A,A
440,B,B
441,B,B
442,B,B
443,A,A
444,B,B
445,B,B
446,B,B
447,B,B
448,B,B
449,B,B
450,A,A
451,B,B
452,B,B
453,B,B
454,B,B
455,B,B
456,A,A
457,A,A
458,A,A
459,A,A
460,A,A
461,B,B
462,B,B
463,B,B
464,B,B
465,A,A
466,A,A
467,A,A
468,A,A
469,A,A
470,A,A
471,A,A
472,A,A
473,A,A
474,A,A
475,A,A
476,A,A
477,A,A
478,B,B
479,A,A
480,B,B
481,B,B
482,A,A
483,B,B
484,B,B
485,B,B
486,B,B
487,B,B
488,A,A
489,B,B
490,A,A
491,B,B
492,B,B
493,A,A
494,A,A
495,B,B
496,A,A
497,A,A
498,A,A
499,A,A
500,A,A
501,,
502,A,A
503,A,A
504,A,A
505,A,A
506,A,A
507,B,B
508,A,A
509,A,A
510,A,A
511,A,A
512,A,A
513,B,B
514,A,A
515,A,A
516,A,A
517,A,A
518,A,A
519,A,A
520,B,B
521,A,A
522,A,A
523,A,A
524,A,A
525,B,B
526,B,B
527,B,B
528,B,B
529,B,B
530,A,A
531,B,B
532,B,B
533,B,B
534,B,B
535,B,B
536,B,B
537,B,B
538,B,B
539,B,B
540,B,B
541,B,B
542,A,A
543,A,A
544,A,A
545,B,B
546,A,A
547,A,A
548,B,B
549,A,A
550,A,A
551,A,A
552,A,A
553,B,B
554,A,A
555,B,B
556,B,B
557,A,A
558,A,A
559,A,A
560,A,A
561,A,A
562,A,A
563,A,A
564,B,B
565,A,A
566,A,A
567,B,B
568,A,A
569,A,A
570,A,A
571,A,A
572,B,B
573,A,A
574,A,A
575,A,A
576,A,A
577,A,A
578,A,A
579,A,A
580,A,A
581,A,A
582,A,A
583,A,A
584,A,A
585,A,A
586,A,A
587,B,B
588,B,B
589,B,B
590,B,B
591,B,B
592,B,B
593,A,A
594,A,A
595,A,A
596,A,A
597,A,A
598,B,B
599,B,B
600,A,A
601,A,A
602,A,A
603,A,A
604,A,A
605,B,B
606,B,B
607,A,A
608,A,A
609,A,A
610,,
611,A,A
612,A,A
613,A,A
614,A,A
615,B,B
616,B,B
617,A,A
618,A,A
619,A,A
620,A,A
621,A,A
622,A,A
623,B,B
624,B,B
625,B,B
626,A,A
627,B,B
628,A,A
629,A,A
630,A,A
631,A,A
632,A,A
633,B,B
634,B,B
635,B,B
636,A,A
637,B,B
638,A,A
639,B,B
640,B,B
641,A,A
642,A,A
643,A,A
644,B,B
645,B,B
646,B,B
647,B,B
648,B,B
649,A,A
650,A,A
651,B,B
652,A,A
653,A,A
654,A,A
655,A,A
656,B,B
657,B,B
658,B,B
659,B,B
660,B,B
661,B,B
662,B,B
663,A,A
664,A,A
665,B,B
666,B,B
667,B,B
668,B,B
669,B,B
670,B,B
671,B,B
672,B,B
673,B,B
674,A,A
675,B,B
676,A,A
677,B,B
678,A,A
679,B,B
680,A,A
681,B,B
682,B,B
683,A,A
684,A,A
685,A,A
686,A,A
687,A,A
688,A,A
689,B,B
690,B,B
691,B,B
692,A,A
693,B,B
694,A,A
695,B,B
696,A,A
697,B,B
698,B,B
699,A,A
700,A,A
701,A,A
702,A,A
703,A,A
704,A,A
705,A,A
706,A,A
707,A,A
708,A,A
709,B,B
710,B,B
711,A,A
712,A,A
713,B,B
714,A,A
715,B,B
716,A,A
717,B,B
718,A,A
719,A,A
720,B,B
721,B,B
722,A,A
723,A,A
724,A,A
725,B,B
726,B,B
727,B,B
728,B,B
729,A,A
730,B,B
731,B,B
732,B,B
733,B,B
734,A,A
735,A,A
736,B,B
737,A,A
738,A,A
739,A,A
740,A,A
741,A,A
742,A,A
743,A,A
744,A,A
745,A,A
746,A,A
747,B,B
748,B,B
749,B,B
750,B,B
751,A,A
752,B,B
753,A,A
754,A,A
755,A,A
756,A,A
757,A,A
758,A,A
759,A,A
760,B,B
761,A,A
762,A,A
763,A,A
764,A,A
765,A,A
766,A,A
767,A,A
768,A,A
769,A,A
770,A,A
771,B,B
772,B,B
773,A,A
774,A,A
775,B,B
776,A,A
777,B,B
778,A,A
779,B,B
780,A,A
781,A,A
782,A,A
783,A,A
784,A,A
785,B,B
786,B,B
787,A,A
788,B,B
789,A,A
790,A,A
791,A,A
792,A,A
793,A,A
794,A,A
795,A,A
796,A,A
797,A,A
798,A,A
799,A,A
800,A,A
801,B,B
802,B,B
803,B,B
804,B,B
805,A,A
806,A,A
807,A,A
808,A,A
809,A,A
810,B,B
811,B,B
812,A,A
813,B,B
814,B,B
815,A,A
816,B,B
817,B,B
818,A,A
819,A,A
820,B,B
821,A,A
822,A,A
823,B,B
824,A,A
825,B,B
826,B,B
827,A,A
828,B,B
829,B,B
830,A,A
831,A,A
832,A,A
833,B,B
834,B,B
835,B,B
836,B,B
837,A,A
838,B,B
839,A,A
840,A,A
841,A,A
842,A,A
843,A,A
844,B,B
845,B,B
846,A,A
847,A,A
848,A,A
849,A,A
850,A,A
851,A,A
852,A,A
853,A,A
854,A,A
