task_id,choice,raw_output
10001,B,A
10002,B,A
10003,B,A
10004,B,A
10005,B,A
10006,B,A
10007,B,A
10008,B,A
10009,B,A
10010,B,A
10011,A,B
10012,B,A
10013,B,A
10014,B,A
10015,B,A
10016,B,A
10017,B,A
10018,B,A
10019,B,A
10020,B,A
10021,B,A
10022,A,B
10023,B,A
10024,B,A
10025,B,A
10026,A,B
10027,A,B
10028,B,A
10029,B,A
10030,A,B
10031,B,A
10032,B,A
10033,B,A
10034,B,A
10035,B,A
10036,B,A
10037,B,A
10038,B,A
10039,B,A
10040,B,A
10041,B,A
10042,B,A
10043,B,A
10044,B,A
10045,B,A
10046,B,A
10047,B,A
10048,B,A
10049,B,A
10050,B,A
10051,B,A
10052,B,A
10053,B,A
10054,B,A
10055,B,A
10056,B,A
10057,B,A
10058,B,A
10059,B,A
10060,B,A
10061,A,B
10062,B,A
10063,B,A
10064,B,A
10065,B,A
10066,B,A
10067,B,A
10068,B,A
10069,B,A
10070,B,A
10071,B,A
10072,A,B
10073,B,A
10074,A,B
10075,A,B
10076,B,A
10077,A,B
10078,B,A
10079,B,A
10080,B,A
10081,B,A
10082,A,B
10083,B,A
10084,B,A
10085,B,A
10086,A,B
10087,B,A
10088,A,B
10089,B,A
10090,B,A
10091,B,A
10092,B,A
10093,B,A
10094,B,A
10095,A,B
10096,B,A
10097,A,B
10098,B,A
10099,A,B
10100,B,A
10101,B,A
10102,B,A
10103,B,A
10104,B,A
10105,B,A
10106,B,A
10107,B,A
10108,B,A
10109,A,B
10110,A,B
10111,A,B
10112,A,B
10113,A,B
10114,A,B
10115,A,B
10116,A,B
10117,B,A
10118,A,B
10119,A,B
10120,A,B
10121,A,B
10122,B,A
10123,A,B
10124,A,B
10125,A,B
10126,A,B
10127,A,B
10128,A,B
10129,A,B
10130,B,A
10131,A,B
10132,A,B
10133,B,A
10134,B,A
10135,B,A
10136,A,B
10137,B,A
10138,B,A
10139,A,B
10140,A,B
10141,B,A
10142,A,B
10143,A,B
10144,B,A
10145,B,A
10146,B,A
10147,B,A
10148,B,A
10149,A,B
10150,A,B
10151,A,B
10152,A,B
10153,B,A
10154,B,A
10155,B,A
10156,A,B
10157,A,B
10158,A,B
10159,B,A
10160,A,B
