task_id,choice,raw_output
10001,B,D
10002,D,B
10003,A,E
10004,D,B
10005,D,B
10006,B,D
10007,A,E
10008,B,D
10009,B,D
10010,D,B
10011,B,D
10012,B,D
10013,C,C
10014,D,B
10015,C,C
10016,B,D
10017,A,E
10018,C,C
10019,B,D
10020,B,D
10021,C,C
10022,C,C
10023,D,B
10024,B,D
10025,C,C
10026,D,B
10027,C,C
10028,D,B
10029,C,C
10030,A,E
10031,C,C
10032,A,E
10033,E,A
10034,B,D
10035,A,E
10036,A,E
10037,A,E
10038,E,A
10039,D,B
10040,D,B
10041,B,D
10042,A,E
10043,D,B
10044,E,A
10045,A,E
10046,D,B
10047,C,C
10048,D,B
10049,D,B
10050,B,D
10051,D,B
10052,D,B
10053,B,D
10054,A,E
10055,B,D
10056,C,C
10057,A,E
10058,B,D
10059,D,B
10060,C,C
10061,B,D
10062,B,D
10063,A,E
10064,D,B
10065,D,B
10066,A,E
10067,C,C
10068,B,D
10069,D,B
10070,B,D
10071,D,B
10072,B,D
10073,B,D
10074,C,C
10075,C,C
10076,A,E
10077,D,B
10078,D,B
10079,A,E
10080,B,D
10081,D,B
10082,A,E
10083,D,B
10084,B,D
10085,B,D
10086,A,E
10087,B,D
10088,C,C
10089,B,D
10090,B,D
10091,B,D
10092,B,D
10093,B,D
10094,C,C
10095,E,A
10096,E,A
10097,A,E
10098,A,E
10099,D,B
10100,A,E
10101,D,B
10102,D,B
10103,C,C
10104,C,C
10105,B,D
10106,D,B
10107,C,C
10108,D,B
10109,B,D
10110,B,D
10111,D,B
10112,A,E
10113,C,C
10114,B,D
10115,D,B
10116,B,D
10117,D,B
10118,A,E
10119,C,C
10120,D,B
10121,C,C
10122,A,E
10123,A,E
10124,B,D
10125,A,E
10126,B,D
10127,B,D
10128,D,B
10129,D,B
10130,D,B
10131,B,D
10132,C,C
10133,C,C
10134,D,B
10135,C,C
10136,A,E
10137,B,D
10138,B,D
10139,E,A
10140,C,C
10141,D,B
10142,B,D
10143,C,C
10144,C,C
10145,B,D
10146,A,E
10147,A,E
10148,C,C
10149,B,D
10150,B,D
10151,A,E
10152,B,D
10153,A,E
10154,C,C
10155,C,C
10156,C,C
10157,C,C
10158,A,E
10159,D,B
10160,B,D
10161,D,B
10162,B,D
10163,C,C
10164,B,D
10165,D,B
10166,D,B
10167,A,E
10168,D,B
10169,B,D
10170,A,E
10171,C,C
10172,C,C
10173,C,C
10174,B,D
10175,D,B
10176,D,B
10177,D,B
10178,A,E
10179,E,A
10180,A,E
10181,A,E
10182,B,D
10183,E,A
10184,D,B
10185,C,C
10186,C,C
10187,C,C
10188,D,B
10189,B,D
10190,B,D
10191,A,E
10192,D,B
10193,B,D
10194,C,C
10195,C,C
10196,C,C
10197,A,E
10198,B,D
10199,C,C
10200,B,D
10201,C,C
10202,A,E
10203,B,D
10204,D,B
10205,C,C
10206,B,D
10207,B,D
10208,D,B
10209,A,E
10210,B,D
10211,A,E
10212,B,D
10213,B,D
10214,C,C
10215,A,E
10216,B,D
10217,C,C
10218,A,E
10219,C,C
10220,B,D
10221,B,D
10222,D,B
10223,D,B
10224,B,D
10225,C,C
10226,D,B
10227,B,D
10228,B,D
10229,D,B
10230,D,B
10231,E,A
10232,C,C
10233,B,D
10234,D,B
10235,B,D
10236,D,B
10237,D,B
10238,D,B
10239,C,C
10240,E,A
10241,D,B
10242,C,C
10243,D,B
10244,B,D
10245,C,C
10246,A,E
10247,C,C
10248,C,C
10249,A,E
10250,C,C
10251,B,D
10252,B,D
10253,D,B
10254,B,D
10255,D,B
10256,A,E
10257,A,E
10258,E,A
10259,C,C
10260,A,E
10261,C,C
10262,A,E
10263,C,C
10264,B,D
10265,C,C
10266,C,C
10267,E,A
10268,D,B
10269,C,C
10270,B,D
10271,E,A
10272,C,C
10273,D,B
10274,A,E
10275,B,D
10276,D,B
10277,B,D
10278,C,C
10279,C,C
10280,D,B
10281,B,D
10282,B,D
10283,C,C
10284,B,D
10285,B,D
10286,D,B
10287,E,A
10288,B,D
10289,B,D
10290,A,E
10291,E,A
10292,B,D
10293,E,A
10294,C,C
10295,B,D
10296,C,C
10297,B,D
10298,D,B
10299,B,D
10300,B,D
