task_id,choice,raw_output
10001,A,B
10002,A,B
10005,B,A
10006,A,B
10009,A,B
10010,A,B
10013,A,B
10014,A,B
10017,A,B
10018,A,B
10021,B,A
10022,A,B
10025,A,B
10026,A,B
10029,A,B
10030,A,B
10033,B,A
10034,B,A
10037,B,A
10038,B,A
10041,B,A
10042,B,A
10045,A,B
10046,B,A
10049,B,A
10050,A,B
10053,B,A
10054,B,A
10057,B,A
10058,B,A
10061,A,B
10062,A,B
10065,B,A
10066,B,A
10069,A,B
10070,A,B
10073,A,B
10074,A,B
10077,A,B
10078,B,A
10081,A,B
10082,A,B
10085,B,A
10086,A,B
10089,A,B
10090,B,A
10093,B,A
10094,A,B
10097,A,B
10098,A,B
10101,B,A
10102,B,A
10105,A,B
10106,B,A
10109,A,B
10110,A,B
10113,A,B
10114,A,B
10117,B,A
10118,A,B
10121,A,B
10122,A,B
10125,A,B
10126,A,B
10129,A,B
10130,B,A
10133,A,B
10134,B,A
10137,B,A
10138,B,A
10141,A,B
10142,A,B
10145,B,A
10146,B,A
10149,A,B
10150,A,B
10153,A,B
10154,A,B
10157,A,B
10158,A,B
10161,A,B
10162,A,B
10165,A,B
10166,B,A
10169,A,B
10170,B,A
10173,A,B
10174,A,B
10177,A,B
10178,A,B
10181,A,B
10182,A,B
10185,A,B
10186,A,B
10189,A,B
10190,B,A
10193,A,B
10194,A,B
10197,A,B
10198,A,B
10201,A,B
10202,B,A
10205,A,B
10206,A,B
10209,B,A
10210,A,B
10213,B,A
10214,A,B
10217,B,A
10218,A,B
10221,A,B
10222,B,A
10225,B,A
10226,B,A
10229,A,B
10230,A,B
10233,A,B
10234,A,B
10237,B,A
10238,A,B
10241,A,B
10242,A,B
10245,A,B
10246,A,B
10249,A,B
10250,B,A
10253,B,A
10254,B,A
10257,B,A
10258,A,B
10261,A,B
10262,B,A
10265,A,B
10266,A,B
10269,B,A
10270,A,B
10273,A,B
10274,A,B
10277,A,B
10278,A,B
10281,A,B
10282,A,B
10285,A,B
10286,A,B
10289,A,B
10290,A,B
10293,A,B
10294,B,A
10297,A,B
10298,A,B
10301,A,B
10302,B,A
10305,A,B
10306,A,B
10309,A,B
10310,A,B
10313,A,B
10314,A,B
10317,A,B
10318,A,B
10321,A,B
10322,A,B
10325,A,B
10326,A,B
10329,A,B
10330,A,B
10333,B,A
10334,B,A
10337,B,A
10338,A,B
10341,B,A
10342,B,A
10345,A,B
10346,A,B
10349,A,B
10350,A,B
10353,A,B
10354,B,A
10357,A,B
10358,A,B
10361,B,A
10362,A,B
10365,B,A
10366,B,A
10369,B,A
10370,A,B
10373,B,A
10374,B,A
10377,A,B
10378,A,B
10381,B,A
10382,B,A
10385,A,B
10386,A,B
10389,A,B
10390,A,B
10393,B,A
10394,A,B
10397,B,A
10398,A,B
10401,B,A
10402,A,B
10405,A,B
10406,A,B
10409,B,A
10410,A,B
10413,B,A
10414,B,A
10417,A,B
10418,A,B
10421,B,A
10422,B,A
10425,B,A
10426,A,B
10429,A,B
10430,A,B
10433,A,B
10434,B,A
10437,B,A
10438,A,B
10441,A,B
10442,B,A
10445,B,A
10446,A,B
10449,B,A
10450,A,B
10453,B,A
10454,B,A
10457,A,B
10458,A,B
10461,B,A
10462,B,A
10465,A,B
10466,B,A
10469,A,B
10470,A,B
10473,A,B
10474,B,A
10477,A,B
10478,A,B
10481,B,A
10482,B,A
10485,B,A
10486,B,A
10489,A,B
10490,A,B
10493,A,B
10494,A,B
10497,A,B
10498,A,B
10501,A,B
10502,B,A
10505,A,B
10506,A,B
10509,A,B
10510,A,B
10513,A,B
10514,A,B
10517,A,B
10518,A,B
10521,A,B
10522,A,B
10525,B,A
10526,B,A
10529,B,A
10530,A,B
10533,A,B
10534,B,A
10537,B,A
10538,B,A
10541,B,A
10542,A,B
10545,B,A
10546,A,B
10549,A,B
10550,A,B
10553,B,A
10554,A,B
10557,A,B
10558,A,B
10561,A,B
10562,B,A
10565,B,A
10566,B,A
10569,A,B
10570,B,A
10573,A,B
10574,B,A
10577,B,A
10578,B,A
10581,A,B
10582,A,B
10585,A,B
10586,B,A
10589,A,B
10590,A,B
10593,A,B
10594,A,B
10597,B,A
10598,B,A
10601,A,B
10602,A,B
10605,B,A
10606,B,A
10609,A,B
10610,B,A
10613,A,B
10614,B,A
10617,A,B
10618,A,B
10621,B,A
10622,A,B
10625,B,A
10626,B,A
10629,A,B
10630,A,B
10633,B,A
10634,B,A
10637,B,A
10638,A,B
10641,B,A
10642,A,B
10645,B,A
10646,B,A
10649,A,B
10650,A,B
10653,B,A
10654,A,B
10657,A,B
10658,B,A
10661,B,A
10662,A,B
10665,B,A
10666,B,A
10669,B,A
10670,B,A
10673,B,A
10674,B,A
10677,B,A
10678,B,A
10681,B,A
10682,B,A
10685,A,B
10686,A,B
10689,B,A
10690,A,B
10693,B,A
10694,A,B
10697,B,A
10698,B,A
10701,A,B
10702,A,B
10705,A,B
10706,A,B
10709,B,A
10710,B,A
10713,B,A
10714,B,A
10717,B,A
10718,A,B
10721,A,B
10722,A,B
10725,B,A
10726,B,A
10729,B,A
10730,B,A
10733,B,A
10734,A,B
10737,A,B
10738,B,A
10741,A,B
10742,A,B
10745,B,A
10746,B,A
10749,B,A
10750,B,A
10753,A,B
10754,A,B
10757,A,B
10758,A,B
10761,B,A
10762,B,A
10765,B,A
10766,B,A
10769,A,B
10770,A,B
10773,A,B
10774,A,B
10777,B,A
10778,B,A
10781,B,A
10782,A,B
10785,B,A
10786,B,A
10789,B,A
10790,B,A
10793,A,B
10794,A,B
10797,B,A
10798,A,B
10801,B,A
10802,B,A
10805,A,B
10806,A,B
10809,B,A
10810,B,A
10813,B,A
10814,B,A
10817,A,B
10818,A,B
10821,A,B
10822,A,B
10825,B,A
10826,B,A
10829,B,A
10830,B,A
10833,B,A
10834,B,A
10837,B,A
10838,B,A
10841,B,A
10842,A,B
10845,B,A
10846,A,B
10849,A,B
10850,B,A
10853,A,B
10854,A,B
10857,B,A
10858,A,B
10861,B,A
10862,B,A
10865,A,B
10866,A,B
10869,A,B
10870,B,A
10873,B,A
10874,A,B
10877,B,A
10878,B,A
10881,B,A
10882,B,A
10885,A,B
10886,B,A
10889,A,B
10890,B,A
10893,A,B
10894,A,B
10897,A,B
10898,A,B
10901,B,A
10902,B,A
10905,A,B
10906,B,A
10909,A,B
10910,A,B
10913,A,B
