task_id,choice,raw_output
10001,B,A
10002,B,A
10005,B,A
10006,B,A
10009,B,A
10010,B,A
10013,B,A
10014,A,B
10017,A,B
10018,A,B
10021,B,A
10022,A,B
10025,B,A
10026,A,B
10029,B,A
10030,A,B
10033,B,A
10034,B,A
10037,B,A
10038,B,A
10041,B,A
10042,B,A
10045,B,A
10046,B,A
10049,B,A
10050,A,B
10053,B,A
10054,B,A
10057,B,A
10058,B,A
10061,B,A
10062,B,A
10065,B,A
10066,B,A
10069,B,A
10070,B,A
10073,B,A
10074,A,B
10077,B,A
10078,B,A
10081,B,A
10082,A,B
10085,B,A
10086,A,B
10089,B,A
10090,B,A
10093,B,A
10094,B,A
10097,B,A
10098,B,A
10101,B,A
10102,B,A
10105,A,B
10106,B,A
10109,B,A
10110,A,B
10113,A,B
10114,B,A
10117,B,A
10118,A,B
10121,A,B
10122,B,A
10125,A,B
10126,A,B
10129,A,B
10130,B,A
10133,B,A
10134,B,A
10137,B,A
10138,B,A
10141,A,B
10142,A,B
10145,B,A
10146,B,A
10149,A,B
10150,A,B
10153,B,A
10154,B,A
10157,A,B
10158,B,A
10161,A,B
10162,A,B
10165,A,B
10166,A,B
10169,A,B
10170,A,B
10173,A,B
10174,B,A
10177,A,B
10178,B,A
10181,A,B
10182,A,B
10185,B,A
10186,A,B
10189,A,B
10190,B,A
10193,A,B
10194,A,B
10197,A,B
10198,A,B
10201,A,B
10202,B,A
10205,B,A
10206,A,B
10209,B,A
10210,A,B
10213,B,A
10214,A,B
10217,B,A
10218,B,A
10221,A,B
10222,A,B
10225,B,A
10226,A,B
10229,A,B
10230,A,B
10233,A,B
10234,A,B
10237,B,A
10238,A,B
10241,A,B
10242,A,B
10245,A,B
10246,B,A
10249,B,A
10250,B,A
10253,B,A
10254,B,A
10257,B,A
10258,B,A
10261,A,B
10262,B,A
10265,B,A
10266,A,B
10269,B,A
10270,A,B
10273,B,A
10274,B,A
10277,A,B
10278,A,B
10281,A,B
10282,A,B
10285,A,B
10286,A,B
10289,B,A
10290,A,B
10293,B,A
10294,B,A
10297,A,B
10298,A,B
10301,A,B
10302,B,A
10305,A,B
10306,B,A
10309,B,A
10310,B,A
10313,B,A
10314,B,A
10317,B,A
10318,A,B
