task_id,choice,raw_output
10001,B,A
10002,A,B
10003,B,A
10004,B,A
10005,B,A
10006,A,B
10007,B,A
10008,B,A
10009,A,B
10010,A,B
10011,A,B
10012,A,B
10013,B,A
10014,A,B
10015,A,B
10016,B,A
10017,A,B
10018,A,B
10019,B,A
10020,B,A
10021,B,A
10022,A,B
10023,B,A
10024,B,A
10025,A,B
10026,A,B
10027,A,B
10028,A,B
10029,B,A
10030,A,B
10031,A,B
10032,A,B
10033,B,A
10034,B,A
10035,B,A
10036,B,A
10037,B,A
10038,B,A
10039,B,A
10040,B,A
10041,B,A
10042,B,A
10043,B,A
10044,A,B
10045,A,B
10046,B,A
10047,B,A
10048,A,B
10049,B,A
10050,A,B
10051,B,A
10052,A,B
10053,B,A
10054,B,A
10055,B,A
10056,A,B
10057,B,A
10058,B,A
10059,A,B
10060,B,A
10061,A,B
10062,B,A
10063,B,A
10064,A,B
10065,B,A
10066,B,A
10067,B,A
10068,B,A
10069,A,B
10070,A,B
10071,A,B
10072,A,B
10073,A,B
10074,A,B
10075,A,B
10076,A,B
10077,A,B
10078,A,B
10079,A,B
10080,A,B
10081,A,B
10082,A,B
10083,A,B
10084,A,B
10085,B,A
10086,A,B
10087,B,A
10088,A,B
10089,B,A
10090,B,A
10091,A,B
10092,A,B
10093,B,A
10094,B,A
10095,A,B
10096,B,A
10097,A,B
10098,B,A
10099,A,B
10100,B,A
10101,B,A
10102,B,A
10103,B,A
10104,B,A
10105,A,B
10106,B,A
10107,B,A
10108,B,A
10109,A,B
10110,A,B
10111,A,B
10112,A,B
10113,A,B
10114,A,B
10115,A,B
10116,A,B
10117,B,A
10118,A,B
10119,A,B
10120,A,B
10121,A,B
10122,B,A
10123,A,B
10124,A,B
10125,A,B
10126,A,B
10127,A,B
10128,A,B
10129,A,B
10130,B,A
10131,A,B
10132,A,B
10133,B,A
10134,B,A
10135,B,A
10136,B,A
10137,B,A
10138,B,A
10139,B,A
10140,A,B
10141,A,B
10142,A,B
10143,A,B
10144,A,B
10145,B,A
10146,B,A
10147,B,A
10148,B,A
10149,A,B
10150,A,B
10151,A,B
10152,A,B
10153,A,B
10154,B,A
10155,B,A
10156,A,B
10157,A,B
10158,B,A
10159,B,A
10160,A,B
10161,A,B
10162,A,B
10163,A,B
10164,A,B
10165,A,B
10166,B,A
10167,B,A
10168,B,A
10169,A,B
10170,B,A
10171,A,B
10172,B,A
10173,A,B
10174,A,B
10175,B,A
10176,A,B
10177,A,B
10178,B,A
10179,A,B
10180,A,B
10181,A,B
10182,A,B
10183,A,B
10184,A,B
10185,B,A
10186,A,B
10187,A,B
10188,B,A
10189,A,B
10190,B,A
10191,A,B
10192,B,A
10193,A,B
10194,A,B
10195,B,A
10196,A,B
10197,A,B
10198,A,B
10199,A,B
10200,A,B
10201,A,B
10202,B,A
10203,A,B
10204,B,A
10205,B,A
10206,A,B
10207,A,B
10208,A,B
10209,B,A
10210,A,B
10211,A,B
10212,A,B
10213,B,A
10214,A,B
10215,B,A
10216,B,A
10217,B,A
10218,A,B
10219,A,B
10220,B,A
10221,A,B
10222,B,A
10223,B,A
10224,A,B
10225,B,A
10226,A,B
10227,B,A
10228,B,A
10229,A,B
10230,A,B
10231,A,B
10232,B,A
10233,A,B
10234,A,B
10235,A,B
10236,A,B
10237,B,A
10238,A,B
10239,B,A
10240,A,B
10241,A,B
10242,A,B
10243,A,B
10244,A,B
10245,A,B
10246,A,B
10247,A,B
10248,A,B
10249,A,B
10250,B,A
10251,A,B
10252,A,B
10253,B,A
10254,B,A
10255,B,A
10256,A,B
10257,B,A
10258,A,B
10259,B,A
10260,B,A
10261,A,B
10262,B,A
10263,B,A
10264,B,A
10265,B,A
10266,A,B
10267,A,B
10268,A,B
10269,B,A
10270,A,B
10271,A,B
10272,B,A
10273,B,A
10274,B,A
10275,A,B
10276,A,B
10277,A,B
10278,A,B
10279,A,B
10280,A,B
10281,A,B
10282,A,B
10283,A,B
10284,B,A
10285,A,B
10286,A,B
10287,A,B
10288,A,B
10289,A,B
10290,A,B
10291,A,B
10292,B,A
10293,A,B
10294,B,A
10295,B,A
10296,B,A
10297,A,B
10298,A,B
10299,A,B
10300,A,B
10301,A,B
10302,B,A
10303,A,B
10304,A,B
10305,A,B
10306,A,B
10307,A,B
10308,B,A
10309,A,B
10310,B,A
10311,A,B
10312,A,B
10313,B,A
10314,B,A
10315,A,B
10316,A,B
10317,B,A
10318,A,B
10319,B,A
10320,A,B
10321,A,B
10322,A,B
10323,A,B
10324,A,B
10325,A,B
10326,A,B
10327,A,B
10328,A,B
10329,B,A
10330,A,B
10331,A,B
10332,B,A
10333,B,A
10334,B,A
10335,B,A
10336,A,B
10337,B,A
10338,A,B
10339,A,B
10340,A,B
10341,B,A
10342,B,A
10343,A,B
10344,B,A
10345,A,B
10346,A,B
10347,B,A
10348,B,A
10349,A,B
10350,B,A
10351,B,A
10352,A,B
10353,A,B
10354,B,A
10355,A,B
10356,A,B
10357,A,B
10358,A,B
10359,B,A
10360,A,B
10361,B,A
10362,B,A
10363,B,A
10364,B,A
10365,A,B
10366,B,A
10367,A,B
10368,B,A
10369,B,A
10370,A,B
10371,B,A
10372,B,A
10373,B,A
10374,B,A
10375,B,A
10376,B,A
10377,B,A
10378,B,A
10379,B,A
10380,B,A
10381,B,A
10382,B,A
10383,B,A
10384,A,B
10385,A,B
10386,A,B
10387,A,B
10388,A,B
10389,A,B
10390,A,B
10391,A,B
10392,A,B
10393,B,A
10394,A,B
10395,A,B
10396,B,A
10397,B,A
10398,A,B
10399,B,A
10400,A,B
10401,B,A
10402,A,B
10403,B,A
10404,A,B
10405,A,B
10406,A,B
10407,A,B
10408,A,B
10409,B,A
10410,A,B
10411,B,A
10412,A,B
10413,B,A
10414,B,A
10415,B,A
10416,A,B
10417,A,B
10418,A,B
10419,A,B
10420,A,B
10421,B,A
10422,B,A
10423,B,A
10424,A,B
10425,B,A
10426,B,A
10427,B,A
10428,A,B
10429,A,B
10430,A,B
10431,B,A
10432,A,B
10433,B,A
10434,B,A
10435,B,A
10436,B,A
10437,B,A
10438,A,B
10439,A,B
10440,B,A
10441,B,A
10442,B,A
10443,A,B
10444,B,A
10445,B,A
10446,A,B
10447,B,A
10448,B,A
10449,B,A
10450,A,B
10451,B,A
10452,B,A
10453,B,A
10454,B,A
10455,B,A
10456,A,B
10457,A,B
10458,A,B
10459,A,B
10460,A,B
10461,B,A
10462,B,A
10463,B,A
10464,B,A
10465,A,B
10466,B,A
10467,A,B
10468,B,A
10469,A,B
10470,A,B
10471,A,B
10472,A,B
10473,A,B
10474,B,A
10475,A,B
10476,A,B
10477,A,B
10478,A,B
10479,A,B
10480,A,B
10481,B,A
10482,A,B
10483,B,A
10484,B,A
10485,B,A
10486,B,A
10487,B,A
10488,A,B
10489,A,B
10490,A,B
10491,B,A
10492,A,B
10493,A,B
10494,A,B
10495,B,A
10496,A,B
10497,A,B
10498,A,B
10499,A,B
10500,A,B
10501,A,B
10502,B,A
10503,B,A
10504,B,A
10505,A,B
10506,A,B
10507,B,A
10508,A,B
10509,A,B
10510,A,B
10511,A,B
10512,A,B
10513,A,B
10514,A,B
10515,A,B
10516,A,B
10517,A,B
10518,A,B
10519,A,B
10520,A,B
10521,A,B
10522,A,B
10523,B,A
10524,A,B
10525,B,A
10526,B,A
10527,B,A
10528,B,A
10529,B,A
10530,A,B
10531,B,A
10532,B,A
10533,A,B
10534,B,A
10535,B,A
10536,B,A
10537,B,A
10538,B,A
10539,B,A
10540,B,A
10541,B,A
10542,A,B
10543,A,B
10544,B,A
10545,B,A
10546,A,B
10547,A,B
10548,B,A
10549,A,B
10550,A,B
10551,A,B
10552,A,B
10553,B,A
10554,A,B
10555,B,A
10556,B,A
10557,A,B
10558,A,B
10559,B,A
10560,A,B
10561,A,B
10562,B,A
10563,B,A
10564,B,A
10565,A,B
10566,A,B
10567,B,A
10568,B,A
10569,A,B
10570,B,A
10571,A,B
10572,B,A
10573,A,B
10574,B,A
10575,A,B
10576,A,B
10577,B,A
10578,B,A
10579,B,A
10580,A,B
10581,A,B
10582,A,B
10583,A,B
10584,A,B
10585,A,B
10586,A,B
10587,B,A
10588,B,A
10589,A,B
10590,A,B
10591,A,B
10592,A,B
10593,A,B
10594,A,B
10595,A,B
10596,A,B
10597,B,A
10598,B,A
10599,B,A
10600,B,A
10601,A,B
10602,A,B
10603,A,B
10604,A,B
10605,B,A
10606,B,A
10607,A,B
10608,A,B
10609,A,B
10610,B,A
10611,A,B
10612,B,A
10613,A,B
10614,B,A
10615,B,A
10616,B,A
10617,A,B
10618,A,B
10619,A,B
10620,A,B
10621,B,A
10622,A,B
10623,B,A
10624,B,A
10625,B,A
10626,B,A
10627,B,A
10628,A,B
10629,A,B
10630,A,B
10631,A,B
10632,A,B
10633,B,A
10634,B,A
10635,B,A
10636,B,A
10637,B,A
10638,A,B
10639,B,A
10640,B,A
10641,A,B
10642,A,B
10643,A,B
10644,B,A
10645,B,A
10646,B,A
10647,B,A
10648,B,A
10649,A,B
10650,A,B
10651,B,A
10652,A,B
10653,B,A
10654,A,B
10655,B,A
10656,B,A
10657,A,B
10658,B,A
10659,A,B
10660,B,A
10661,A,B
10662,A,B
10663,A,B
10664,A,B
10665,B,A
10666,B,A
10667,B,A
10668,B,A
10669,B,A
10670,B,A
10671,B,A
10672,B,A
10673,B,A
10674,A,B
10675,B,A
10676,A,B
10677,B,A
10678,B,A
10679,B,A
10680,A,B
10681,B,A
10682,B,A
10683,B,A
10684,B,A
10685,A,B
10686,A,B
10687,A,B
10688,A,B
10689,B,A
10690,A,B
10691,B,A
10692,A,B
10693,B,A
10694,A,B
10695,B,A
10696,A,B
10697,B,A
10698,B,A
10699,B,A
10700,A,B
10701,A,B
10702,A,B
10703,A,B
10704,A,B
10705,A,B
10706,A,B
10707,B,A
10708,A,B
10709,B,A
10710,B,A
10711,A,B
10712,A,B
10713,B,A
10714,B,A
10715,B,A
10716,A,B
10717,B,A
10718,A,B
10719,A,B
10720,B,A
10721,A,B
10722,A,B
10723,A,B
10724,A,B
10725,B,A
10726,B,A
10727,B,A
10728,B,A
10729,B,A
10730,B,A
10731,B,A
10732,B,A
10733,B,A
10734,A,B
10735,A,B
10736,B,A
10737,A,B
10738,B,A
10739,A,B
10740,B,A
10741,A,B
10742,A,B
10743,A,B
10744,A,B
10745,B,A
10746,B,A
10747,B,A
10748,B,A
10749,B,A
10750,B,A
10751,A,B
10752,B,A
10753,A,B
10754,A,B
10755,A,B
10756,A,B
10757,A,B
10758,A,B
10759,A,B
10760,B,A
10761,B,A
10762,B,A
10763,B,A
10764,A,B
10765,B,A
10766,A,B
10767,B,A
10768,B,A
10769,A,B
10770,A,B
10771,B,A
10772,B,A
10773,A,B
10774,A,B
10775,B,A
10776,A,B
10777,B,A
10778,B,A
10779,B,A
10780,A,B
10781,B,A
10782,A,B
10783,A,B
10784,A,B
10785,B,A
10786,B,A
10787,B,A
10788,B,A
10789,B,A
10790,B,A
10791,B,A
10792,B,A
10793,B,A
10794,A,B
10795,A,B
10796,A,B
10797,B,A
10798,A,B
10799,A,B
10800,A,B
10801,B,A
10802,B,A
10803,B,A
10804,B,A
10805,A,B
10806,A,B
10807,A,B
10808,B,A
10809,B,A
10810,B,A
10811,B,A
10812,B,A
10813,B,A
10814,B,A
10815,A,B
10816,B,A
10817,A,B
10818,A,B
10819,A,B
10820,A,B
10821,A,B
10822,A,B
10823,B,A
10824,A,B
10825,B,A
10826,B,A
10827,B,A
10828,B,A
10829,B,A
10830,B,A
10831,B,A
10832,B,A
10833,B,A
10834,B,A
10835,B,A
10836,B,A
10837,B,A
10838,B,A
10839,B,A
10840,B,A
10841,B,A
10842,A,B
10843,B,A
10844,B,A
10845,B,A
