task_id,choice,raw_output
1,B,B
2,B,B
3,B,B
4,B,B
5,B,B
6,B,B
7,B,B
8,B,B
9,B,B
10,B,B
11,B,B
12,B,B
13,B,B
14,B,B
15,B,B
16,B,B
17,B,B
18,B,B
19,B,B
20,B,B
21,B,B
22,B,B
23,B,B
24,B,B
25,B,B
26,B,B
27,B,B
28,A,A
29,B,B
30,B,B
31,B,B
32,B,B
33,B,B
34,B,B
35,B,B
36,B,B
37,B,B
38,A,A
39,B,B
40,A,A
41,B,B
42,B,B
43,B,B
44,B,B
45,B,B
46,B,B
47,B,B
48,B,B
49,B,B
50,B,B
51,B,B
52,B,B
53,B,B
54,B,B
55,B,B
56,B,B
57,B,B
58,B,B
59,B,B
60,B,B
61,A,A
62,B,B
63,B,B
64,B,B
65,B,B
66,B,B
67,B,B
68,B,B
69,B,B
70,B,B
71,A,A
72,B,B
73,B,B
74,B,B
75,B,B
76,A,A
77,B,B
78,B,B
79,B,B
80,B,B
81,B,B
82,A,A
83,B,B
84,B,B
85,B,B
86,B,B
87,B,B
88,B,B
89,B,B
90,B,B
91,B,B
92,B,B
93,B,B
94,B,B
95,B,B
96,B,B
97,B,B
98,B,B
99,B,B
100,B,B
101,B,B
102,B,B
103,B,B
104,B,B
105,B,B
106,B,B
107,B,B
108,B,B
109,B,B
110,B,B
111,B,B
112,B,B
113,B,B
114,B,B
115,A,A
116,B,B
117,A,A
118,B,B
119,A,A
120,A,A
121,B,B
122,B,B
123,A,A
124,B,B
125,A,A
126,B,B
127,B,B
128,B,B
129,A,A
130,B,B
131,B,B
132,B,B
133,B,B
134,A,A
135,A,A
136,A,A
137,B,B
138,B,B
139,B,B
140,B,B
141,B,B
142,A,A
143,B,B
144,A,A
145,B,B
146,B,B
147,B,B
148,B,B
149,A,A
150,A,A
151,B,B
152,A,A
153,A,A
154,B,B
155,B,B
156,A,A
157,A,A
158,B,B
159,A,A
160,A,A
161,B,B
162,A,A
163,A,A
164,B,B
165,A,A
166,A,A
167,B,B
168,B,B
169,A,A
170,A,A
171,B,B
172,A,A
173,B,B
174,B,B
175,A,A
176,B,B
177,B,B
178,B,B
179,B,B
180,A,A
181,B,B
182,B,B
183,B,B
184,B,B
185,A,A
186,B,B
187,B,B
188,A,A
189,A,A
190,B,B
191,B,B
192,A,A
193,A,A
194,A,A
195,B,B
196,B,B
197,B,B
198,B,B
199,B,B
200,B,B
201,B,B
202,B,B
203,A,A
204,B,B
205,A,A
206,A,A
207,B,B
208,B,B
209,B,B
210,B,B
211,A,A
212,B,B
213,B,B
214,B,B
215,B,B
216,B,B
217,B,B
218,B,B
219,A,A
220,A,A
221,B,B
222,A,A
223,A,A
224,A,A
225,B,B
226,B,B
227,B,B
228,A,A
229,A,A
230,A,A
231,A,A
232,A,A
233,B,B
234,B,B
235,A,A
236,A,A
237,A,A
238,B,B
239,A,A
240,B,B
241,A,A
242,B,B
243,A,A
244,B,B
245,B,B
246,B,B
247,B,B
248,A,A
249,B,B
250,B,B
251,B,B
252,A,A
253,B,B
254,B,B
255,A,A
256,A,A
257,B,B
258,B,B
259,B,B
260,B,B
261,B,B
262,B,B
263,B,B
264,B,B
265,B,B
266,B,B
267,B,B
268,B,B
269,A,A
270,B,B
271,B,B
272,B,B
273,B,B
274,B,B
275,B,B
276,B,B
277,B,B
278,B,B
279,B,B
280,B,B
281,B,B
282,A,A
283,B,B
284,B,B
285,B,B
286,B,B
287,B,B
288,B,B
289,A,A
290,B,B
291,B,B
292,B,B
293,B,B
294,A,A
295,B,B
296,B,B
297,B,B
298,B,B
299,B,B
300,B,B
301,B,B
302,B,B
303,B,B
304,B,B
305,B,B
306,A,A
307,B,B
308,A,A
309,B,B
310,B,B
311,B,B
312,B,B
313,B,B
314,B,B
315,A,A
316,A,A
317,B,B
318,B,B
319,B,B
320,B,B
321,B,B
322,B,B
323,B,B
324,B,B
325,B,B
326,B,B
327,A,A
328,B,B
329,B,B
330,A,A
331,B,B
332,B,B
333,A,A
334,A,A
335,B,B
336,A,A
337,B,B
338,B,B
339,B,B
340,B,B
341,B,B
342,B,B
343,B,B
344,B,B
345,B,B
346,B,B
347,B,B
348,A,A
349,A,A
350,B,B
351,A,A
352,B,B
353,B,B
354,B,B
355,B,B
356,B,B
357,B,B
358,B,B
359,B,B
360,B,B
361,A,A
362,A,A
363,B,B
364,B,B
365,A,A
366,B,B
367,B,B
368,B,B
369,B,B
370,A,A
371,B,B
372,B,B
373,B,B
374,A,A
375,A,A
376,A,A
377,A,A
378,B,B
379,A,A
380,B,B
381,B,B
382,B,B
383,B,B
384,B,B
385,B,B
386,A,A
387,A,A
388,A,A
389,A,A
390,A,A
391,A,A
392,B,B
393,A,A
394,A,A
395,B,B
396,A,A
397,B,B
398,A,A
399,B,B
400,A,A
401,A,A
402,A,A
403,B,B
404,B,B
405,B,B
406,B,B
407,B,B
408,B,B
409,A,A
410,B,B
411,A,A
412,A,A
413,B,B
414,B,B
415,B,B
416,B,B
417,B,B
418,A,A
419,A,A
420,B,B
421,A,A
422,B,B
423,B,B
424,B,B
425,A,A
426,B,B
427,A,A
428,B,B
429,A,A
430,B,B
431,B,B
432,A,A
433,A,A
434,B,B
435,B,B
436,A,A
437,B,B
438,B,B
439,B,B
440,B,B
441,B,B
442,B,B
443,A,A
444,B,B
445,B,B
446,B,B
447,B,B
448,B,B
449,A,A
450,A,A
451,B,B
452,B,B
453,B,B
454,A,A
455,B,B
456,B,B
457,A,A
458,B,B
459,B,B
460,B,B
461,B,B
462,A,A
463,B,B
464,B,B
465,B,B
466,A,A
467,B,B
468,B,B
469,B,B
470,A,A
471,A,A
472,B,B
473,B,B
474,A,A
475,B,B
476,B,B
477,B,B
478,B,B
479,B,B
480,A,A
481,A,A
482,B,B
483,B,B
484,B,B
485,A,A
486,A,A
487,A,A
488,A,A
489,A,A
490,B,B
491,B,B
492,A,A
493,A,A
494,B,B
495,A,A
496,A,A
497,A,A
498,A,A
499,A,A
500,A,A
501,B,B
502,A,A
503,A,A
504,A,A
505,A,A
506,A,A
507,A,A
508,B,B
509,A,A
510,A,A
511,A,A
512,A,A
513,A,A
514,A,A
515,B,B
516,A,A
517,A,A
518,A,A
519,A,A
520,A,A
521,A,A
522,B,B
523,A,A
524,A,A
525,A,A
526,B,B
527,A,A
528,B,B
529,A,A
530,B,B
531,B,B
532,A,A
533,A,A
534,B,B
535,B,B
536,A,A
537,B,B
538,A,A
539,B,B
540,B,B
541,A,A
542,A,A
543,A,A
544,A,A
545,B,B
546,B,B
547,A,A
548,B,B
549,B,B
550,B,B
551,B,B
552,B,B
553,A,A
554,A,A
555,A,A
556,A,A
557,A,A
558,A,A
559,A,A
560,A,A
561,A,A
562,B,B
563,A,A
564,B,B
565,A,A
566,B,B
567,B,B
568,A,A
569,A,A
570,B,B
571,B,B
572,A,A
573,A,A
574,A,A
575,A,A
576,A,A
577,A,A
578,B,B
579,B,B
580,A,A
581,B,B
582,B,B
583,A,A
584,A,A
585,B,B
586,A,A
587,A,A
588,A,A
589,B,B
590,A,A
591,A,A
592,A,A
593,B,B
594,B,B
595,B,B
596,B,B
597,B,B
598,B,B
599,B,B
600,B,B
601,B,B
602,B,B
603,B,B
604,B,B
605,B,B
606,A,A
607,A,A
608,B,B
609,A,A
610,A,A
611,A,A
612,B,B
613,B,B
614,A,A
615,A,A
616,B,B
617,B,B
618,B,B
619,B,B
620,B,B
621,B,B
622,B,B
623,B,B
624,B,B
625,B,B
626,B,B
627,A,A
628,B,B
629,B,B
630,B,B
631,A,A
632,A,A
633,B,B
634,A,A
635,A,A
636,A,A
637,B,B
638,A,A
639,A,A
640,A,A
641,A,A
642,A,A
643,A,A
644,B,B
645,A,A
646,A,A
647,A,A
648,B,B
649,A,A
650,A,A
651,B,B
652,A,A
653,B,B
654,B,B
655,B,B
656,A,A
657,B,B
658,B,B
659,B,B
660,A,A
661,A,A
662,A,A
663,A,A
664,A,A
665,A,A
666,B,B
667,B,B
668,B,B
669,B,B
670,B,B
671,A,A
672,B,B
673,B,B
674,A,A
675,B,B
676,B,B
677,A,A
678,A,A
679,B,B
680,A,A
681,A,A
682,B,B
683,B,B
684,A,A
685,A,A
686,B,B
687,B,B
688,A,A
689,B,B
690,A,A
691,B,B
692,B,B
693,B,B
694,B,B
695,B,B
696,A,A
697,B,B
698,B,B
699,A,A
700,B,B
701,B,B
702,B,B
703,B,B
704,A,A
705,B,B
706,A,A
707,B,B
708,B,B
709,A,A
710,A,A
711,A,A
712,A,A
713,B,B
714,B,B
715,B,B
716,A,A
717,A,A
718,B,B
719,A,A
720,A,A
721,B,B
722,A,A
723,B,B
724,B,B
725,B,B
726,A,A
727,B,B
728,B,B
729,B,B
730,A,A
731,A,A
732,A,A
733,B,B
734,A,A
735,B,B
736,A,A
737,A,A
738,B,B
739,B,B
740,B,B
741,B,B
742,A,A
743,A,A
744,B,B
745,A,A
746,A,A
747,B,B
748,A,A
749,B,B
750,B,B
751,B,B
752,B,B
753,B,B
754,A,A
755,A,A
756,B,B
757,B,B
758,B,B
759,A,A
760,B,B
761,B,B
762,B,B
763,A,A
764,B,B
765,B,B
766,B,B
767,A,A
768,B,B
769,A,A
770,A,A
771,A,A
772,A,A
773,B,B
774,B,B
775,B,B
776,B,B
777,B,B
778,A,A
779,B,B
780,A,A
781,A,A
782,B,B
783,A,A
784,B,B
785,B,B
786,B,B
787,B,B
788,B,B
789,B,B
790,B,B
791,B,B
792,B,B
793,B,B
794,B,B
795,B,B
796,A,A
797,B,B
798,B,B
799,A,A
800,A,A
801,B,B
802,A,A
803,A,A
804,B,B
805,B,B
806,A,A
807,A,A
808,B,B
809,B,B
810,B,B
811,B,B
812,B,B
813,B,B
814,B,B
815,A,A
816,B,B
817,B,B
818,B,B
819,B,B
820,B,B
821,A,A
822,A,A
823,B,B
824,A,A
825,B,B
826,A,A
827,B,B
828,B,B
829,B,B
830,A,A
831,B,B
832,A,A
833,A,A
834,A,A
835,A,A
836,A,A
837,A,A
838,A,A
839,A,A
840,A,A
841,A,A
842,A,A
843,B,B
844,B,B
845,A,A
846,B,B
847,B,B
848,B,B
849,A,A
850,B,B
851,A,A
852,B,B
853,B,B
