task_id,choice,raw_output
1,A,A
5,B,B
9,A,A
13,A,A
17,A,A
21,B,B
25,A,A
29,B,B
33,B,B
37,B,B
1,A,A
5,B,B
9,A,A
13,A,A
17,A,A
21,B,B
25,A,A
29,B,B
33,B,B
37,B,B
41,B,B
45,A,A
49,B,B
53,B,B
57,B,B
61,A,A
65,B,B
69,A,A
73,A,A
77,A,A
41,B,B
45,A,A
49,B,B
53,B,B
57,B,B
61,A,A
65,B,B
69,A,A
73,A,A
77,A,A
81,A,A
85,A,A
89,B,B
93,B,B
97,A,A
101,B,B
105,A,A
109,A,A
113,A,A
117,B,B
81,A,A
85,A,A
89,B,B
93,B,B
97,A,A
101,B,B
105,A,A
109,A,A
113,A,A
117,B,B
121,A,A
125,A,A
129,A,A
133,B,B
137,B,B
141,A,A
145,B,B
149,A,A
153,B,B
157,A,A
121,A,A
125,A,A
129,A,A
133,B,B
137,B,B
141,A,A
145,B,B
149,A,A
153,B,B
157,A,A
161,A,A
165,A,A
169,A,A
173,A,A
177,A,A
181,A,A
185,B,B
189,A,A
193,A,A
197,B,B
161,A,A
165,A,A
169,A,A
173,A,A
177,A,A
181,A,A
185,B,B
189,A,A
193,A,A
197,B,B
201,A,A
205,B,B
209,A,A
213,B,B
217,A,A
221,A,A
225,B,B
229,A,A
233,A,A
237,A,A
201,A,A
205,B,B
209,A,A
213,B,B
217,A,A
221,A,A
225,B,B
229,A,A
233,A,A
237,A,A
241,A,A
245,A,A
249,A,A
253,A,A
257,B,B
261,B,B
265,A,A
269,A,A
273,A,A
277,A,A
241,A,A
245,A,A
249,A,A
253,A,A
257,B,B
261,B,B
265,A,A
269,A,A
273,A,A
277,A,A
281,A,A
285,A,A
289,A,A
293,B,B
297,A,A
301,A,A
305,A,A
309,A,A
313,A,A
317,A,A
281,A,A
285,A,A
289,A,A
293,B,B
297,A,A
301,A,A
305,A,A
309,A,A
313,A,A
317,A,A
321,A,A
325,A,A
329,A,A
333,A,A
337,A,A
341,B,B
345,B,B
349,A,A
353,A,A
357,A,A
321,A,A
325,A,A
329,A,A
333,A,A
337,A,A
341,B,B
345,B,B
349,A,A
353,A,A
357,A,A
361,A,A
365,A,A
369,A,A
373,B,B
377,A,A
381,B,B
385,A,A
389,A,A
393,A,A
397,A,A
361,A,A
365,A,A
369,A,A
373,B,B
377,A,A
381,B,B
385,A,A
389,A,A
393,A,A
