task_id,choice,raw_output
10001,B,A
10002,B,A
10003,B,A
10004,B,A
10005,B,A
10006,B,A
10007,B,A
10008,B,A
10009,B,A
10010,B,A
10011,B,A
10012,B,A
10013,B,A
10014,B,A
10015,B,A
10016,B,A
10017,B,A
10018,B,A
10019,B,A
10020,B,A
10021,B,A
10022,B,A
10023,B,A
10024,B,A
10025,B,A
10026,B,A
10027,B,A
10028,B,A
10029,B,A
10030,B,A
10031,B,A
10032,B,A
10033,B,A
10034,B,A
10035,B,A
10036,B,A
10037,B,A
10038,B,A
10039,B,A
10040,B,A
10041,B,A
10042,B,A
10043,B,A
10044,B,A
10045,B,A
10046,B,A
10047,B,A
10048,B,A
10049,B,A
10050,B,A
10051,B,A
10052,B,A
10053,B,A
10054,B,A
10055,B,A
10056,B,A
10057,B,A
10058,B,A
10059,B,A
10060,B,A
10061,B,A
10062,B,A
10063,B,A
10064,B,A
10065,B,A
10066,B,A
10067,B,A
10068,B,A
10069,B,A
10070,B,A
10071,B,A
10072,B,A
10073,B,A
10074,B,A
10075,B,A
10076,B,A
10077,B,A
10078,B,A
10079,B,A
10080,B,A
10081,B,A
10082,B,A
10083,B,A
10084,B,A
10085,B,A
10086,B,A
10087,B,A
10088,B,A
10089,B,A
10090,B,A
10091,B,A
10092,B,A
10093,B,A
10094,B,A
10095,B,A
10096,B,A
10097,B,A
10098,B,A
10099,B,A
10100,B,A
10101,B,A
10102,B,A
10103,B,A
10104,B,A
10105,B,A
10106,B,A
10107,B,A
10108,B,A
10109,A,B
10110,A,B
10111,A,B
10112,A,B
10113,B,A
10114,B,A
10115,B,A
10116,B,A
10117,B,A
10118,B,A
10119,B,A
10120,B,A
10121,B,A
10122,B,A
10123,B,A
10124,B,A
10125,B,A
10126,A,B
10127,B,A
10128,B,A
10129,B,A
10130,B,A
10131,B,A
10132,B,A
10133,B,A
10134,B,A
10135,B,A
10136,B,A
10137,B,A
10138,B,A
10139,B,A
10140,A,B
10141,B,A
10142,B,A
10143,B,A
10144,B,A
10145,B,A
10146,B,A
10147,B,A
10148,B,A
10149,B,A
10150,B,A
10151,B,A
10152,B,A
10153,B,A
10154,B,A
10155,B,A
10156,B,A
10157,B,A
10158,B,A
10159,B,A
10160,B,A
