task_id,choice,raw_output
1,A,A
2,A,A
3,B,B
4,B,B
5,B,B
6,A,A
7,B,B
8,A,A
9,A,A
10,A,A
1801,C,C
1802,C,C
1803,B,B
1804,C,C
1805,C,C
1806,C,C
1807,C,C
1808,C,C
1809,A,A
1810,C,C
11,A,A
12,A,A
13,A,A
14,A,A
15,A,A
16,B,B
17,A,A
18,A,A
19,B,B
20,B,B
1811,C,C
1812,C,C
1813,A,A
1814,C,C
1815,A,A
1816,C,C
1817,B,B
1818,C,C
1819,C,C
1820,C,C
21,B,B
22,A,A
23,B,B
24,B,B
25,A,A
26,A,A
27,A,A
28,A,A
29,B,B
30,A,A
1821,C,C
1822,C,C
1823,C,C
1824,C,C
1825,A,A
1826,A,A
1827,A,A
1828,A,A
1829,A,A
1830,C,C
31,A,A
32,A,A
33,B,B
34,B,B
35,B,B
36,B,B
37,A,A
38,B,B
39,B,B
40,B,B
41,B,B
42,A,A
43,B,B
44,A,A
45,A,A
46,A,A
47,A,A
48,A,A
49,A,A
50,A,A
1831,A,A
1832,B,B
1833,A,A
1834,B,B
1835,A,A
1836,B,B
1837,B,B
1838,A,A
1839,B,B
1840,A,A
51,A,A
52,A,A
53,B,B
54,A,A
55,B,B
56,A,A
57,B,B
58,B,B
59,A,A
60,A,A
1841,B,B
1842,A,A
1843,A,A
1844,A,A
1845,A,A
1846,A,A
1847,A,A
1848,A,A
1849,A,A
1850,C,C
1851,C,C
1852,C,C
1853,A,A
1854,A,A
1855,A,A
1856,C,C
1857,C,C
1858,C,C
1859,A,A
1860,C,C
61,A,A
62,A,A
63,A,A
64,A,A
65,A,A
66,B,B
67,B,B
68,A,A
69,A,A
70,A,A
1861,C,C
1862,C,C
1863,B,B
1864,A,A
1865,A,A
1866,C,C
1867,C,C
1868,C,C
1869,C,C
1870,C,C
71,A,A
72,A,A
73,A,A
74,A,A
75,A,A
76,A,A
77,A,A
78,A,A
79,A,A
80,A,A
1871,C,C
1872,C,C
1873,A,A
1874,A,A
1875,A,A
1876,A,A
1877,C,C
1878,A,A
1879,A,A
1880,C,C
81,A,A
82,A,A
83,A,A
84,A,A
85,A,A
86,A,A
87,B,B
88,A,A
89,A,A
90,B,B
1881,A,A
1882,A,A
1883,C,C
1884,A,A
1885,A,A
1886,A,A
1887,A,A
1888,A,A
1889,A,A
1890,A,A
91,A,A
92,A,A
93,B,B
94,A,A
95,A,A
96,A,A
97,A,A
98,A,A
99,A,A
100,B,B
1891,A,A
1892,C,C
1893,C,C
1894,A,A
1895,C,C
1896,C,C
1897,C,C
1898,C,C
1899,B,B
1900,C,C
101,B,B
102,A,A
103,B,B
104,A,A
105,A,A
106,A,A
107,A,A
108,A,A
109,B,B
110,A,A
1901,C,C
1902,C,C
1903,B,B
1904,A,A
1905,A,A
1906,A,A
1907,A,A
1908,A,A
1909,A,A
1910,A,A
111,A,A
112,A,A
113,A,A
114,A,A
115,A,A
116,A,A
117,B,B
118,A,A
119,A,A
120,A,A
1911,A,A
1912,A,A
1913,A,A
1914,A,A
1915,A,A
1916,B,B
1917,B,B
1918,A,A
1919,B,B
1920,B,B
121,A,A
122,A,A
123,A,A
124,A,A
125,A,A
126,A,A
127,A,A
128,A,A
129,A,A
130,B,B
1921,B,B
1922,C,C
1923,B,B
1924,A,A
1925,B,B
1926,A,A
1927,C,C
1928,C,C
1929,C,C
1930,C,C
131,A,A
132,A,A
133,A,A
134,B,B
135,B,B
136,A,A
137,B,B
138,B,B
139,A,A
140,A,A
1931,C,C
1932,A,A
1933,B,B
1934,B,B
1935,B,B
1936,B,B
1937,B,B
1938,B,B
1939,A,A
1940,A,A
1941,A,A
1942,A,A
1943,A,A
1944,A,A
1945,A,A
1946,A,A
1947,C,C
1948,A,A
1949,C,C
1950,A,A
1951,C,C
1952,B,B
1953,B,B
1954,B,B
1955,A,A
1956,A,A
1957,A,A
1958,A,A
1959,A,A
1960,A,A
141,A,A
142,A,A
143,A,A
144,B,B
145,B,B
146,B,B
147,B,B
148,A,A
149,A,A
150,A,A
1961,A,A
1962,A,A
1963,B,B
1964,C,C
1965,A,A
1966,A,A
1967,A,A
1968,C,C
1969,B,B
1970,B,B
151,A,A
152,A,A
153,A,A
154,A,A
155,B,B
156,A,A
157,A,A
158,B,B
159,B,B
160,A,A
1971,B,B
1972,B,B
1973,B,B
1974,B,B
1975,C,C
1976,C,C
1977,C,C
1978,C,C
1979,C,C
1980,C,C
161,A,A
162,A,A
163,A,A
164,A,A
165,A,A
166,A,A
167,A,A
168,A,A
169,A,A
170,A,A
1981,A,A
1982,B,B
1983,C,C
1984,A,A
1985,A,A
1986,A,A
1987,A,A
1988,A,A
1989,C,C
1990,C,C
171,A,A
172,B,B
173,A,A
174,A,A
175,A,A
176,A,A
177,A,A
178,A,A
179,A,A
180,A,A
1991,A,A
1992,A,A
1993,A,A
1994,A,A
1995,A,A
1996,A,A
1997,B,B
1998,A,A
1999,C,C
2000,C,C
181,A,A
182,A,A
183,A,A
184,A,A
185,B,B
186,A,A
187,A,A
188,A,A
189,A,A
190,A,A
2001,C,C
2002,C,C
2003,C,C
2004,C,C
2005,A,A
2006,A,A
2007,A,A
2008,A,A
2009,A,A
2010,A,A
191,A,A
192,B,B
193,A,A
194,A,A
195,A,A
196,A,A
197,A,A
198,A,A
199,A,A
200,A,A
2011,B,B
2012,A,A
2013,B,B
2014,B,B
2015,B,B
2016,A,A
2017,B,B
2018,A,A
2019,C,C
2020,C,C
201,A,A
202,B,B
203,A,A
204,A,A
205,A,A
206,A,A
207,A,A
208,A,A
209,A,A
210,A,A
2021,B,B
2022,A,A
2023,A,A
2024,A,A
2025,A,A
2026,A,A
2027,A,A
2028,A,A
2029,A,A
2030,B,B
2031,B,B
2032,A,A
2033,A,A
2034,A,A
2035,A,A
2036,A,A
2037,A,A
2038,A,A
2039,A,A
2040,A,A
211,A,A
212,A,A
213,B,B
214,A,A
215,B,B
216,A,A
217,A,A
218,A,A
219,A,A
220,A,A
2041,A,A
2042,A,A
2043,A,A
2044,A,A
2045,A,A
2046,B,B
2047,B,B
2048,A,A
2049,B,B
2050,B,B
221,A,A
222,A,A
223,B,B
224,A,A
225,B,B
226,A,A
227,A,A
228,B,B
229,A,A
230,A,A
2051,B,B
2052,B,B
2053,A,A
2054,B,B
2055,A,A
2056,A,A
2057,B,B
2058,B,B
2059,A,A
2060,C,C
231,A,A
232,B,B
233,A,A
234,A,A
235,A,A
236,A,A
237,B,B
238,A,A
239,A,A
240,A,A
241,A,A
242,A,A
243,A,A
244,A,A
245,A,A
246,A,A
247,A,A
248,A,A
249,A,A
250,B,B
2061,C,C
2062,C,C
2063,C,C
2064,C,C
2065,C,C
2066,A,A
2067,A,A
2068,A,A
2069,B,B
2070,A,A
251,A,A
252,A,A
253,A,A
254,B,B
255,B,B
256,A,A
257,A,A
258,A,A
259,A,A
260,A,A
2071,A,A
2072,A,A
2073,C,C
2074,C,C
2075,C,C
2076,A,A
2077,B,B
2078,B,B
2079,B,B
2080,B,B
261,A,A
262,B,B
263,B,B
264,A,A
265,A,A
266,A,A
267,A,A
268,A,A
269,B,B
270,A,A
2081,B,B
2082,C,C
2083,A,A
2084,A,A
2085,A,A
2086,C,C
2087,A,A
2088,C,C
2089,B,B
2090,A,A
271,A,A
272,B,B
273,A,A
274,A,A
275,A,A
276,A,A
277,A,A
278,A,A
279,A,A
280,A,A
2091,A,A
2092,A,A
2093,A,A
2094,A,A
2095,A,A
2096,A,A
2097,B,B
2098,A,A
2099,B,B
2100,A,A
281,A,A
282,A,A
283,A,A
284,A,A
285,A,A
286,A,A
287,A,A
288,A,A
289,A,A
290,A,A
2101,C,C
2102,A,A
2103,A,A
2104,A,A
2105,A,A
2106,A,A
2107,C,C
2108,A,A
2109,C,C
2110,C,C
291,A,A
292,A,A
293,A,A
294,B,B
295,B,B
296,B,B
297,A,A
298,A,A
299,A,A
300,A,A
2111,C,C
2112,A,A
2113,A,A
2114,A,A
2115,A,A
2116,B,B
2117,A,A
2118,A,A
2119,A,A
2120,A,A
301,A,A
302,A,A
303,A,A
304,A,A
305,A,A
306,A,A
307,A,A
308,A,A
309,A,A
310,A,A
311,A,A
312,A,A
313,A,A
314,A,A
315,A,A
316,A,A
317,A,A
318,A,A
319,B,B
320,A,A
321,A,A
322,A,A
323,A,A
324,A,A
325,A,A
326,A,A
327,A,A
328,A,A
329,A,A
330,A,A
331,A,A
332,B,B
333,B,B
334,B,B
335,B,B
336,A,A
337,A,A
338,A,A
339,A,A
340,A,A
341,B,B
342,A,A
343,A,A
344,A,A
345,A,A
346,A,A
347,B,B
348,B,B
349,A,A
350,B,B
351,A,A
352,A,A
353,A,A
354,A,A
355,A,A
356,A,A
357,A,A
358,A,A
359,B,B
360,A,A
361,A,A
362,A,A
363,B,B
364,A,A
365,A,A
366,A,A
367,A,A
368,B,B
369,A,A
370,A,A
2121,A,A
2122,A,A
2123,A,A
2124,A,A
2125,C,C
2126,A,A
2127,A,A
2128,A,A
2129,A,A
2130,A,A
371,A,A
372,A,A
373,B,B
374,B,B
375,B,B
376,B,B
377,A,A
378,A,A
379,B,B
380,B,B
381,B,B
382,B,B
383,B,B
384,A,A
385,A,A
386,A,A
387,A,A
388,A,A
389,A,A
390,A,A
2131,A,A
2132,A,A
2133,A,A
2134,A,A
2135,A,A
2136,A,A
2137,C,C
2138,C,C
2139,B,B
2140,C,C
391,A,A
392,A,A
393,B,B
394,A,A
395,A,A
396,B,B
397,A,A
398,A,A
399,A,A
400,A,A
2141,A,A
2142,C,C
2143,A,A
2144,A,A
2145,B,B
2146,A,A
2147,A,A
2148,A,A
2149,C,C
2150,C,C
401,B,B
402,A,A
403,B,B
404,A,A
405,A,A
406,A,A
407,A,A
408,A,A
409,A,A
410,A,A
2151,C,C
2152,C,C
2153,C,C
2154,B,B
2155,B,B
2156,A,A
2157,B,B
2158,B,B
2159,B,B
2160,B,B
411,B,B
412,A,A
413,B,B
414,B,B
415,B,B
416,A,A
417,A,A
418,A,A
419,A,A
420,A,A
2161,B,B
2162,B,B
2163,B,B
2164,B,B
2165,A,A
2166,B,B
2167,C,C
2168,B,B
2169,B,B
2170,C,C
2171,B,B
2172,B,B
2173,A,A
2174,A,A
2175,A,A
2176,A,A
2177,B,B
2178,B,B
2179,B,B
2180,A,A
421,B,B
422,B,B
423,B,B
424,A,A
425,B,B
426,A,A
427,B,B
428,A,A
429,A,A
430,A,A
2181,B,B
2182,A,A
2183,A,A
2184,B,B
2185,A,A
2186,A,A
2187,A,A
2188,A,A
2189,A,A
2190,B,B
431,A,A
432,A,A
433,B,B
434,B,B
435,A,A
436,A,A
437,A,A
438,A,A
439,A,A
440,B,B
2191,A,A
2192,A,A
2193,A,A
2194,A,A
2195,C,C
2196,C,C
2197,A,A
2198,A,A
2199,A,A
2200,A,A
441,A,A
442,B,B
443,A,A
444,A,A
445,B,B
446,A,A
447,B,B
448,B,B
449,B,B
450,A,A
2201,A,A
2202,B,B
2203,A,A
2204,A,A
2205,B,B
2206,A,A
2207,A,A
2208,C,C
2209,C,C
2210,C,C
451,B,B
452,B,B
453,B,B
454,B,B
455,B,B
456,A,A
457,A,A
458,A,A
459,A,A
460,A,A
2211,C,C
2212,C,C
2213,C,C
2214,C,C
2215,A,A
2216,A,A
2217,A,A
2218,A,A
2219,A,A
2220,B,B
461,B,B
462,A,A
463,B,B
464,B,B
465,A,A
466,B,B
467,A,A
468,A,A
469,A,A
470,A,A
471,A,A
472,A,A
473,A,A
474,A,A
475,A,A
476,A,A
477,A,A
478,A,A
479,A,A
480,A,A
2221,A,A
2222,C,C
2223,B,B
2224,A,A
2225,A,A
2226,A,A
2227,C,C
2228,B,B
2229,A,A
2230,A,A
481,A,A
482,A,A
483,B,B
484,A,A
485,B,B
486,B,B
487,B,B
488,A,A
489,A,A
490,A,A
2231,A,A
2232,A,A
2233,C,C
2234,C,C
2235,A,A
2236,C,C
2237,C,C
2238,B,B
2239,A,A
2240,A,A
491,B,B
492,B,B
493,A,A
494,A,A
495,A,A
496,A,A
497,A,A
498,A,A
499,A,A
500,A,A
2241,A,A
2242,A,A
2243,A,A
2244,A,A
2245,B,B
2246,A,A
2247,A,A
2248,B,B
2249,B,B
2250,B,B
501,A,A
502,A,A
503,A,A
504,A,A
505,A,A
506,A,A
507,A,A
508,A,A
509,A,A
510,A,A
2251,B,B
2252,A,A
2253,A,A
2254,A,A
2255,A,A
2256,A,A
2257,C,C
2258,A,A
2259,A,A
2260,A,A
511,A,A
512,A,A
513,A,A
514,A,A
515,A,A
516,A,A
517,A,A
518,A,A
519,A,A
520,A,A
2261,A,A
2262,A,A
2263,A,A
2264,A,A
2265,A,A
2266,C,C
2267,A,A
2268,A,A
2269,A,A
2270,C,C
521,A,A
522,A,A
523,A,A
524,A,A
525,B,B
526,B,B
527,B,B
528,B,B
529,B,B
530,A,A
2271,C,C
2272,C,C
2273,A,A
2274,C,C
2275,A,A
2276,B,B
2277,B,B
2278,B,B
2279,B,B
2280,B,B
531,B,B
532,B,B
533,A,A
534,B,B
535,B,B
536,B,B
537,B,B
538,B,B
539,B,B
540,B,B
2281,B,B
2282,A,A
2283,A,A
2284,B,B
2285,A,A
2286,A,A
2287,A,A
2288,A,A
2289,A,A
2290,A,A
541,B,B
542,A,A
543,A,A
544,B,B
545,B,B
546,A,A
547,A,A
548,B,B
549,A,A
550,A,A
551,A,A
552,A,A
553,B,B
554,A,A
555,B,B
556,B,B
557,A,A
558,A,A
559,A,A
560,A,A
2291,A,A
2292,A,A
2293,B,B
2294,C,C
2295,B,B
2296,B,B
2297,B,B
2298,A,A
2299,C,C
2300,B,B
561,A,A
562,A,A
563,A,A
564,A,A
565,A,A
566,A,A
567,B,B
568,A,A
569,A,A
570,A,A
2301,A,A
2302,B,B
2303,C,C
2304,C,C
2305,A,A
2306,A,A
2307,C,C
2308,A,A
2309,A,A
2310,A,A
571,A,A
572,A,A
573,A,A
574,A,A
575,A,A
576,A,A
577,A,A
578,A,A
579,A,A
580,A,A
2311,A,A
2312,B,B
2313,A,A
2314,B,B
