task_id,choice,raw_output
10001,B,A
10002,A,B
10003,B,A
10004,B,A
10005,B,A
10006,A,B
10007,B,A
10008,A,B
10009,A,B
10010,A,B
11801,B,B
11802,A,C
11803,A,C
11804,A,C
11805,B,B
11806,B,B
11807,C,A
11808,B,B
11809,A,C
11810,C,A
10011,A,B
10012,A,B
10013,A,B
10014,A,B
10015,B,A
10016,B,A
10017,A,B
10018,A,B
10019,B,A
10020,B,A
11811,A,C
11812,C,A
11813,A,C
11814,C,A
11815,C,A
11816,C,A
11817,B,B
11818,C,A
11819,C,A
11820,C,A
10021,B,A
10022,A,B
10023,B,A
10024,B,A
10025,A,B
10026,A,B
10027,A,B
10028,A,B
10029,B,A
10030,A,B
11821,C,A
11822,C,A
11823,C,A
11824,C,A
11825,A,C
11826,A,C
11827,A,C
11828,A,C
11829,A,C
11830,A,C
11831,A,C
11832,B,B
11833,B,B
11834,B,B
11835,A,C
11836,B,B
11837,B,B
11838,A,C
11839,B,B
11840,A,C
10031,B,A
10032,A,B
10033,B,A
10034,B,A
10035,B,A
10036,B,A
10037,B,A
10038,B,A
10039,B,A
10040,B,A
10041,B,A
10042,B,A
10043,B,A
10044,A,B
10045,A,B
10046,B,A
10047,B,A
10048,B,A
10049,B,A
10050,A,B
11841,B,B
11842,A,C
11843,A,C
11844,A,C
11845,A,C
11846,A,C
11847,A,C
11848,A,C
11849,C,A
11850,C,A
10051,B,A
10052,B,A
10053,B,A
10054,B,A
10055,B,A
10056,B,A
10057,B,A
10058,B,A
10059,A,B
10060,B,A
11851,C,A
11852,C,A
11853,C,A
11854,A,C
11855,A,C
11856,C,A
11857,C,A
11858,C,A
11859,A,C
11860,C,A
10061,A,B
10062,B,A
10063,B,A
10064,B,A
10065,B,A
10066,B,A
10067,B,A
10068,A,B
10069,A,B
10070,A,B
11861,C,A
11862,B,B
11863,B,B
11864,C,A
11865,C,A
11866,B,B
11867,C,A
11868,C,A
11869,C,A
11870,B,B
11871,C,A
11872,B,B
11873,A,C
11874,A,C
11875,A,C
11876,A,C
11877,C,A
11878,C,A
11879,A,C
11880,C,A
10071,A,B
10072,A,B
10073,A,B
10074,A,B
10075,A,B
10076,A,B
10077,A,B
10078,A,B
10079,B,A
10080,A,B
11881,A,C
11882,A,C
11883,A,C
11884,A,C
11885,A,C
11886,A,C
11887,A,C
11888,A,C
11889,A,C
11890,A,C
10081,A,B
10082,A,B
10083,A,B
10084,A,B
10085,B,A
10086,A,B
10087,B,A
10088,A,B
10089,B,A
10090,B,A
11891,A,C
11892,C,A
11893,C,A
11894,A,C
11895,C,A
11896,C,A
11897,C,A
11898,C,A
11899,B,B
11900,C,A
10091,B,A
10092,B,A
10093,B,A
10094,B,A
10095,A,B
10096,B,A
10097,A,B
10098,A,B
10099,A,B
10100,B,A
11901,C,A
11902,C,A
11903,A,C
11904,C,A
11905,C,A
11906,A,C
11907,A,C
11908,A,C
11909,A,C
11910,A,C
10101,B,A
10102,B,A
10103,B,A
10104,B,A
10105,A,B
10106,A,B
10107,A,B
10108,A,B
10109,A,B
10110,A,B
11911,A,C
11912,A,C
11913,A,C
11914,A,C
11915,A,C
11916,B,B
11917,B,B
11918,A,C
11919,B,B
11920,B,B
10111,A,B
10112,A,B
10113,A,B
10114,A,B
10115,A,B
10116,A,B
10117,B,A
10118,A,B
10119,A,B
10120,A,B
11921,B,B
11922,C,A
11923,B,B
11924,A,C
11925,B,B
11926,A,C
11927,A,C
11928,C,A
11929,C,A
11930,C,A
10121,A,B
10122,A,B
10123,A,B
10124,A,B
10125,A,B
10126,A,B
10127,A,B
10128,A,B
10129,A,B
10130,B,A
11931,C,A
11932,C,A
11933,B,B
11934,A,C
11935,A,C
11936,A,C
11937,A,C
11938,B,B
11939,A,C
11940,A,C
10131,A,B
10132,A,B
10133,B,A
10134,B,A
10135,B,A
10136,B,A
10137,B,A
10138,B,A
10139,A,B
10140,A,B
11941,A,C
11942,A,C
11943,A,C
11944,A,C
11945,A,C
11946,A,C
11947,C,A
11948,A,C
11949,C,A
11950,B,B
10141,A,B
10142,A,B
10143,A,B
10144,B,A
10145,B,A
10146,B,A
10147,B,A
10148,A,B
10149,A,B
10150,A,B
11951,C,A
11952,B,B
11953,B,B
11954,B,B
11955,A,C
11956,C,A
11957,A,C
11958,C,A
11959,A,C
11960,A,C
10151,A,B
10152,A,B
10153,B,A
10154,B,A
10155,B,A
10156,A,B
10157,A,B
10158,A,B
10159,B,A
10160,A,B
11961,A,C
11962,A,C
11963,B,B
11964,A,C
11965,A,C
11966,A,C
11967,A,C
11968,B,B
11969,B,B
11970,B,B
10161,A,B
10162,A,B
10163,A,B
10164,A,B
10165,A,B
10166,A,B
10167,B,A
10168,B,A
10169,A,B
10170,A,B
11971,B,B
11972,B,B
11973,B,B
11974,B,B
11975,C,A
11976,C,A
11977,C,A
11978,C,A
11979,B,B
11980,C,A
10171,A,B
10172,B,A
10173,A,B
10174,A,B
10175,B,A
10176,A,B
10177,A,B
10178,A,B
10179,A,B
10180,A,B
11981,A,C
11982,B,B
11983,C,A
11984,B,B
11985,A,C
11986,A,C
11987,A,C
11988,A,C
11989,C,A
11990,A,C
10181,A,B
10182,A,B
10183,A,B
10184,A,B
10185,A,B
10186,A,B
10187,A,B
10188,A,B
10189,A,B
10190,A,B
11991,A,C
11992,A,C
11993,B,B
11994,C,A
11995,A,C
11996,A,C
11997,B,B
11998,A,C
11999,C,A
12000,A,C
10191,A,B
10192,B,A
10193,A,B
10194,A,B
10195,A,B
10196,A,B
10197,B,A
10198,A,B
10199,A,B
10200,A,B
12001,C,A
12002,C,A
12003,C,A
12004,A,C
12005,A,C
12006,A,C
12007,A,C
12008,B,B
12009,A,C
12010,A,C
10201,A,B
10202,B,A
10203,A,B
10204,A,B
10205,A,B
10206,A,B
10207,A,B
10208,A,B
10209,A,B
10210,A,B
12011,B,B
12012,A,C
12013,B,B
12014,B,B
12015,B,B
12016,A,C
12017,B,B
12018,A,C
12019,C,A
12020,C,A
10211,A,B
10212,A,B
10213,B,A
10214,A,B
10215,B,A
10216,A,B
10217,B,A
10218,A,B
10219,A,B
10220,B,A
12021,B,B
12022,A,C
12023,A,C
12024,A,C
12025,A,C
12026,A,C
12027,A,C
12028,A,C
12029,B,B
12030,B,B
10221,A,B
10222,A,B
10223,B,A
10224,A,B
10225,B,A
10226,A,B
10227,A,B
10228,B,A
10229,A,B
10230,A,B
12031,B,B
12032,B,B
12033,B,B
12034,A,C
12035,A,C
12036,A,C
12037,A,C
12038,A,C
12039,A,C
12040,B,B
10231,A,B
10232,B,A
10233,A,B
10234,A,B
10235,A,B
10236,A,B
10237,B,A
10238,A,B
10239,A,B
10240,A,B
12041,A,C
12042,A,C
12043,A,C
12044,A,C
12045,A,C
12046,C,A
12047,B,B
12048,A,C
12049,B,B
12050,B,B
10241,A,B
10242,A,B
10243,A,B
10244,A,B
10245,A,B
10246,A,B
10247,A,B
10248,A,B
10249,A,B
10250,B,A
12051,B,B
12052,C,A
12053,A,C
12054,B,B
12055,B,B
12056,A,C
12057,B,B
12058,B,B
12059,A,C
12060,C,A
10251,A,B
10252,A,B
10253,A,B
10254,B,A
10255,A,B
10256,A,B
10257,B,A
10258,A,B
10259,B,A
10260,A,B
12061,C,A
12062,C,A
12063,C,A
12064,C,A
12065,C,A
12066,A,C
12067,A,C
12068,B,B
12069,B,B
12070,A,C
10261,A,B
10262,B,A
10263,B,A
10264,A,B
10265,A,B
10266,A,B
10267,A,B
10268,A,B
10269,B,A
10270,A,B
12071,B,B
12072,A,C
12073,C,A
12074,C,A
12075,B,B
12076,A,C
12077,B,B
12078,B,B
12079,B,B
12080,B,B
10271,A,B
10272,B,A
10273,A,B
10274,A,B
10275,A,B
10276,A,B
10277,A,B
10278,A,B
10279,A,B
10280,A,B
12081,B,B
12082,C,A
12083,A,C
12084,A,C
12085,A,C
12086,C,A
12087,A,C
12088,C,A
12089,B,B
12090,A,C
10281,A,B
10282,A,B
10283,A,B
10284,A,B
10285,A,B
10286,A,B
10287,A,B
10288,A,B
10289,A,B
10290,A,B
12091,A,C
12092,A,C
12093,A,C
12094,A,C
12095,A,C
12096,A,C
12097,B,B
12098,A,C
12099,B,B
12100,A,C
10291,A,B
10292,A,B
10293,A,B
10294,B,A
10295,B,A
10296,B,A
10297,A,B
10298,A,B
10299,A,B
10300,A,B
12101,C,A
12102,A,C
12103,C,A
12104,C,A
12105,A,C
12106,A,C
12107,C,A
12108,C,A
12109,C,A
12110,C,A
10301,A,B
10302,B,A
10303,A,B
10304,A,B
10305,A,B
10306,A,B
10307,A,B
10308,A,B
10309,A,B
10310,A,B
12111,C,A
12112,C,A
12113,B,B
12114,A,C
12115,A,C
12116,B,B
12117,A,C
12118,A,C
12119,A,C
12120,A,C
10311,A,B
10312,A,B
10313,A,B
10314,A,B
10315,A,B
10316,A,B
10317,A,B
10318,A,B
10319,B,A
10320,A,B
12121,A,C
12122,A,C
12123,A,C
12124,A,C
12125,C,A
12126,C,A
12127,C,A
12128,A,C
12129,A,C
12130,A,C
10321,A,B
10322,A,B
10323,A,B
10324,A,B
10325,A,B
10326,A,B
10327,A,B
10328,A,B
10329,A,B
10330,A,B
12131,A,C
12132,A,C
12133,A,C
12134,A,C
12135,C,A
12136,A,C
12137,C,A
12138,B,B
12139,B,B
12140,B,B
10331,A,B
10332,B,A
10333,A,B
10334,A,B
10335,B,A
10336,A,B
10337,A,B
10338,A,B
10339,A,B
10340,A,B
12141,B,B
12142,B,B
12143,A,C
12144,A,C
12145,B,B
12146,A,C
12147,B,B
12148,A,C
12149,C,A
12150,C,A
10341,B,A
10342,B,A
10343,A,B
10344,A,B
10345,A,B
10346,A,B
10347,B,A
10348,B,A
10349,A,B
10350,A,B
12151,B,B
12152,C,A
12153,B,B
12154,B,B
12155,B,B
12156,B,B
12157,B,B
12158,B,B
12159,B,B
12160,B,B
10351,A,B
10352,A,B
10353,A,B
10354,A,B
10355,A,B
10356,A,B
10357,A,B
10358,A,B
10359,B,A
10360,A,B
12161,B,B
12162,A,C
12163,A,C
12164,A,C
12165,A,C
12166,B,B
12167,B,B
12168,B,B
12169,B,B
12170,C,A
10361,B,A
10362,A,B
10363,B,A
10364,B,A
10365,A,B
10366,A,B
10367,A,B
10368,B,A
10369,A,B
10370,A,B
12171,B,B
12172,B,B
12173,C,A
12174,A,C
12175,A,C
12176,C,A
12177,B,B
12178,B,B
12179,B,B
12180,A,C
10371,A,B
10372,B,A
10373,B,A
10374,B,A
10375,B,A
10376,B,A
10377,A,B
10378,A,B
10379,B,A
10380,B,A
10381,A,B
10382,B,A
10383,B,A
10384,A,B
10385,A,B
10386,A,B
10387,A,B
10388,A,B
10389,A,B
10390,A,B
12181,B,B
12182,A,C
12183,A,C
12184,B,B
12185,A,C
12186,A,C
12187,A,C
12188,A,C
12189,A,C
12190,A,C
10391,A,B
10392,A,B
10393,A,B
10394,A,B
10395,A,B
10396,B,A
10397,B,A
10398,A,B
10399,A,B
10400,A,B
12191,A,C
12192,C,A
12193,A,C
12194,A,C
12195,C,A
12196,A,C
12197,A,C
12198,A,C
12199,A,C
12200,A,C
10401,B,A
10402,A,B
10403,A,B
10404,A,B
10405,A,B
10406,A,B
10407,A,B
10408,A,B
10409,A,B
10410,A,B
12201,A,C
12202,B,B
12203,A,C
12204,A,C
12205,B,B
12206,A,C
12207,A,C
12208,C,A
12209,C,A
12210,C,A
10411,B,A
10412,A,B
10413,B,A
10414,B,A
10415,B,A
10416,A,B
10417,A,B
10418,A,B
10419,A,B
10420,A,B
12211,C,A
12212,C,A
12213,C,A
12214,C,A
12215,A,C
12216,A,C
12217,A,C
12218,A,C
12219,A,C
12220,B,B
10421,B,A
10422,B,A
10423,B,A
10424,A,B
10425,B,A
