task_id,choice,raw_output
1,A,A
2,C,C
3,A,A
4,A,A
5,A,A
6,A,A
7,A,A
8,A,A
9,A,A
10,A,A
11,A,A
12,A,A
13,A,A
14,A,A
15,B,B
16,A,A
17,A,A
18,B,B
19,B,B
20,B,B
21,B,B
22,A,A
23,C,C
24,A,A
25,A,A
26,A,A
27,A,A
28,E,E
29,A,A
30,A,A
31,A,A
32,A,A
33,A,A
34,E,E
35,A,A
36,A,A
37,A,A
38,E,E
39,A,A
40,A,A
41,A,A
42,A,A
43,A,A
44,C,C
45,A,A
46,D,D
47,A,A
48,A,A
49,A,A
50,E,E
51,A,A
52,B,B
53,C,C
54,A,A
55,B,B
56,D,D
57,A,A
58,B,B
59,A,A
60,A,A
61,B,B
62,A,A
63,A,A
64,A,A
65,A,A
66,A,A
67,A,A
68,B,B
69,A,A
70,A,A
71,A,A
72,B,B
73,B,B
74,A,A
75,A,A
76,A,A
77,A,A
78,B,B
79,A,A
80,B,B
81,A,A
82,A,A
83,D,D
84,A,A
85,A,A
86,A,A
87,A,A
88,A,A
89,A,A
90,E,E
91,A,A
92,A,A
93,A,A
94,C,C
95,A,A
96,A,A
97,A,A
98,A,A
99,D,D
100,A,A
101,A,A
102,A,A
103,A,A
104,A,A
105,A,A
106,D,D
107,A,A
108,D,D
109,A,A
110,B,B
111,A,A
112,A,A
113,A,A
114,A,A
115,A,A
116,B,B
117,C,C
118,A,A
119,A,A
120,A,A
121,A,A
122,A,A
123,B,B
124,A,A
125,A,A
126,A,A
127,A,A
128,B,B
129,A,A
130,A,A
131,A,A
132,A,A
133,A,A
134,B,B
135,B,B
136,A,A
137,A,A
138,A,A
139,A,A
140,A,A
141,A,A
142,B,B
143,A,A
144,A,A
145,B,B
146,A,A
147,A,A
148,D,D
149,A,A
150,B,B
151,A,A
152,E,E
153,A,A
154,A,A
155,A,A
156,A,A
157,A,A
158,A,A
159,A,A
160,A,A
161,A,A
162,A,A
163,B,B
164,A,A
165,A,A
166,A,A
167,A,A
168,D,D
169,B,B
170,A,A
171,C,C
172,A,A
173,A,A
174,B,B
175,A,A
176,A,A
177,A,A
178,A,A
179,E,E
180,A,A
181,E,E
182,A,A
183,A,A
184,A,A
185,A,A
186,A,A
187,A,A
188,B,B
189,A,A
190,A,A
191,A,A
192,A,A
193,B,B
194,A,A
195,A,A
196,A,A
197,A,A
198,A,A
199,C,C
200,B,B
201,B,B
202,A,A
203,A,A
204,D,D
205,A,A
206,B,B
207,A,A
208,A,A
209,A,A
210,A,A
211,A,A
212,A,A
213,A,A
214,B,B
215,A,A
216,A,A
217,A,A
218,A,A
219,A,A
220,A,A
221,B,B
222,A,A
223,D,D
224,A,A
225,A,A
226,B,B
227,A,A
228,A,A
229,A,A
230,A,A
231,C,C
232,A,A
233,A,A
234,D,D
235,A,A
236,B,B
237,A,A
238,D,D
239,A,A
240,A,A
241,D,D
242,A,A
243,A,A
244,B,B
245,A,A
246,A,A
247,A,A
248,A,A
249,A,A
250,A,A
251,A,A
252,A,A
253,A,A
254,A,A
255,B,B
256,A,A
257,A,A
258,A,A
259,B,B
260,A,A
261,A,A
262,A,A
263,C,C
264,D,D
265,A,A
266,A,A
267,B,B
268,A,A
269,A,A
270,A,A
271,A,A
272,A,A
273,A,A
274,A,A
275,A,A
276,A,A
277,A,A
278,B,B
279,C,C
280,A,A
281,A,A
282,A,A
283,A,A
284,B,B
285,B,B
286,C,C
287,D,D
288,E,E
289,A,A
290,A,A
291,A,A
292,B,B
293,B,B
294,A,A
295,A,A
296,A,A
297,A,A
298,A,A
299,B,B
300,A,A
