task_id,choice,raw_output
10001,D,B
10002,D,B
10003,A,E
10004,D,B
10005,A,E
10006,B,D
10007,A,E
10008,B,D
10009,A,E
10010,E,A
10011,E,A
10012,E,A
10013,E,A
10014,E,A
10015,D,B
10016,E,A
10017,A,E
10018,E,A
10019,C,C
10020,E,A
10021,E,A
10022,E,A
10023,E,A
10024,B,D
10025,E,A
10026,D,B
10027,C,C
10028,E,A
10029,D,B
10030,D,B
10031,B,D
10032,A,E
10033,E,A
10034,E,A
10035,A,E
10036,A,E
10037,A,E
10038,E,A
10039,A,E
10040,E,A
10041,B,D
10042,A,E
10043,D,B
10044,E,A
10045,A,E
10046,A,E
10047,E,A
10048,E,A
10049,D,B
10050,D,B
10051,E,A
10052,D,B
10053,E,A
10054,A,E
10055,E,A
10056,D,B
10057,A,E
10058,B,D
10059,E,A
10060,E,A
10061,E,A
10062,D,B
10063,A,E
10064,E,A
10065,E,A
10066,A,E
10067,D,B
10068,E,A
10069,D,B
10070,E,A
10071,E,A
10072,B,D
10073,D,B
10074,C,C
10075,D,B
10076,E,A
10077,A,E
10078,D,B
10079,A,E
10080,D,B
10081,D,B
10082,E,A
10083,C,C
10084,D,B
10085,B,D
10086,A,E
10087,E,A
10088,E,A
10089,E,A
10090,E,A
10091,B,D
10092,E,A
10093,E,A
10094,E,A
10095,E,A
10096,E,A
10097,A,E
10098,E,A
10099,E,A
10100,E,A
10101,D,B
10102,E,A
10103,E,A
10104,E,A
10105,E,A
10106,E,A
10107,D,B
10108,E,A
10109,B,D
10110,E,A
10111,E,A
10112,E,A
10113,A,E
10114,B,D
10115,D,B
10116,E,A
10117,D,B
10118,A,E
10119,C,C
10120,D,B
10121,A,E
10122,E,A
10123,B,D
10124,E,A
10125,E,A
10126,B,D
10127,E,A
10128,E,A
10129,E,A
10130,C,C
10131,B,D
10132,C,C
10133,E,A
10134,D,B
10135,C,C
10136,E,A
10137,B,D
10138,E,A
10139,E,A
10140,E,A
10141,D,B
10142,E,A
10143,E,A
10144,E,A
10145,E,A
10146,E,A
10147,C,C
10148,E,A
10149,A,E
10150,E,A
10151,E,A
10152,E,A
10153,E,A
10154,E,A
10155,C,C
10156,A,E
10157,D,B
10158,A,E
10159,E,A
10160,E,A
10161,A,E
10162,B,D
10163,E,A
10164,E,A
10165,D,B
10166,D,B
10167,A,E
10168,D,B
10169,E,A
10170,E,A
10171,E,A
10172,E,A
10173,E,A
10174,E,A
10175,E,A
10176,E,A
10177,D,B
10178,C,C
10179,E,A
10180,A,E
10181,E,A
10182,E,A
10183,E,A
10184,D,B
10185,A,E
10186,C,C
10187,E,A
10188,E,A
10189,B,D
10190,E,A
10191,A,E
10192,A,E
10193,E,A
10194,C,C
10195,E,A
10196,E,A
10197,A,E
10198,C,C
10199,E,A
10200,E,A
10201,E,A
10202,E,A
10203,A,E
10204,D,B
10205,D,B
10206,E,A
10207,B,D
10208,D,B
10209,A,E
10210,B,D
10211,A,E
10212,A,E
10213,E,A
10214,E,A
10215,E,A
10216,E,A
10217,E,A
10218,D,B
10219,A,E
10220,E,A
10221,E,A
10222,D,B
10223,D,B
10224,B,D
10225,E,A
10226,E,A
10227,E,A
10228,E,A
10229,D,B
10230,E,A
10231,E,A
10232,E,A
10233,B,D
10234,D,B
10235,B,D
10236,D,B
10237,E,A
10238,D,B
10239,A,E
10240,E,A
10241,B,D
10242,E,A
10243,D,B
10244,B,D
10245,E,A
10246,E,A
10247,A,E
10248,E,A
10249,E,A
10250,B,D
10251,D,B
10252,A,E
10253,D,B
10254,B,D
10255,E,A
10256,E,A
10257,A,E
10258,E,A
10259,E,A
10260,A,E
10261,D,B
10262,A,E
10263,E,A
10264,E,A
10265,E,A
10266,E,A
10267,E,A
10268,D,B
10269,B,D
10270,E,A
10271,E,A
10272,E,A
10273,D,B
10274,E,A
10275,B,D
10276,B,D
10277,B,D
10278,E,A
10279,C,C
10280,B,D
10281,B,D
10282,B,D
10283,E,A
10284,B,D
10285,B,D
10286,E,A
10287,E,A
10288,E,A
10289,A,E
10290,D,B
10291,E,A
10292,B,D
10293,E,A
10294,D,B
10295,B,D
10296,C,C
10297,C,C
10298,E,A
10299,E,A
10300,E,A
