task_id,choice,raw_output
10001,B,A
10002,B,A
10005,B,A
10006,B,A
10009,B,A
10010,B,A
10013,B,A
10014,B,A
10017,B,A
10018,B,A
10001,B,A
10002,B,A
10005,B,A
10006,B,A
10009,B,A
10010,B,A
10013,B,A
10014,B,A
10017,B,A
10018,B,A
10021,B,A
10022,B,A
10025,B,A
10026,B,A
10029,B,A
10030,B,A
10033,B,A
10034,B,A
10037,B,A
10038,B,A
10021,B,A
10022,B,A
10025,B,A
10026,B,A
10029,B,A
10030,B,A
10033,B,A
10034,B,A
10037,B,A
10038,B,A
10041,B,A
10042,B,A
10045,B,A
10046,B,A
10049,B,A
10050,B,A
10053,B,A
10054,B,A
10057,B,A
10058,B,A
10041,B,A
10042,B,A
10045,B,A
10046,B,A
10049,B,A
10050,B,A
10053,B,A
10054,B,A
10057,B,A
10058,B,A
10061,B,A
10062,B,A
10065,B,A
10066,B,A
10069,B,A
10070,B,A
10073,B,A
10074,B,A
10077,B,A
10078,B,A
10061,B,A
10062,B,A
10065,B,A
10066,B,A
10069,B,A
10070,B,A
10073,B,A
10074,B,A
10077,B,A
10078,B,A
10081,B,A
10082,B,A
10085,B,A
10086,B,A
10089,B,A
10090,B,A
10093,B,A
10094,B,A
10097,B,A
10098,B,A
10081,B,A
10082,B,A
10085,B,A
10086,B,A
10089,B,A
10090,B,A
10093,B,A
10094,B,A
10097,B,A
10098,B,A
10101,B,A
10102,B,A
10105,B,A
10106,B,A
10109,B,A
10110,B,A
10113,B,A
10114,B,A
10117,B,A
10118,B,A
10101,B,A
10102,B,A
10105,B,A
10106,B,A
10109,B,A
10110,B,A
10113,B,A
10114,B,A
10117,B,A
10118,B,A
10121,B,A
10122,B,A
10125,B,A
10126,B,A
10129,B,A
10130,B,A
10133,B,A
10134,B,A
10137,B,A
10138,B,A
10121,B,A
10122,B,A
10125,B,A
10126,B,A
10129,B,A
10130,B,A
10133,B,A
10134,B,A
10137,B,A
10138,B,A
10141,B,A
10142,B,A
10145,B,A
10146,B,A
10149,B,A
10150,B,A
10153,B,A
10154,B,A
10157,A,B
10158,B,A
10141,B,A
10142,B,A
10145,B,A
10146,B,A
10149,B,A
10150,B,A
10153,B,A
10154,B,A
10157,A,B
10158,B,A
