task_id,choice,raw_output
1,A,Option A.
2,A,Option A.
3,A,Option A.
4,A,Option A.
5,A,Option A.
6,A,Option A.
7,A,Option A.
8,A,Option A.
9,A,Option A.
10,A,Option A.
11,A,Option A.
12,A,Option A.
13,A,Option A.
14,A,Option A.
15,A,Option A.
16,A,Option A.
17,A,Option A.
18,A,Option A.
19,A,Option A.
20,A,Option A.
21,A,Option A.
22,A,Option A.
23,A,Option A.
24,A,Option A.
25,A,Option A.
26,A,Option A.
27,A,Option A.
28,A,Option A.
29,A,Option A.
30,A,Option A.
31,A,Option A.
32,A,Option A.
33,A,Option A.
34,A,Option A.
35,A,Option A.
36,A,Option A.
37,A,Option A.
38,A,Option A.
39,A,Option A.
40,A,Option A.
41,A,Option A.
42,A,Option A.
43,A,Option A.
44,A,Option A.
45,A,Option A.
46,A,Option A.
47,A,Option A.
48,A,Option A.
49,A,Option A.
50,A,Option A.
51,A,Option A.
52,A,Option A.
53,A,Option A.
54,A,Option A.
55,A,Option A.
56,A,Option A.
57,A,Option A.
58,A,Option A.
59,A,Option A.
60,A,Option A.
61,A,Option A.
62,A,Option A.
63,A,Option A.
64,A,Option A.
65,A,Option A.
66,A,Option A.
67,A,Option A.
68,A,Option A.
69,A,Option A.
70,A,Option A.
71,A,Option A.
72,A,Option A.
73,A,Option A.
74,A,Option A.
75,A,Option A.
76,A,Option A.
77,A,Option A.
78,A,Option A.
79,A,Option A.
80,A,Option A.
81,A,Option A.
82,A,Option A.
83,A,Option A.
84,A,Option A.
85,A,Option A.
86,A,Option A.
87,A,Option A.
88,A,Option A.
89,A,Option A.
90,A,Option A.
91,A,Option A.
92,A,Option A.
93,A,Option A.
94,A,Option A.
95,A,Option A.
96,A,Option A.
97,A,Option A.
98,A,Option A.
99,A,Option A.
100,A,Option A.
101,A,Option A.
102,A,Option A.
103,A,Option A.
104,A,Option A.
105,A,Option A.
106,A,Option A.
107,A,Option A.
108,A,Option A.
109,A,Option A.
110,A,Option A.
111,A,Option A.
112,A,Option A.
113,A,Option A.
114,A,Option A.
115,A,Option A.
116,A,Option A.
117,A,Option A.
118,A,Option A.
119,A,Option A.
120,A,Option A.
121,A,Option A.
122,A,Option A.
123,A,Option A.
124,A,Option A.
125,A,Option A.
126,A,Option A.
