task_id,choice,raw_output
1001,B,Option A.
1002,B,Option A.
1003,B,Option A.
1004,B,Option A.
1005,B,Option A.
1006,B,Option A.
1007,B,Option A.
1008,B,Option A.
1009,B,Option A.
1010,B,Option A.
1011,B,Option A.
1012,B,Option A.
1013,B,Option A.
1014,B,Option A.
1015,B,Option A.
1016,B,Option A.
1017,B,Option A.
1018,B,Option A.
1019,B,Option A.
1020,B,Option A.
1021,B,Option A.
1022,B,Option A.
1023,B,Option A.
1024,B,Option A.
1025,B,Option A.
1026,B,Option A.
1027,B,Option A.
1028,B,Option A.
1029,B,Option A.
1030,B,Option A.
1031,B,Option A.
1032,B,Option A.
1033,B,Option A.
1034,B,Option A.
1035,B,Option A.
1036,B,Option A.
1037,B,Option A.
1038,B,Option A.
1039,B,Option A.
1040,B,Option A.
1041,B,Option A.
1042,B,Option A.
1043,B,Option A.
1044,B,Option A.
1045,B,Option A.
1046,B,Option A.
1047,B,Option A.
1048,B,Option A.
1049,B,Option A.
1050,B,Option A.
1051,B,Option A.
1052,B,Option A.
1053,B,Option A.
1054,B,Option A.
1055,B,Option A.
1056,B,Option A.
1057,B,Option A.
1058,B,Option A.
1059,B,Option A.
1060,B,Option A.
1061,B,Option A.
1062,B,Option A.
1063,B,Option A.
1064,B,Option A.
1065,B,Option A.
1066,B,Option A.
1067,B,Option A.
1068,B,Option A.
1069,B,Option A.
1070,B,Option A.
1071,B,Option A.
1072,B,Option A.
1073,B,Option A.
1074,B,Option A.
1075,B,Option A.
1076,B,Option A.
1077,B,Option A.
1078,B,Option A.
1079,B,Option A.
1080,B,Option A.
1081,B,Option A.
1082,B,Option A.
1083,B,Option A.
1084,B,Option A.
1085,B,Option A.
1086,B,Option A.
1087,B,Option A.
1088,B,Option A.
1089,B,Option A.
1090,B,Option A.
1091,B,Option A.
1092,B,Option A.
1093,B,Option A.
1094,B,Option A.
1095,B,Option A.
1096,B,Option A.
1097,B,Option A.
1098,B,Option A.
1099,B,Option A.
1100,B,Option A.
1101,B,Option A.
1102,B,Option A.
1103,B,Option A.
1104,B,Option A.
1105,B,Option A.
1106,B,Option A.
1107,B,Option A.
1108,B,Option A.
1109,B,Option A.
1110,B,Option A.
1111,B,Option A.
1112,B,Option A.
1113,B,Option A.
1114,B,Option A.
1115,B,Option A.
1116,B,Option A.
1117,B,Option A.
1118,B,Option A.
1119,B,Option A.
1120,B,Option A.
1121,B,Option A.
1122,B,Option A.
1123,B,Option A.
1124,B,Option A.
1125,B,Option A.
1126,B,Option A.
1127,B,Option A.
1128,B,Option A.
1129,B,Option A.
1130,B,Option A.
1131,B,Option A.
1132,B,Option A.
1133,B,Option A.
1134,B,Option A.
1135,B,Option A.
1136,B,Option A.
1137,B,Option A.
