task_id,choice,raw_output
10001,B,A
10002,A,B
10005,B,A
10006,B,A
10009,A,B
10010,A,B
10013,B,A
10014,B,A
10017,B,A
10018,B,A
10021,B,A
10022,B,A
10025,B,A
10026,B,A
10029,B,A
10030,A,B
10033,B,A
10034,B,A
10037,B,A
10038,B,A
10041,B,A
10042,A,B
10045,B,A
10046,B,A
10049,A,B
10050,A,B
10053,B,A
10054,B,A
10057,B,A
10058,B,A
10061,A,B
10062,B,A
10065,B,A
10066,B,A
10069,B,A
10070,A,B
10073,B,A
10074,A,B
10077,B,A
10078,B,A
10081,A,B
10082,A,B
10085,A,B
10086,A,B
10089,B,A
10090,B,A
10093,B,A
10094,B,A
10097,A,B
10098,B,A
10101,B,A
10102,B,A
10105,A,B
10106,B,A
10109,A,B
10110,A,B
10113,A,B
10114,B,A
10117,B,A
10118,A,B
10121,B,A
10122,B,A
10125,A,B
10126,A,B
10129,A,B
10130,B,A
10133,B,A
10134,B,A
10137,B,A
10138,B,A
10141,A,B
10142,A,B
10145,B,A
10146,B,A
10149,B,A
10150,A,B
10153,B,A
10154,B,A
10157,A,B
10158,A,B
10161,A,B
10162,B,A
10165,A,B
10166,A,B
10169,A,B
10170,A,B
10173,A,B
10174,A,B
10177,A,B
10178,A,B
10181,A,B
10182,A,B
10185,A,B
10186,A,B
10189,A,B
10190,A,B
10193,A,B
10194,A,B
10197,B,A
10198,A,B
10201,A,B
10202,B,A
10205,A,B
10206,A,B
10209,A,B
10210,A,B
10213,A,B
10214,A,B
10217,A,B
10218,A,B
10221,A,B
10222,A,B
10225,B,A
10226,A,B
10229,A,B
10230,A,B
10233,A,B
10234,A,B
10237,A,B
10238,A,B
10241,A,B
10242,A,B
10245,A,B
10246,A,B
10249,B,A
10250,B,A
10253,A,B
10254,B,A
10257,B,A
10258,B,A
10261,B,A
10262,B,A
10265,A,B
10266,A,B
10269,B,A
10270,A,B
10273,B,A
10274,B,A
10277,A,B
10278,A,B
10281,A,B
10282,A,B
10285,A,B
10286,A,B
10289,A,B
10290,A,B
10293,B,A
10294,B,A
10297,A,B
10298,A,B
10301,A,B
10302,B,A
10305,B,A
10306,B,A
10309,B,A
10310,B,A
10313,A,B
10314,A,B
10317,A,B
10318,A,B
10321,A,B
10322,A,B
10325,A,B
10326,A,B
10329,A,B
10330,A,B
10333,A,B
10334,A,B
10337,A,B
10338,A,B
10341,B,A
10342,B,A
10345,A,B
10346,A,B
10349,A,B
10350,A,B
10353,A,B
10354,A,B
10357,A,B
10358,A,B
10361,B,A
10362,B,A
10365,A,B
10366,A,B
10369,A,B
10370,A,B
10373,B,A
10374,B,A
10377,B,A
10378,B,A
10381,A,B
10382,B,A
10385,A,B
10386,A,B
10389,A,B
10390,A,B
10393,A,B
10394,A,B
10397,A,B
10398,A,B
10401,A,B
10402,A,B
10405,A,B
10406,A,B
10409,A,B
10410,A,B
10413,B,A
10414,B,A
10417,A,B
10418,A,B
10421,A,B
10422,B,A
10425,B,A
10426,B,A
10429,A,B
10430,A,B
10433,B,A
10434,B,A
10437,B,A
10438,A,B
10441,B,A
10442,B,A
10445,B,A
10446,A,B
10449,B,A
10450,A,B
10453,B,A
10454,B,A
10457,A,B
10458,A,B
10461,B,A
10462,A,B
10465,A,B
10466,A,B
10469,A,B
10470,A,B
10473,A,B
10474,A,B
10477,A,B
10478,A,B
10481,B,A
10482,A,B
10485,B,A
10486,A,B
10489,B,A
10490,A,B
10493,A,B
10494,A,B
10497,A,B
10498,A,B
10501,A,B
10502,A,B
10505,A,B
10506,A,B
10509,A,B
10510,A,B
10513,A,B
10514,A,B
10517,A,B
10518,A,B
10521,A,B
10522,A,B
10525,B,A
10526,B,A
10529,B,A
10530,B,A
10533,A,B
10534,B,A
10537,B,A
10538,B,A
10541,B,A
10542,B,A
10545,B,A
10546,A,B
10549,A,B
10550,A,B
10553,B,A
10554,A,B
10557,A,B
10558,A,B
10561,A,B
10562,A,B
10565,A,B
10566,A,B
10569,A,B
10570,A,B
10573,A,B
10574,A,B
10577,A,B
10578,A,B
10581,A,B
10582,A,B
10585,B,A
10586,A,B
10589,A,B
10590,A,B
10593,A,B
10594,A,B
10597,B,A
10598,B,A
10601,A,B
10602,A,B
10605,A,B
10606,A,B
10609,A,B
10610,A,B
10613,A,B
10614,A,B
10617,A,B
10618,A,B
10621,B,A
10622,A,B
10625,B,A
10626,A,B
10629,A,B
10630,A,B
10633,B,A
10634,B,A
10637,A,B
10638,A,B
10641,A,B
10642,A,B
10645,A,B
10646,A,B
10649,A,B
10650,A,B
10653,A,B
10654,A,B
10657,B,A
10658,B,A
10661,B,A
10662,A,B
10665,A,B
10666,B,A
10669,B,A
10670,B,A
10673,B,A
10674,A,B
10677,A,B
10678,A,B
10681,A,B
10682,A,B
10685,A,B
10686,A,B
10689,A,B
10690,A,B
10693,A,B
10694,A,B
10697,A,B
10698,A,B
10701,A,B
10702,A,B
10705,A,B
10706,A,B
10709,A,B
10710,A,B
10713,A,B
10714,A,B
10717,B,A
10718,A,B
10721,A,B
10722,A,B
10725,A,B
10726,A,B
10729,A,B
10730,B,A
10733,A,B
10734,A,B
10737,A,B
10738,A,B
10741,A,B
10742,A,B
10745,A,B
10746,A,B
10749,A,B
10750,B,A
10753,B,A
10754,A,B
10757,A,B
10758,A,B
10761,A,B
10762,A,B
10765,A,B
10766,A,B
10769,A,B
10770,B,A
10773,A,B
10774,A,B
10777,B,A
10778,A,B
10781,A,B
10782,A,B
10785,A,B
10786,A,B
10789,A,B
10790,A,B
10793,A,B
10794,A,B
10797,A,B
10798,A,B
10801,B,A
10802,A,B
10805,A,B
10806,A,B
10809,A,B
10810,B,A
10813,B,A
10814,B,A
10817,B,A
10818,A,B
10821,A,B
10822,A,B
10825,B,A
10826,B,A
10829,B,A
10830,B,A
10833,B,A
10834,B,A
10837,A,B
10838,A,B
10841,A,B
10842,A,B
10845,B,A
10846,A,B
10849,A,B
10850,A,B
10853,A,B
10854,A,B
10857,A,B
10858,A,B
10861,A,B
10862,A,B
10865,A,B
10866,A,B
10869,A,B
10870,A,B
10873,B,A
10874,A,B
10877,B,A
10878,B,A
10881,B,A
10882,A,B
10885,A,B
10886,B,A
10889,A,B
10890,A,B
10893,A,B
10894,A,B
10897,A,B
10898,A,B
10901,A,B
10902,B,A
10905,A,B
10906,B,A
10909,A,B
10910,A,B
10913,A,B
10914,A,B
10917,A,B
10918,A,B
10921,A,B
10922,A,B
10925,A,B
10926,A,B
10929,A,B
10930,A,B
10933,A,B
10934,A,B
10937,A,B
10938,A,B
10941,A,B
10942,A,B
10945,B,A
10946,A,B
10949,B,A
10950,B,A
10953,B,A
10954,A,B
10957,B,A
10958,B,A
10961,A,B
10962,A,B
10965,A,B
10966,A,B
10969,A,B
10970,A,B
10973,A,B
10974,A,B
10977,A,B
10978,A,B
10981,A,B
10982,A,B
10985,B,A
10986,A,B
10989,A,B
10990,B,A
10993,B,A
10994,A,B
10997,B,A
10998,B,A
11001,B,A
11002,B,A
11005,B,A
11006,A,B
11009,A,B
11010,A,B
11013,B,A
11014,A,B
11017,B,A
11018,A,B
11021,A,B
11022,A,B
11025,A,B
11026,A,B
11029,A,B
11030,B,A
11033,A,B
11034,A,B
11037,B,A
11038,B,A
11041,B,A
11042,B,A
11045,B,A
11046,B,A
11049,A,B
11050,A,B
11053,B,A
11054,B,A
11057,A,B
11058,B,A
11061,A,B
11062,A,B
11065,B,A
11066,A,B
11069,A,B
11070,A,B
11073,A,B
11074,B,A
11077,B,A
11078,B,A
11081,B,A
11082,B,A
11085,A,B
11086,B,A
11089,A,B
11090,B,A
11093,B,A
11094,B,A
11097,B,A
11098,A,B
11101,A,B
11102,A,B
11105,A,B
11106,A,B
11109,A,B
11110,A,B
11113,A,B
11114,A,B
11117,B,A
11118,B,A
11121,B,A
11122,B,A
11125,A,B
11126,B,A
11129,B,A
11130,B,A
11133,A,B
11134,A,B
11137,B,A
11138,B,A
11141,A,B
11142,A,B
11145,A,B
11146,A,B
11149,A,B
11150,A,B
11153,A,B
11154,A,B
11157,A,B
11158,B,A
11161,A,B
11162,B,A
11165,A,B
11166,A,B
11169,B,A
11170,B,A
11173,A,B
11174,A,B
11177,A,B
11178,A,B
11181,A,B
11182,A,B
11185,A,B
11186,B,A
11189,B,A
11190,A,B
11193,A,B
11194,A,B
11197,A,B
11198,B,A
11201,A,B
11202,A,B
11205,B,A
11206,B,A
11209,A,B
11210,A,B
11213,B,A
11214,A,B
11217,A,B
11218,A,B
11221,A,B
11222,A,B
11225,A,B
11226,A,B
11229,B,A
11230,A,B
11233,B,A
11234,A,B
11237,A,B
11238,A,B
11241,A,B
11242,A,B
11245,A,B
11246,A,B
11249,B,A
11250,B,A
11253,A,B
11254,A,B
11257,A,B
11258,A,B
11261,A,B
11262,B,A
11265,A,B
11266,A,B
11269,B,A
11270,A,B
11273,A,B
11274,A,B
11277,A,B
11278,A,B
11281,B,A
11282,A,B
11285,B,A
11286,A,B
11289,B,A
11290,B,A
11293,A,B
11294,A,B
11297,A,B
11298,A,B
11301,A,B
11302,B,A
11305,B,A
11306,A,B
11309,A,B
11310,B,A
11313,B,A
11314,B,A
11317,B,A
11318,A,B
11321,A,B
11322,A,B
11325,B,A
11326,B,A
11329,B,A
11330,B,A
11333,A,B
11334,A,B
11337,A,B
11338,B,A
11341,B,A
11342,B,A
11345,B,A
11346,B,A
11349,A,B
11350,B,A
11353,A,B
11354,A,B
11357,A,B
11358,A,B
11361,A,B
11362,A,B
11365,B,A
11366,A,B
11369,B,A
11370,A,B
11373,B,A
11374,A,B
11377,A,B
11378,A,B
11381,A,B
11382,A,B
11385,A,B
11386,A,B
11389,B,A
11390,B,A
11393,A,B
11394,B,A
11397,B,A
11398,B,A
11401,A,B
11402,B,A
11405,B,A
11406,A,B
11409,A,B
11410,B,A
11413,B,A
11414,B,A
11417,A,B
11418,A,B
11421,A,B
11422,B,A
11425,B,A
11426,A,B
11429,B,A
11430,A,B
11433,B,A
11434,A,B
11437,A,B
11438,B,A
11441,A,B
11442,A,B
11445,A,B
11446,A,B
11449,B,A
11450,A,B
11453,B,A
11454,A,B
11457,A,B
11458,A,B
11461,A,B
11462,A,B
11465,A,B
11466,A,B
11469,B,A
11470,B,A
11473,B,A
11474,B,A
11477,B,A
11478,B,A
11481,B,A
11482,A,B
11485,A,B
11486,A,B
11489,A,B
11490,A,B
11493,A,B
11494,A,B
11497,A,B
11498,B,A
11501,A,B
11502,A,B
11505,B,A
11506,B,A
11509,A,B
11510,A,B
11513,A,B
11514,B,A
11517,B,A
11518,B,A
11521,A,B
11522,A,B
11525,A,B
11526,A,B
11529,A,B
11530,B,A
11533,A,B
11534,B,A
11537,A,B
11538,A,B
11541,B,A
11542,B,A
11545,A,B
11546,A,B
11549,A,B
11550,A,B
11553,A,B
11554,A,B
11557,B,A
11558,B,A
11561,A,B
11562,A,B
11565,A,B
11566,B,A
11569,B,A
11570,A,B
11573,A,B
11574,B,A
11577,B,A
11578,B,A
11581,B,A
11582,B,A
11585,B,A
11586,B,A
11589,B,A
11590,B,A
11593,B,A
11594,B,A
11597,B,A
11598,A,B
11601,B,A
11602,B,A
11605,A,B
11606,B,A
11609,A,B
11610,B,A
11613,A,B
11614,A,B
11617,A,B
11618,A,B
11621,A,B
11622,A,B
11625,B,A
11626,A,B
11629,B,A
11630,A,B
11633,B,A
11634,B,A
11637,B,A
11638,B,A
11641,A,B
11642,A,B
11645,B,A
11646,B,A
11649,A,B
11650,A,B
11653,A,B
11654,A,B
11657,A,B
11658,B,A
11661,B,A
11662,A,B
11665,B,A
11666,B,A
11669,B,A
11670,B,A
11673,B,A
11674,B,A
11677,B,A
11678,B,A
11681,B,A
11682,B,A
11685,B,A
11686,B,A
11689,A,B
