task_id,choice,raw_output
1,A,A
2,A,A
5,B,B
6,B,B
9,A,A
10,A,A
13,A,A
14,A,A
17,A,A
18,A,A
21,B,B
22,A,A
25,A,A
26,A,A
29,A,A
30,A,A
33,B,B
34,B,B
37,A,A
38,B,B
41,B,B
42,B,B
45,A,A
46,B,B
49,B,B
50,A,A
53,B,B
54,B,B
57,B,B
58,B,B
61,A,A
62,A,A
65,B,B
66,B,B
69,A,A
70,A,A
73,B,B
74,A,A
77,A,A
78,A,A
81,A,A
82,A,A
85,A,A
86,A,A
89,A,A
90,B,B
93,B,B
94,A,A
97,A,A
98,A,A
101,B,B
102,B,B
105,A,A
106,B,B
109,A,A
110,A,A
113,A,A
114,A,A
117,B,B
118,A,A
121,A,A
122,A,A
125,A,A
126,A,A
129,A,A
130,B,B
133,B,B
134,B,B
137,B,B
138,B,B
141,A,A
142,A,A
145,B,B
146,B,B
149,B,B
150,A,A
153,B,B
154,A,A
157,A,A
158,A,A
161,A,A
162,A,A
165,A,A
166,A,A
169,A,A
170,A,A
173,A,A
174,A,A
177,A,A
178,A,A
181,A,A
182,A,A
185,A,A
186,A,A
189,A,A
190,A,A
193,B,B
194,A,A
197,B,B
198,A,A
201,A,A
202,B,B
205,A,A
206,A,A
209,A,A
210,A,A
213,A,A
214,A,A
217,A,A
218,A,A
221,A,A
222,A,A
225,B,B
226,A,A
229,A,A
230,A,A
233,A,A
234,A,A
237,A,A
238,A,A
241,A,A
242,A,A
245,A,A
246,A,A
249,A,A
250,A,A
253,A,A
254,B,B
257,B,B
258,A,A
261,A,A
262,A,A
265,A,A
266,A,A
269,A,A
270,A,A
273,A,A
274,A,A
277,A,A
278,A,A
281,A,A
282,A,A
285,A,A
286,A,A
289,A,A
290,A,A
293,B,B
294,B,B
297,A,A
298,A,A
301,A,A
302,A,A
305,A,A
306,A,A
309,B,B
310,B,B
313,A,A
314,A,A
317,A,A
318,A,A
321,A,A
322,A,A
325,A,A
326,A,A
329,A,A
330,A,A
333,A,A
334,A,A
337,A,A
338,A,A
341,B,B
342,B,B
345,A,A
346,A,A
349,A,A
350,A,A
353,A,A
354,A,A
357,A,A
358,A,A
361,B,B
362,A,A
365,A,A
366,A,A
369,A,A
370,A,A
373,B,B
374,B,B
377,A,A
378,B,B
381,B,B
382,B,B
385,A,A
386,A,A
389,A,A
390,A,A
393,A,A
394,A,A
397,B,B
398,A,A
401,A,A
402,A,A
405,A,A
406,A,A
409,A,A
410,A,A
413,B,B
414,B,B
417,A,A
418,A,A
421,A,A
422,B,B
425,B,B
426,A,A
429,B,B
430,A,A
433,B,B
434,B,B
437,A,A
438,A,A
441,B,B
442,B,B
445,B,B
446,B,B
449,B,B
450,A,A
453,B,B
454,B,B
457,A,A
458,A,A
461,B,B
462,B,B
465,A,A
466,B,B
469,A,A
470,A,A
473,A,A
474,A,A
477,A,A
478,A,A
481,A,A
482,A,A
485,B,B
486,B,B
489,B,B
490,A,A
493,A,A
494,A,A
497,A,A
498,A,A
501,A,A
502,A,A
505,A,A
506,A,A
509,A,A
510,A,A
513,B,B
514,A,A
517,A,A
518,A,A
521,A,A
522,A,A
525,B,B
526,A,A
529,B,B
530,A,A
533,B,B
534,B,B
537,B,B
538,B,B
541,A,A
542,A,A
545,B,B
546,A,A
549,A,A
550,A,A
553,B,B
554,A,A
557,A,A
558,A,A
561,A,A
562,A,A
565,A,A
566,A,A
569,A,A
570,A,A
573,A,A
574,A,A
577,A,A
578,A,A
581,A,A
582,A,A
585,B,B
586,A,A
589,A,A
590,A,A
593,A,A
594,A,A
597,B,B
598,B,B
601,A,A
602,A,A
605,B,B
606,B,B
609,A,A
610,A,A
613,A,A
614,A,A
617,A,A
618,A,A
621,A,A
622,A,A
625,B,B
626,A,A
629,A,A
630,A,A
633,B,B
634,B,B
637,B,B
638,A,A
641,A,A
642,A,A
645,B,B
646,B,B
649,A,A
650,A,A
653,B,B
654,A,A
657,A,A
658,B,B
661,A,A
662,A,A
665,A,A
666,B,B
669,B,B
670,B,B
673,B,B
674,A,A
677,A,A
678,A,A
681,A,A
682,A,A
685,A,A
686,A,A
689,A,A
690,A,A
693,A,A
694,A,A
697,B,B
698,B,B
701,A,A
702,A,A
705,A,A
706,A,A
709,A,A
710,B,B
713,A,A
714,A,A
717,B,B
718,A,A
721,A,A
722,A,A
725,A,A
726,A,A
729,A,A
730,B,B
733,A,A
734,A,A
737,A,A
738,A,A
741,A,A
742,A,A
745,A,A
746,A,A
749,A,A
750,B,B
753,A,A
754,A,A
757,A,A
758,A,A
761,A,A
762,A,A
765,A,A
766,A,A
769,A,A
770,A,A
773,A,A
774,A,A
777,B,B
778,A,A
781,A,A
782,A,A
785,B,B
786,A,A
789,A,A
790,A,A
793,A,A
794,A,A
797,A,A
798,A,A
801,B,B
802,B,B
805,A,A
806,A,A
809,B,B
810,B,B
813,B,B
814,B,B
817,A,A
818,A,A
821,B,B
822,A,A
825,B,B
826,B,B
829,B,B
830,B,B
833,B,B
834,B,B
837,B,B
838,B,B
841,B,B
842,A,A
845,B,B
846,A,A
849,A,A
850,A,A
853,A,A
854,A,A
857,B,B
858,A,A
861,A,A
862,A,A
865,A,A
866,A,A
869,A,A
870,A,A
873,B,B
874,A,A
877,B,B
878,B,B
881,B,B
882,A,A
885,A,A
886,B,B
889,A,A
890,A,A
893,A,A
894,A,A
897,A,A
898,A,A
901,B,B
902,B,B
905,A,A
906,B,B
909,A,A
910,A,A
913,A,A
914,A,A
917,A,A
918,A,A
921,A,A
922,A,A
925,A,A
926,A,A
929,B,B
930,A,A
933,B,B
934,B,B
937,B,B
938,B,B
941,A,A
942,A,A
945,B,B
946,A,A
949,B,B
950,B,B
953,B,B
954,B,B
957,B,B
958,B,B
961,A,A
962,A,A
965,A,A
966,A,A
969,A,A
970,A,A
973,A,A
974,A,A
977,A,A
978,B,B
981,A,A
982,A,A
985,B,B
986,B,B
989,B,B
990,B,B
993,B,B
994,A,A
997,B,B
998,B,B
1001,B,B
1002,B,B
1005,B,B
1006,B,B
1009,A,A
1010,A,A
1013,B,B
1014,A,A
1017,B,B
1018,B,B
1021,A,A
1022,A,A
1025,A,A
1026,B,B
1029,B,B
1030,B,B
1033,B,B
1034,B,B
1037,B,B
1038,B,B
1041,B,B
1042,B,B
1045,B,B
1046,B,B
1049,A,A
1050,A,A
1053,B,B
1054,B,B
1057,B,B
1058,A,A
1061,A,A
1062,A,A
1065,B,B
1066,A,A
1069,A,A
1070,B,B
1073,B,B
1074,B,B
1077,B,B
1078,B,B
1081,B,B
1082,B,B
1085,A,A
1086,A,A
1089,A,A
1090,B,B
1093,B,B
1094,B,B
1097,A,A
1098,A,A
1101,B,B
1102,A,A
1105,A,A
1106,A,A
1109,A,A
1110,A,A
1113,A,A
1114,A,A
1117,B,B
1118,B,B
1121,B,B
1122,B,B
1125,B,B
1126,B,B
1129,B,B
1130,B,B
1133,B,B
1134,B,B
1137,B,B
1138,B,B
1141,A,A
1142,B,B
1145,B,B
1146,B,B
1149,A,A
1150,A,A
1153,A,A
1154,A,A
1157,B,B
1158,B,B
1161,A,A
1162,B,B
1165,A,A
1166,A,A
1169,B,B
1170,B,B
1173,A,A
1174,A,A
1177,A,A
1178,A,A
1181,A,A
1182,A,A
1185,A,A
1186,B,B
1189,B,B
1190,A,A
1193,A,A
1194,A,A
1197,A,A
1198,B,B
1201,A,A
1202,A,A
1205,B,B
1206,B,B
1209,A,A
1210,A,A
1213,B,B
1214,A,A
1217,A,A
1218,A,A
1221,A,A
1222,A,A
1225,A,A
1226,A,A
1229,B,B
1230,A,A
1233,A,A
1234,A,A
1237,A,A
1238,A,A
1241,A,A
1242,A,A
1245,A,A
1246,A,A
1249,B,B
1250,B,B
1253,A,A
1254,A,A
1257,A,A
1258,A,A
1261,A,A
1262,B,B
1265,B,B
1266,A,A
1269,B,B
1270,B,B
1273,A,A
1274,A,A
1277,A,A
1278,A,A
1281,B,B
1282,A,A
1285,A,A
1286,A,A
1289,B,B
1290,B,B
1293,A,A
1294,A,A
1297,B,B
1298,A,A
1301,A,A
1302,B,B
1305,B,B
1306,A,A
1309,B,B
1310,B,B
1313,B,B
1314,B,B
1317,B,B
1318,A,A
1321,A,A
1322,A,A
1325,B,B
1326,B,B
1329,B,B
1330,B,B
1333,A,A
1334,A,A
1337,A,A
1338,A,A
1341,B,B
1342,B,B
1345,B,B
1346,A,A
1349,A,A
1350,B,B
1353,A,A
1354,B,B
1357,A,A
1358,A,A
1361,B,B
1362,A,A
1365,B,B
1366,A,A
1369,B,B
1370,A,A
1373,B,B
1374,A,A
1377,A,A
1378,A,A
1381,A,A
1382,A,A
1385,A,A
1386,A,A
1389,B,B
1390,A,A
1393,A,A
1394,B,B
1397,A,A
1398,A,A
1401,A,A
1402,B,B
1405,A,A
1406,B,B
1409,A,A
1410,B,B
1413,B,B
1414,B,B
1417,B,B
1418,B,B
1421,B,B
1422,B,B
1425,B,B
1426,B,B
1429,B,B
1430,A,A
1433,B,B
1434,B,B
1437,B,B
1438,B,B
1441,A,A
1442,B,B
1445,A,A
1446,A,A
1449,B,B
1450,A,A
1453,B,B
1454,B,B
1457,A,A
1458,A,A
1461,A,A
1462,A,A
1465,A,A
1466,A,A
1469,B,B
1470,B,B
1473,B,B
1474,A,A
1477,B,B
1478,B,B
1481,B,B
1482,A,A
1485,A,A
1486,A,A
1489,A,A
1490,A,A
1493,A,A
1494,A,A
1497,A,A
1498,B,B
1501,A,A
1502,A,A
1505,B,B
1506,A,A
1509,A,A
1510,A,A
1513,A,A
1514,A,A
1517,B,B
1518,B,B
1521,A,A
1522,A,A
1525,A,A
1526,A,A
1529,A,A
1530,B,B
1533,A,A
1534,B,B
1537,A,A
1538,A,A
1541,B,B
1542,B,B
1545,A,A
1546,A,A
1549,A,A
1550,A,A
1553,A,A
1554,A,A
1557,B,B
1558,B,B
1561,A,A
1562,A,A
1565,A,A
1566,B,B
1569,B,B
1570,A,A
1573,A,A
1574,A,A
1577,B,B
1578,B,B
1581,B,B
1582,B,B
1585,B,B
1586,A,A
1589,A,A
1590,B,B
1593,B,B
1594,A,A
1597,B,B
1598,A,A
1601,B,B
1602,B,B
1605,A,A
1606,B,B
1609,B,B
1610,B,B
1613,A,A
1614,A,A
1617,A,A
1618,A,A
1621,A,A
1622,A,A
1625,B,B
1626,A,A
1629,B,B
1630,B,B
1633,B,B
1634,B,B
1637,B,B
1638,B,B
1641,B,B
1642,A,A
1645,B,B
1646,B,B
1649,A,A
1650,A,A
1653,A,A
1654,A,A
1657,A,A
1658,A,A
1661,B,B
1662,A,A
1665,B,B
1666,B,B
1669,B,B
1670,B,B
1673,A,A
1674,B,B
1677,B,B
1678,B,B
1681,B,B
1682,B,B
1685,B,B
1686,B,B
1689,A,A
1690,B,B
1693,A,A
1694,A,A
1697,B,B
1698,A,A
1701,A,A
1702,A,A
1705,A,A
1706,A,A
1709,A,A
1710,A,A
1713,A,A
1714,A,A
1717,A,A
1718,A,A
1721,A,A
1722,B,B
1725,B,B
1726,B,B
1729,A,A
1730,B,B
1733,B,B
1734,B,B
1737,B,B
1738,A,A
1741,A,A
1742,A,A
1745,B,B
1746,B,B
1749,B,B
1750,B,B
1753,A,A
1754,B,B
1757,A,A
1758,B,B
1761,B,B
1762,B,B
1765,B,B
1766,B,B
1769,B,B
1770,B,B
1773,B,B
1774,B,B
1777,B,B
1778,B,B
1781,A,A
1782,A,A
1785,A,A
1786,A,A
1789,A,A
1790,B,B
1793,B,B
1794,B,B
1797,B,B
1798,B,B
