task_id,choice,raw_output
1,B,B
2,A,A
3,B,B
4,B,B
5,B,B
6,B,B
7,B,B
8,B,B
9,A,A
10,B,B
11,B,B
12,B,B
13,B,B
14,B,B
15,B,B
16,B,B
17,B,B
18,B,B
19,B,B
20,B,B
21,B,B
22,B,B
23,B,B
24,B,B
25,B,B
26,A,A
27,A,A
28,B,B
29,B,B
30,A,A
31,B,B
32,B,B
33,B,B
34,B,B
35,B,B
36,B,B
37,B,B
38,B,B
39,B,B
40,B,B
41,B,B
42,B,B
43,B,B
44,B,B
45,B,B
46,B,B
47,B,B
48,B,B
49,A,A
50,A,A
51,A,A
52,A,A
53,B,B
54,B,B
55,B,B
56,B,B
57,B,B
58,B,B
59,B,B
60,B,B
61,A,A
62,B,B
63,A,A
64,B,B
65,B,B
66,B,B
67,B,B
68,B,B
69,B,B
70,B,B
71,B,B
72,A,A
73,B,B
74,A,A
75,B,B
76,B,B
77,B,B
78,B,B
79,B,B
80,B,B
81,A,A
82,A,A
83,B,B
84,B,B
85,A,A
86,A,A
87,B,B
88,A,A
89,B,B
90,B,B
91,B,B
92,B,B
93,B,B
94,B,B
95,B,B
96,B,B
97,B,B
98,B,B
99,B,B
100,B,B
101,B,B
102,B,B
103,B,B
104,B,B
105,B,B
106,B,B
107,B,B
108,B,B
109,A,A
110,B,B
111,A,A
112,B,B
113,B,B
114,B,B
115,B,B
116,A,A
117,B,B
118,B,B
119,B,B
120,B,B
121,B,B
122,B,B
123,B,B
124,A,A
125,B,B
126,A,A
127,A,A
128,B,B
129,B,B
130,B,B
131,B,B
132,B,B
133,B,B
134,B,B
135,B,B
136,B,B
137,B,B
138,B,B
139,B,B
140,A,A
141,B,B
142,B,B
143,B,B
144,B,B
145,B,B
146,B,B
147,B,B
148,B,B
149,A,A
150,B,B
151,B,B
152,B,B
153,B,B
154,B,B
155,B,B
156,B,B
157,A,A
158,B,B
159,B,B
160,B,B
161,B,B
162,B,B
163,B,B
164,B,B
165,A,A
166,A,A
167,A,A
168,A,A
169,A,A
170,B,B
171,A,A
172,B,B
173,B,B
174,B,B
175,B,B
176,A,A
177,A,A
178,B,B
179,B,B
180,B,B
181,A,A
182,A,A
183,A,A
184,B,B
185,A,A
186,A,A
187,A,A
188,B,B
189,B,B
190,B,B
191,A,A
192,B,B
193,B,B
194,A,A
195,B,B
196,A,A
197,A,A
198,B,B
199,B,B
200,B,B
201,A,A
202,B,B
203,A,A
204,A,A
205,B,B
206,A,A
207,B,B
208,B,B
209,A,A
210,A,A
211,A,A
212,A,A
213,A,A
214,A,A
215,B,B
216,A,A
217,A,A
218,A,A
219,A,A
220,A,A
221,A,A
222,A,A
223,A,A
224,A,A
225,B,B
226,A,A
227,A,A
228,A,A
229,A,A
230,B,B
231,A,A
232,A,A
233,B,B
234,A,A
235,B,B
236,A,A
237,A,A
238,A,A
239,A,A
240,A,A
241,A,A
242,A,A
243,A,A
244,A,A
245,B,B
246,B,B
247,B,B
248,B,B
249,B,B
250,B,B
251,B,B
252,B,B
253,A,A
254,B,B
255,B,B
256,A,A
257,B,B
258,B,B
259,B,B
260,B,B
261,B,B
262,B,B
263,B,B
264,B,B
265,B,B
266,A,A
267,A,A
268,B,B
269,A,A
270,A,A
271,B,B
272,B,B
273,B,B
274,B,B
275,B,B
276,B,B
277,A,A
278,A,A
279,A,A
280,A,A
281,A,A
282,A,A
283,A,A
284,A,A
285,A,A
286,A,A
287,A,A
288,A,A
289,A,A
290,A,A
291,A,A
292,B,B
293,B,B
294,B,B
295,B,B
296,B,B
297,B,B
298,A,A
299,B,B
300,B,B
301,B,B
302,B,B
303,A,A
304,B,B
305,B,B
306,B,B
307,B,B
308,B,B
309,B,B
310,B,B
311,B,B
312,B,B
313,A,A
314,A,A
315,A,A
316,A,A
317,B,B
318,A,A
319,B,B
320,A,A
321,A,A
322,A,A
323,A,A
324,A,A
325,A,A
326,B,B
327,B,B
328,B,B
329,B,B
330,B,B
331,B,B
332,B,B
333,A,A
334,A,A
335,B,B
336,A,A
337,A,A
338,A,A
339,A,A
340,A,A
341,B,B
342,B,B
343,B,B
344,B,B
345,B,B
346,B,B
347,B,B
348,B,B
349,A,A
350,B,B
351,B,B
352,B,B
353,B,B
354,B,B
355,B,B
356,B,B
357,A,A
358,A,A
359,B,B
360,A,A
361,B,B
362,B,B
363,B,B
364,B,B
365,A,A
366,A,A
367,A,A
368,B,B
369,A,A
370,A,A
371,A,A
372,A,A
373,B,B
374,B,B
375,B,B
376,B,B
377,A,A
378,A,A
379,B,B
380,B,B
381,A,A
382,B,B
383,B,B
384,B,B
385,A,A
386,A,A
387,A,A
388,A,A
389,B,B
390,A,A
391,B,B
392,B,B
393,A,A
394,A,A
395,A,A
396,A,A
397,A,A
398,A,A
399,A,A
400,A,A
401,A,A
402,A,A
403,A,A
404,A,A
405,A,A
406,B,B
407,B,B
408,B,B
409,B,B
410,B,B
411,B,B
412,A,A
413,B,B
414,A,A
415,B,B
416,B,B
417,B,B
418,A,A
419,B,B
420,B,B
421,A,A
422,A,A
423,B,B
424,A,A
425,B,B
426,B,B
427,B,B
428,A,A
429,A,A
430,A,A
431,B,B
432,B,B
433,B,B
434,B,B
435,B,B
436,B,B
437,B,B
438,B,B
439,B,B
440,B,B
441,B,B
442,B,B
443,B,B
444,B,B
445,B,B
446,B,B
447,B,B
448,B,B
449,B,B
450,A,A
451,B,B
452,B,B
453,B,B
454,B,B
455,B,B
456,A,A
457,A,A
458,B,B
459,A,A
460,A,A
461,B,B
462,A,A
463,B,B
464,B,B
465,A,A
466,A,A
467,A,A
468,A,A
469,B,B
470,A,A
471,A,A
472,A,A
473,A,A
474,A,A
475,A,A
476,A,A
477,A,A
478,A,A
479,A,A
480,A,A
481,A,A
482,A,A
483,B,B
484,A,A
485,B,B
486,A,A
487,A,A
488,A,A
489,B,B
490,B,B
491,B,B
492,B,B
493,A,A
494,A,A
495,A,A
496,A,A
497,A,A
498,A,A
499,A,A
500,A,A
501,A,A
502,A,A
503,A,A
504,A,A
505,A,A
506,A,A
507,A,A
508,B,B
509,A,A
510,B,B
511,A,A
512,A,A
513,B,B
514,A,A
515,A,A
516,A,A
517,A,A
518,A,A
519,A,A
520,B,B
521,A,A
522,A,A
523,A,A
524,A,A
525,B,B
526,A,A
527,B,B
528,B,B
529,B,B
530,B,B
531,B,B
532,B,B
533,A,A
534,B,B
535,B,B
536,B,B
537,A,A
538,A,A
539,B,B
540,A,A
541,B,B
542,B,B
543,B,B
544,B,B
545,B,B
546,A,A
547,A,A
548,B,B
549,B,B
550,A,A
551,B,B
552,B,B
553,A,A
554,A,A
555,A,A
556,A,A
557,A,A
558,A,A
559,A,A
560,A,A
561,A,A
562,A,A
563,A,A
564,A,A
565,A,A
566,A,A
567,A,A
568,A,A
569,A,A
570,A,A
571,A,A
572,A,A
573,A,A
574,A,A
575,A,A
576,A,A
577,A,A
578,A,A
579,A,A
580,A,A
581,A,A
582,A,A
583,A,A
584,A,A
585,B,B
586,A,A
587,B,B
588,B,B
589,B,B
590,B,B
591,B,B
592,B,B
593,B,B
594,A,A
595,B,B
596,B,B
597,A,A
598,A,A
599,A,A
600,A,A
601,A,A
602,A,A
603,A,A
604,A,A
605,A,A
606,A,A
607,A,A
608,A,A
609,A,A
610,A,A
611,A,A
612,A,A
613,A,A
614,A,A
615,A,A
616,A,A
617,B,B
618,B,B
619,B,B
620,B,B
621,A,A
622,A,A
623,A,A
624,A,A
625,B,B
626,A,A
627,A,A
628,A,A
629,A,A
630,A,A
631,A,A
632,A,A
633,A,A
634,B,B
635,A,A
636,A,A
637,A,A
638,A,A
639,A,A
640,A,A
641,A,A
642,A,A
643,A,A
644,A,A
645,A,A
646,A,A
647,A,A
648,A,A
649,A,A
650,A,A
651,A,A
652,A,A
653,A,A
654,A,A
655,A,A
656,A,A
657,B,B
658,B,B
659,B,B
660,B,B
661,B,B
662,B,B
663,B,B
664,A,A
665,A,A
666,B,B
667,B,B
668,B,B
669,B,B
670,B,B
671,A,A
672,A,A
673,A,A
674,A,A
675,A,A
676,A,A
677,B,B
678,A,A
679,A,A
680,A,A
681,A,A
682,A,A
683,A,A
684,A,A
685,B,B
686,B,B
687,B,B
688,A,A
689,B,B
