task_id,choice,raw_output
10001,D,B
10002,C,C
10003,C,C
10004,D,B
10005,A,E
10006,D,B
10007,D,B
10008,C,C
10009,D,B
10010,D,B
10011,C,C
10012,E,A
10013,D,B
10014,A,E
10015,C,C
10016,C,C
10017,A,E
10018,A,E
10019,C,C
10020,C,C
10021,D,B
10022,A,E
10023,E,A
10024,D,B
10025,D,B
10026,D,B
10027,C,C
10028,C,C
10029,D,B
10030,C,C
10031,C,C
10032,C,C
10033,D,B
10034,D,B
10035,C,C
10036,D,B
10037,D,B
10038,E,A
10039,A,E
10040,D,B
10041,C,C
10042,D,B
10043,C,C
10044,D,B
10045,B,D
10046,C,C
10047,C,C
10048,E,A
10049,C,C
10050,C,C
10051,D,B
10052,C,C
10053,E,A
10054,C,C
10055,C,C
10056,C,C
10057,A,E
10058,C,C
10059,C,C
10060,D,B
10061,C,C
10062,C,C
10063,C,C
10064,E,A
10065,D,B
10066,A,E
10067,D,B
10068,D,B
10069,D,B
10070,C,C
10071,C,C
10072,A,E
10073,C,C
10074,D,B
10075,D,B
10076,D,B
10077,C,C
10078,D,B
10079,A,E
10080,D,B
10081,C,C
10082,C,C
10083,C,C
10084,D,B
10085,C,C
10086,D,B
10087,C,C
10088,C,C
10089,C,C
10090,C,C
10091,C,C
10092,D,B
10093,C,C
10094,C,C
10095,C,C
10096,D,B
10097,A,E
10098,C,C
10099,D,B
10100,D,B
10101,C,C
10102,E,A
10103,C,C
10104,D,B
10105,D,B
10106,C,C
10107,C,C
10108,C,C
10109,D,B
10110,E,A
10111,E,A
10112,A,E
10113,C,C
10114,B,D
10115,A,E
10116,C,C
10117,D,B
10118,C,C
10119,D,B
10120,D,B
10121,C,C
10122,D,B
10123,A,E
10124,D,B
10125,C,C
10126,C,C
10127,C,C
10128,C,C
10129,E,A
10130,D,B
10131,C,C
10132,C,C
10133,C,C
10134,A,E
10135,C,C
10136,B,D
10137,C,C
10138,D,B
10139,D,B
10140,E,A
10141,D,B
10142,C,C
10143,C,C
10144,E,A
10145,C,C
10146,C,C
10147,C,C
10148,C,C
10149,D,B
10150,A,E
10151,D,B
10152,C,C
10153,A,E
10154,C,C
10155,D,B
10156,C,C
10157,C,C
10158,A,E
10159,D,B
10160,C,C
10161,C,C
10162,C,C
10163,D,B
10164,D,B
10165,D,B
10166,D,B
10167,C,C
10168,D,B
10169,A,E
10170,C,C
10171,E,A
10172,E,A
10173,A,E
10174,D,B
10175,D,B
10176,C,C
10177,D,B
10178,D,B
10179,C,C
10180,D,B
10181,D,B
10182,D,B
10183,C,C
10184,D,B
10185,D,B
10186,D,B
10187,C,C
10188,C,C
10189,D,B
10190,A,E
10191,C,C
10192,A,E
10193,C,C
10194,C,C
10195,C,C
10196,C,C
10197,D,B
10198,A,E
10199,C,C
10200,D,B
10201,A,E
10202,C,C
10203,C,C
10204,A,E
10205,D,B
10206,C,C
10207,C,C
10208,D,B
10209,A,E
10210,B,D
10211,A,E
10212,D,B
10213,C,C
10214,A,E
10215,C,C
10216,E,A
10217,D,B
10218,D,B
10219,B,D
10220,D,B
10221,E,A
10222,D,B
10223,D,B
10224,C,C
10225,D,B
10226,C,C
10227,C,C
10228,B,D
10229,D,B
10230,A,E
10231,C,C
10232,C,C
10233,D,B
10234,D,B
10235,D,B
10236,D,B
10237,D,B
10238,D,B
10239,C,C
10240,D,B
10241,C,C
10242,C,C
10243,D,B
10244,D,B
10245,C,C
10246,C,C
10247,D,B
10248,E,A
10249,E,A
10250,D,B
10251,D,B
10252,D,B
10253,E,A
10254,E,A
10255,D,B
10256,C,C
10257,A,E
10258,C,C
10259,C,C
10260,D,B
10261,D,B
10262,C,C
10263,D,B
10264,D,B
10265,D,B
10266,C,C
10267,C,C
10268,D,B
10269,C,C
10270,D,B
10271,E,A
10272,C,C
10273,C,C
10274,D,B
10275,C,C
10276,D,B
10277,C,C
10278,D,B
10279,D,B
10280,B,D
10281,C,C
10282,B,D
10283,D,B
10284,C,C
10285,D,B
10286,C,C
10287,D,B
10288,D,B
10289,D,B
10290,D,B
10291,D,B
10292,A,E
10293,D,B
10294,E,A
10295,C,C
10296,A,E
10297,C,C
10298,D,B
10299,D,B
10300,D,B
