task_id,choice,raw_output
10001,B,A
10002,B,A
10005,B,A
10006,B,A
10009,B,A
10010,B,A
10013,B,A
10014,B,A
10017,B,A
10018,B,A
10021,B,A
10022,B,A
10025,B,A
10026,B,A
10029,B,A
10030,B,A
10033,B,A
10034,B,A
10037,B,A
10038,B,A
10041,B,A
10042,B,A
10045,B,A
10046,B,A
10049,B,A
10050,B,A
10053,B,A
10054,B,A
10057,B,A
10058,B,A
10061,B,A
10062,B,A
10065,B,A
10066,B,A
10069,B,A
10070,B,A
10073,B,A
10074,B,A
10077,B,A
10078,B,A
10081,B,A
10082,B,A
10085,B,A
10086,B,A
10089,B,A
10090,B,A
10093,B,A
10094,B,A
10097,B,A
10098,B,A
10101,B,A
10102,B,A
10105,B,A
10106,B,A
10109,A,B
10110,A,B
10113,B,A
10114,B,A
10117,B,A
10118,B,A
10121,B,A
10122,B,A
10125,B,A
10126,B,A
10129,B,A
10130,B,A
10133,B,A
10134,B,A
10137,B,A
10138,B,A
10141,B,A
10142,B,A
10145,B,A
10146,B,A
10149,B,A
10150,B,A
10153,B,A
10154,B,A
10157,B,A
10158,B,A
10161,B,A
10162,B,A
10165,A,B
10166,A,B
10169,A,B
10170,B,A
10173,B,A
10174,B,A
10177,B,A
10178,B,A
10181,B,A
10182,B,A
10185,A,B
10186,A,B
10189,B,A
10190,B,A
10193,B,A
10194,B,A
10197,B,A
10198,B,A
10201,A,B
10202,B,A
10205,B,A
10206,B,A
10209,B,A
10210,B,A
10213,A,B
10214,B,A
10217,B,A
10218,B,A
10221,A,B
10222,A,B
10225,B,A
10226,A,B
10229,B,A
10230,B,A
10233,B,A
10234,B,A
10237,A,B
10238,A,B
10241,B,A
10242,B,A
10245,B,A
10246,B,A
10249,B,A
10250,B,A
10253,B,A
10254,B,A
10257,B,A
10258,B,A
10261,B,A
10262,B,A
10265,B,A
10266,B,A
10269,A,B
10270,A,B
10273,B,A
10274,B,A
10277,B,A
10278,B,A
10281,A,B
10282,A,B
10285,B,A
10286,B,A
10289,B,A
10290,B,A
10293,B,A
10294,B,A
10297,B,A
10298,B,A
10301,B,A
10302,B,A
10305,B,A
10306,B,A
10309,B,A
10310,B,A
10313,B,A
10314,B,A
10317,B,A
10318,B,A
