task_id,choice,raw_output
1,B,B
2,B,B
5,B,B
6,B,B
9,B,B
10,B,B
13,B,B
14,B,B
17,B,B
18,B,B
21,B,B
22,B,B
25,B,B
26,A,A
29,B,B
30,A,A
33,B,B
34,B,B
37,B,B
38,B,B
41,B,B
42,B,B
45,B,B
46,B,B
49,A,A
50,A,A
53,B,B
54,B,B
57,B,B
58,B,B
61,A,A
62,A,A
65,B,B
66,B,B
69,B,B
70,B,B
73,B,B
74,A,A
77,B,B
78,B,B
81,B,B
82,B,B
85,A,A
86,A,A
89,B,B
90,B,B
93,B,B
94,B,B
97,B,B
98,B,B
101,B,B
102,B,B
105,A,A
106,B,B
109,A,A
110,A,A
113,B,B
114,B,B
117,B,B
118,B,B
121,B,B
122,B,B
125,A,A
126,A,A
129,B,B
130,B,B
133,B,B
134,B,B
137,B,B
138,A,A
141,B,B
142,B,B
145,B,B
146,A,A
149,B,B
150,B,B
153,B,B
154,A,A
157,A,A
158,A,A
161,B,B
162,B,B
165,A,A
166,A,A
169,A,A
170,B,B
173,A,A
174,A,A
177,B,B
178,B,B
181,A,A
182,B,B
185,A,A
186,A,A
189,A,A
190,A,A
193,B,B
194,A,A
197,A,A
198,B,B
201,A,A
202,A,A
205,B,B
206,A,A
209,B,B
210,A,A
213,A,A
214,A,A
217,A,A
218,A,A
221,A,A
222,A,A
225,A,A
226,A,A
229,A,A
230,B,B
233,B,B
234,A,A
237,A,A
238,A,A
241,B,B
242,B,B
245,B,B
246,B,B
249,B,B
250,B,B
253,A,A
254,B,B
257,B,B
258,B,B
261,B,B
262,B,B
265,B,B
266,B,B
269,A,A
270,A,A
273,B,B
274,B,B
277,A,A
278,A,A
281,A,A
282,A,A
285,B,B
286,A,A
289,A,A
290,A,A
293,B,B
294,B,B
297,B,B
298,B,B
301,B,B
302,B,B
305,B,B
306,B,B
309,B,B
310,B,B
313,A,A
314,A,A
317,B,B
318,A,A
321,A,A
322,A,A
325,B,B
326,B,B
329,B,B
330,B,B
333,A,A
334,A,A
337,A,A
338,A,A
341,B,B
342,B,B
345,B,B
346,B,B
349,A,A
350,B,B
353,B,B
354,A,A
357,A,A
358,A,A
361,B,B
362,B,B
365,A,A
366,A,A
369,A,A
370,A,A
373,B,B
374,B,B
377,A,A
378,B,B
381,B,B
382,B,B
385,A,A
386,A,A
389,A,A
390,A,A
393,A,A
394,A,A
397,A,A
398,A,A
401,A,A
402,A,A
405,B,B
406,B,B
409,B,B
410,B,B
413,A,A
414,A,A
417,B,B
418,B,B
421,A,A
422,A,A
425,B,B
426,B,B
429,B,B
430,A,A
433,B,B
434,B,B
437,B,B
438,B,B
441,B,B
442,B,B
445,B,B
446,A,A
449,A,A
450,A,A
453,B,B
454,B,B
457,A,A
458,B,B
461,B,B
462,A,A
465,A,A
466,A,A
469,B,B
470,A,A
473,A,A
474,A,A
477,A,A
478,A,A
481,A,A
482,A,A
485,A,A
486,A,A
489,B,B
490,A,A
493,A,A
494,A,A
497,A,A
498,A,A
501,A,A
502,A,A
505,A,A
506,A,A
509,A,A
510,B,B
513,B,B
514,A,A
517,A,A
518,A,A
521,A,A
522,A,A
525,B,B
526,A,A
529,B,B
530,A,A
533,A,A
534,B,B
537,A,A
538,A,A
541,A,A
542,A,A
545,B,B
546,A,A
549,A,A
550,A,A
553,A,A
554,A,A
557,A,A
558,A,A
561,A,A
562,A,A
565,A,A
566,A,A
569,A,A
570,A,A
573,A,A
574,A,A
577,A,A
578,A,A
581,A,A
582,A,A
585,B,B
586,A,A
589,B,B
590,B,B
593,B,B
594,A,A
597,A,A
598,A,A
601,A,A
602,A,A
605,A,A
606,A,A
609,A,A
610,A,A
613,A,A
614,A,A
617,A,A
618,B,B
621,A,A
622,A,A
625,A,A
626,A,A
629,A,A
630,A,A
633,A,A
634,A,A
637,A,A
638,A,A
641,A,A
642,A,A
645,A,A
646,A,A
649,A,A
650,A,A
653,A,A
654,A,A
657,B,B
658,B,B
661,B,B
662,B,B
665,A,A
666,A,A
669,A,A
670,A,A
673,A,A
674,A,A
677,A,A
678,A,A
681,A,A
682,A,A
685,B,B
686,B,B
689,B,B
690,A,A
693,A,A
694,A,A
697,A,A
698,A,A
701,B,B
702,A,A
705,A,A
706,A,A
709,A,A
710,A,A
713,A,A
714,A,A
717,B,B
718,B,B
721,B,B
722,B,B
725,A,A
726,A,A
729,A,A
730,A,A
733,A,A
734,A,A
737,A,A
738,A,A
741,A,A
742,A,A
745,A,A
746,A,A
749,A,A
750,A,A
753,B,B
754,B,B
757,B,B
758,A,A
761,A,A
762,A,A
765,A,A
766,A,A
769,B,B
770,A,A
773,A,A
774,A,A
777,A,A
778,A,A
781,A,A
782,A,A
785,A,A
786,A,A
789,A,A
790,A,A
793,A,A
794,A,A
797,A,A
798,A,A
801,A,A
802,A,A
805,A,A
806,A,A
809,A,A
810,A,A
813,A,A
814,B,B
817,B,B
818,B,B
821,A,A
822,A,A
825,A,A
826,B,B
829,B,B
830,A,A
833,A,A
834,A,A
837,A,A
838,A,A
841,A,A
842,A,A
845,A,A
846,A,A
849,A,A
850,A,A
853,A,A
854,A,A
857,A,A
858,A,A
861,A,A
862,A,A
865,A,A
866,A,A
869,A,A
870,A,A
873,A,A
874,A,A
877,A,A
878,A,A
881,A,A
882,A,A
885,A,A
886,A,A
889,A,A
890,A,A
893,B,B
894,B,B
897,B,B
898,A,A
901,A,A
902,A,A
905,A,A
906,B,B
909,B,B
910,B,B
913,A,A
914,A,A
917,A,A
918,A,A
921,B,B
922,B,B
925,A,A
926,A,A
929,A,A
930,A,A
933,A,A
934,A,A
937,A,A
938,A,A
941,B,B
942,B,B
945,A,A
946,A,A
949,B,B
950,A,A
953,A,A
954,A,A
957,A,A
958,A,A
961,B,B
962,B,B
965,A,A
966,A,A
969,A,A
970,A,A
973,A,A
974,A,A
977,A,A
978,A,A
981,A,A
982,A,A
985,A,A
986,A,A
989,B,B
990,B,B
993,B,B
994,B,B
997,A,A
998,A,A
1001,A,A
1002,A,A
1005,A,A
1006,A,A
1009,A,A
1010,A,A
1013,A,A
1014,A,A
1017,A,A
1018,A,A
1021,B,B
1022,A,A
1025,A,A
1026,A,A
1029,A,A
1030,A,A
1033,A,A
1034,A,A
1037,A,A
1038,A,A
1041,A,A
1042,A,A
1045,A,A
1046,A,A
1049,A,A
1050,A,A
1053,A,A
1054,A,A
1057,A,A
1058,A,A
1061,A,A
1062,A,A
1065,A,A
1066,A,A
1069,A,A
1070,A,A
1073,A,A
1074,A,A
1077,A,A
1078,A,A
1081,A,A
1082,A,A
1085,A,A
1086,A,A
1089,A,A
1090,A,A
1093,A,A
1094,A,A
1097,A,A
1098,A,A
1101,A,A
1102,A,A
1105,A,A
1106,B,B
1109,A,A
1110,A,A
1113,A,A
1114,A,A
1117,A,A
1118,A,A
1121,A,A
1122,A,A
1125,A,A
1126,A,A
1129,A,A
1130,A,A
1133,A,A
1134,A,A
1137,A,A
1138,A,A
1141,B,B
1142,A,A
1145,B,B
1146,B,B
1149,A,A
1150,A,A
1153,A,A
1154,A,A
1157,A,A
1158,A,A
1161,A,A
1162,A,A
1165,A,A
1166,A,A
1169,B,B
1170,A,A
1173,A,A
1174,A,A
1177,A,A
1178,A,A
1181,B,B
1182,A,A
1185,A,A
1186,A,A
1189,A,A
1190,A,A
1193,A,A
1194,A,A
1197,A,A
1198,A,A
1201,A,A
1202,A,A
1205,B,B
1206,A,A
1209,A,A
1210,A,A
1213,B,B
1214,B,B
1217,A,A
1218,A,A
1221,A,A
1222,A,A
1225,B,B
1226,B,B
1229,A,A
1230,A,A
1233,A,A
1234,A,A
1237,A,A
1238,A,A
1241,A,A
1242,A,A
1245,A,A
1246,A,A
1249,A,A
1250,A,A
1253,A,A
1254,A,A
1257,B,B
1258,B,B
1261,A,A
1262,B,B
1265,A,A
1266,A,A
1269,B,B
1270,B,B
1273,A,A
1274,B,B
1277,A,A
1278,A,A
1281,A,A
1282,A,A
1285,B,B
1286,A,A
1289,B,B
1290,B,B
1293,A,A
1294,A,A
1297,A,A
1298,A,A
1301,B,B
1302,B,B
1305,A,A
1306,A,A
1309,A,A
1310,B,B
1313,A,A
1314,A,A
1317,B,B
1318,A,A
1321,B,B
1322,A,A
1325,A,A
1326,A,A
1329,B,B
1330,B,B
1333,B,B
1334,B,B
1337,A,A
1338,B,B
1341,A,A
1342,B,B
1345,B,B
1346,B,B
1349,A,A
1350,B,B
1353,A,A
1354,B,B
1357,B,B
1358,B,B
1361,B,B
1362,B,B
1365,B,B
1366,B,B
1369,A,A
1370,A,A
1373,B,B
1374,A,A
1377,B,B
1378,A,A
1381,A,A
1382,A,A
1385,A,A
1386,A,A
1389,B,B
1390,B,B
1393,A,A
1394,A,A
1397,B,B
1398,B,B
1401,B,B
1402,B,B
1405,B,B
1406,B,B
1409,A,A
1410,A,A
1413,A,A
1414,A,A
1417,A,A
1418,A,A
1421,A,A
1422,A,A
1425,A,A
1426,A,A
1429,A,A
1430,A,A
1433,A,A
1434,A,A
1437,A,A
1438,A,A
1441,A,A
1442,A,A
1445,A,A
1446,A,A
1449,A,A
1450,A,A
1453,A,A
1454,A,A
1457,A,A
1458,B,B
1461,A,A
1462,B,B
1465,B,B
1466,B,B
1469,A,A
1470,A,A
1473,B,B
1474,B,B
1477,B,B
1478,A,A
1481,B,B
1482,A,A
1485,A,A
1486,A,A
1489,A,A
1490,A,A
1493,B,B
1494,A,A
1497,B,B
1498,B,B
1501,A,A
1502,A,A
1505,A,A
1506,A,A
1509,B,B
1510,A,A
1513,B,B
1514,B,B
1517,B,B
1518,B,B
1521,A,A
1522,A,A
1525,A,A
1526,A,A
1529,A,A
1530,A,A
1533,A,A
1534,A,A
1537,A,A
1538,A,A
1541,A,A
1542,B,B
1545,A,A
1546,A,A
1549,A,A
1550,A,A
1553,A,A
1554,B,B
1557,A,A
1558,A,A
1561,A,A
1562,A,A
1565,B,B
1566,B,B
1569,A,A
1570,A,A
1573,A,A
1574,A,A
1577,A,A
1578,A,A
1581,A,A
1582,A,A
1585,B,B
1586,B,B
1589,A,A
1590,A,A
1593,B,B
1594,B,B
1597,B,B
1598,B,B
1601,B,B
1602,A,A
