task_id,choice,raw_output
1,B,B
2,B,B
3,A,A
4,B,B
5,A,A
6,B,B
7,A,A
8,B,B
9,B,B
10,B,B
11,B,B
12,B,B
13,A,A
14,A,A
15,B,B
16,B,B
17,B,B
18,B,B
19,B,B
20,A,A
21,B,B
22,A,A
23,B,B
24,A,A
25,B,B
26,A,A
27,A,A
28,B,B
29,B,B
30,B,B
31,B,B
32,B,B
33,B,B
34,B,B
35,B,B
36,B,B
37,A,A
38,A,A
39,B,B
40,B,B
41,B,B
42,B,B
43,B,B
44,B,B
45,B,B
46,B,B
47,B,B
48,B,B
49,B,B
50,B,B
51,B,B
52,A,A
53,A,"A

You choose option A."
54,B,B
55,B,B
56,A,"A

You are booking a one-night stay in New York City. Option A"
57,B,B
58,B,B
59,B,B
60,B,B
61,B,B
62,B,B
63,B,B
64,B,B
65,A,A
66,A,A
67,A,A
68,B,B
69,A,A
70,A,A
71,A,A
72,B,B
73,A,A
74,B,B
75,A,A
76,B,B
77,A,A
78,B,B
79,B,B
80,A,A
81,B,B
82,B,B
83,A,"A

The option with the higher price per night is option B, which costs"
84,A,A
85,A,A
86,B,B
87,A,A
88,A,A
89,B,B
90,B,B
91,A,A
92,B,B
93,B,B
94,B,B
95,B,B
96,B,B
97,B,B
98,A,A
99,B,B
100,B,B
101,B,B
102,B,B
103,A,A
104,A,A
105,A,A
106,B,B
107,A,A
108,A,A
109,A,A
110,B,B
111,A,A
112,B,B
113,A,A
114,A,A
115,B,B
116,A,A
117,A,A
118,A,A
119,A,A
120,B,B
121,B,B
122,B,B
123,A,A
124,A,A
125,A,A
126,A,A
127,A,A
128,B,B
129,A,A
130,B,B
131,A,A
132,B,B
133,A,A
134,A,A
135,B,B
136,A,A
137,B,B
138,A,A
139,A,A
140,B,B
141,A,A
142,A,A
143,B,B
144,A,A
145,A,A
146,B,B
147,B,B
148,A,A
149,B,B
150,A,A
151,B,B
152,A,A
153,B,B
154,B,B
155,B,B
156,A,A
157,A,A
158,A,A
159,A,A
160,B,B
161,A,A
162,B,B
163,A,A
164,A,A
165,A,A
166,B,B
167,A,A
168,A,A
169,A,A
170,A,A
171,A,A
172,B,B
173,B,B
174,B,B
175,B,B
176,B,B
177,A,A
178,A,A
179,A,A
180,A,A
181,B,B
182,B,B
183,A,A
184,B,B
185,A,A
186,A,A
187,A,A
188,B,B
189,B,B
190,B,B
191,B,B
192,A,A
193,A,A
194,B,B
195,B,B
196,B,B
197,B,B
198,B,B
199,A,A
200,A,A
201,B,B
202,A,A
203,A,A
204,B,B
205,B,B
206,B,B
207,B,B
208,B,B
209,B,B
210,A,A
211,A,A
212,B,B
213,A,A
214,A,A
215,A,A
216,A,A
217,A,A
218,A,A
219,B,B
220,B,B
221,B,B
222,A,A
223,A,A
224,B,B
225,A,A
226,A,A
227,A,A
228,A,A
229,A,A
230,A,A
231,A,A
232,A,A
233,B,B
234,A,A
235,B,B
236,A,A
237,A,A
238,B,B
239,B,B
240,A,A
241,A,A
242,B,B
243,B,B
244,B,B
245,A,A
246,A,A
247,B,B
248,B,B
249,A,A
250,B,B
251,A,A
252,A,A
253,B,B
254,A,A
255,B,B
256,B,B
257,B,B
258,B,B
259,B,B
260,B,B
261,B,B
262,B,B
263,B,B
264,B,B
265,A,A
266,B,B
267,A,A
268,B,B
269,A,A
270,A,A
271,B,B
272,A,A
273,B,B
274,B,B
275,B,B
276,A,A
277,A,A
278,B,B
279,A,A
280,B,B
281,A,A
282,B,B
283,B,B
284,B,B
285,A,A
286,A,A
287,A,A
288,B,B
289,A,A
290,B,B
291,B,B
292,B,B
293,A,A
294,A,A
295,A,A
296,A,A
297,B,B
298,B,B
299,B,B
300,B,B
301,A,A
302,B,B
303,B,B
304,B,B
305,B,B
306,A,A
307,B,B
308,B,B
309,A,A
310,B,B
311,A,A
312,A,A
313,B,B
314,B,B
315,A,A
316,B,B
317,B,B
318,A,A
319,B,B
320,B,B
321,A,A
322,A,A
323,A,A
324,B,B
325,A,A
326,A,A
327,B,B
328,A,A
329,B,B
330,B,B
331,B,B
332,B,B
333,B,B
334,B,B
335,B,B
336,A,A
337,B,B
338,B,B
339,B,B
340,B,B
341,A,A
342,A,A
343,A,A
344,B,B
345,A,A
346,A,A
347,A,A
348,A,A
349,A,A
350,B,B
351,A,A
352,B,B
353,B,B
354,B,B
355,A,A
356,B,B
357,A,A
358,A,A
359,B,B
360,A,A
361,B,B
362,B,B
363,B,B
364,B,B
365,A,A
366,A,A
367,A,A
368,A,A
369,A,A
370,A,A
371,A,A
372,B,B
373,B,B
374,B,B
375,B,B
376,B,B
377,A,A
378,A,A
379,A,A
380,B,B
381,B,B
382,B,B
383,A,A
384,A,A
385,A,A
386,A,"A

You choose **A**."
387,B,B
388,A,A
389,B,B
390,B,B
391,B,B
392,B,B
393,A,A
394,A,A
395,A,A
396,A,A
397,B,B
398,B,B
399,B,B
400,A,A
401,B,B
402,B,B
403,B,B
404,B,B
405,B,B
406,A,A
407,A,A
408,A,A
409,B,B
410,B,B
411,B,B
412,B,B
413,A,A
414,A,A
415,B,B
416,A,A
417,B,B
418,B,B
419,A,A
420,B,B
421,A,A
422,B,B
423,A,A
424,B,B
425,B,B
426,B,B
427,A,A
428,A,A
429,B,B
430,B,B
431,A,A
432,B,B
433,B,B
434,A,A
435,B,B
436,B,B
437,A,A
438,A,A
439,A,A
440,B,B
441,A,A
442,B,B
443,A,A
444,A,A
445,A,A
446,A,A
447,A,A
448,B,B
449,B,B
450,B,B
451,A,A
452,B,B
453,B,B
454,B,B
455,B,B
456,A,A
457,B,B
458,A,A
459,A,A
460,A,A
461,B,B
462,B,B
463,A,A
464,B,B
465,A,A
466,B,B
467,A,A
468,A,A
469,B,B
470,B,B
471,A,A
472,B,B
473,B,B
474,B,B
475,B,B
476,A,A
477,B,B
478,B,B
479,B,B
480,A,A
481,B,B
482,A,A
483,B,B
484,A,A
485,B,B
486,B,B
487,B,B
488,A,A
489,B,B
490,B,B
491,A,A
492,A,A
493,A,A
494,A,A
495,B,B
496,A,A
497,A,A
498,B,B
499,A,A
500,B,B
501,A,A
502,A,A
503,B,B
504,B,B
505,A,A
506,A,A
507,B,B
508,B,B
509,A,A
510,B,B
511,B,B
512,B,B
513,B,B
514,B,B
515,B,B
516,B,B
517,B,B
518,B,B
519,B,B
520,A,A
521,A,A
522,B,B
523,A,A
524,A,A
525,A,A
526,A,A
527,A,A
528,A,A
529,A,A
530,A,A
531,A,A
532,B,B
533,B,B
534,A,A
535,B,B
536,A,A
537,A,A
538,A,A
539,A,A
540,A,A
541,A,A
542,A,A
543,A,A
544,B,B
545,B,B
546,B,B
547,B,B
548,B,B
549,B,B
550,A,A
551,B,B
552,A,A
553,A,A
554,A,A
555,A,A
556,B,B
557,B,B
558,A,A
559,B,B
560,B,B
561,A,A
562,A,A
563,A,A
564,A,A
565,B,B
566,B,B
567,A,A
568,A,A
569,A,A
570,A,A
571,A,A
572,A,A
573,A,A
574,A,A
575,A,A
576,A,A
577,A,A
578,A,A
579,A,A
580,A,A
581,B,B
582,A,A
583,B,B
584,A,A
585,B,B
586,A,A
587,A,A
588,A,A
589,B,B
590,B,B
591,B,B
592,B,B
593,B,B
594,B,B
595,B,B
596,B,B
597,A,A
598,A,A
599,A,A
600,A,A
601,A,A
602,A,A
603,A,A
604,A,A
605,A,A
606,B,B
607,A,A
608,B,B
609,A,A
610,A,A
611,A,A
612,A,A
613,B,B
614,A,A
615,A,A
616,A,A
617,A,A
618,A,"A

You choose **A**."
619,A,A
620,B,B
621,A,A
622,B,B
623,A,A
624,A,A
625,B,B
626,B,B
627,B,B
628,A,A
629,B,B
630,B,B
631,B,B
632,B,B
633,A,A
634,A,A
635,B,B
636,A,A
637,A,A
638,B,B
639,A,A
640,B,B
641,A,A
642,A,A
643,A,A
644,B,B
645,A,A
646,A,A
647,A,A
648,B,B
649,A,A
650,A,A
651,A,A
652,A,A
653,A,A
654,A,A
655,A,A
656,A,A
657,B,B
658,B,B
659,A,A
660,B,B
661,B,B
662,A,A
663,B,B
664,B,B
665,A,A
666,A,A
667,A,A
668,B,B
669,B,B
670,B,B
671,B,B
672,B,B
673,A,A
674,B,B
675,A,A
676,A,A
677,B,B
678,A,A
679,A,A
680,B,B
681,B,B
682,B,B
683,B,B
684,B,B
685,B,B
686,B,B
687,A,A
688,A,"A

The options are compared based on price, amenities, and location. Option"
689,B,B
690,A,A
691,B,B
692,A,A
693,B,B
694,A,A
695,B,B
696,A,A
697,A,A
698,A,A
699,A,A
700,A,A
701,B,B
702,B,B
703,B,B
704,A,A
705,A,A
706,A,A
707,B,B
708,A,A
709,B,B
710,A,A
711,B,B
712,A,A
713,A,A
714,A,A
715,B,B
716,A,A
717,A,A
718,A,A
719,B,B
720,B,B
721,B,B
722,A,A
723,A,A
724,B,B
725,B,B
726,A,A
727,A,A
728,B,B
729,A,A
730,A,A
731,A,A
732,B,B
733,A,A
734,A,A
735,B,B
736,A,A
737,A,A
738,A,"A

The Pearl Hotel offers a 4-star rating, a Midtown neighborhood"
739,A,"A

You choose **A**."
740,B,B
741,B,B
742,B,B
743,A,A
744,A,A
745,A,A
746,B,B
747,A,A
748,A,A
749,A,A
750,A,A
751,A,A
752,A,A
753,A,A
754,B,B
755,A,A
756,A,A
757,B,B
758,B,B
759,A,A
760,A,A
761,B,B
762,B,B
763,B,B
764,A,A
765,A,A
766,A,A
767,B,B
768,A,A
769,B,B
770,A,A
771,A,A
772,A,A
773,A,A
774,B,B
775,A,A
776,B,B
777,B,B
778,B,B
779,B,B
780,B,B
781,A,A
782,A,A
783,A,A
784,A,A
785,A,A
786,A,A
787,A,A
788,A,A
789,A,A
790,B,B
791,B,B
792,B,B
793,A,A
794,A,A
795,A,A
796,A,A
797,A,A
798,A,A
799,A,A
800,B,B
801,B,B
802,B,B
803,A,A
804,A,A
805,A,A
806,B,B
807,B,B
808,B,B
809,A,A
810,A,A
811,B,B
812,B,B
813,B,B
814,B,B
815,B,B
816,A,A
817,B,B
818,B,B
819,A,A
820,B,B
821,A,A
822,A,A
823,A,A
824,A,A
825,B,B
826,B,B
827,A,A
828,A,A
829,A,A
830,A,A
831,A,A
832,A,A
