task_id,choice,raw_output
1,A,A
2,A,A
3,B,B
4,A,A
5,B,B
6,B,B
7,B,B
8,B,B
9,B,B
10,A,A
11,A,A
12,B,B
13,B,B
14,A,A
15,A,A
16,B,B
17,A,A
18,A,A
19,B,B
20,B,B
21,A,A
22,A,A
23,A,A
24,A,A
25,B,B
26,A,A
27,A,A
28,B,B
29,B,B
30,A,A
31,B,B
32,A,A
33,B,B
34,A,A
35,A,A
36,B,B
37,A,A
38,B,B
39,B,B
40,B,B
41,B,B
42,B,B
43,B,B
44,A,A
45,B,B
46,B,B
47,B,B
48,B,B
49,A,A
50,A,A
51,A,A
52,A,A
53,B,B
54,B,B
55,B,B
56,A,A
57,B,B
58,B,B
59,A,A
60,B,B
61,A,A
62,A,A
63,A,A
64,A,A
65,B,B
66,B,B
67,B,B
68,A,A
69,A,A
70,A,A
71,A,A
72,A,A
73,A,A
74,A,A
75,A,A
76,A,A
77,A,A
78,B,B
79,B,B
80,A,A
81,A,A
82,A,A
83,A,A
84,B,B
85,B,B
86,A,A
87,A,A
88,A,A
89,B,B
90,B,B
91,B,B
92,B,B
93,B,B
94,B,B
95,B,B
96,B,B
97,B,B
98,B,B
99,B,B
100,A,A
101,B,B
102,B,B
103,A,A
104,B,B
105,A,A
106,B,B
107,A,A
108,B,B
109,A,A
110,A,A
111,A,A
112,B,B
113,A,A
114,B,B
115,B,B
116,A,A
117,B,B
118,B,B
119,B,B
120,B,B
121,B,B
122,B,B
123,B,B
124,A,A
125,B,B
126,A,A
127,A,A
128,B,B
129,B,B
130,B,B
131,B,B
132,B,B
133,B,B
134,B,B
135,B,B
136,B,B
137,B,B
138,B,B
139,B,B
140,B,B
141,B,B
142,B,B
143,B,B
144,B,B
145,B,B
146,B,B
147,B,B
148,B,B
149,B,B
150,B,B
151,A,A
152,B,B
153,B,B
154,B,B
155,B,B
156,A,A
157,A,A
158,B,B
159,B,B
160,A,A
161,B,B
162,B,B
163,B,B
164,B,B
165,B,B
166,B,B
167,B,B
168,B,B
169,A,A
170,A,A
171,A,A
172,B,B
173,B,B
174,B,B
175,B,B
176,A,A
177,A,A
178,B,B
179,A,A
180,A,A
181,A,A
182,B,B
183,A,A
184,B,B
185,B,B
186,A,A
187,A,A
188,B,B
189,A,A
190,B,B
191,B,B
192,B,B
193,B,B
194,A,A
195,B,B
196,A,A
197,B,B
198,A,A
199,B,B
200,B,B
201,B,B
202,B,B
203,B,B
204,B,B
205,B,B
206,A,A
207,B,B
208,A,A
209,A,A
210,B,B
211,B,B
212,A,A
213,B,B
214,B,B
215,B,B
216,B,B
217,A,A
218,A,A
219,A,A
220,A,A
221,B,B
222,B,B
223,B,B
224,A,A
225,B,B
226,B,B
227,B,B
228,B,B
229,A,A
230,A,A
231,A,A
232,B,B
233,A,A
234,A,A
235,B,B
236,A,A
237,B,B
238,B,B
239,B,B
240,A,A
241,B,B
242,B,B
243,B,B
244,B,B
245,A,A
246,B,B
247,A,A
248,A,A
249,B,B
250,B,B
251,B,B
252,B,B
253,B,B
254,B,B
255,A,A
256,B,B
257,B,B
258,B,B
259,B,B
260,B,B
261,B,B
262,B,B
263,B,B
264,B,B
265,B,B
266,A,A
267,A,A
268,A,A
269,B,B
270,A,A
271,B,B
272,B,B
273,B,B
274,B,B
275,A,A
276,B,B
277,A,A
278,A,A
279,A,A
280,A,A
281,A,A
282,A,A
283,A,A
284,B,B
285,A,A
286,A,A
287,A,A
288,B,B
289,A,A
290,A,A
291,A,A
292,B,B
293,B,B
294,B,B
295,B,B
296,B,B
297,A,A
298,A,A
299,A,A
300,B,B
301,B,B
302,B,B
303,A,A
304,B,B
305,A,A
306,B,B
307,B,B
308,B,B
309,B,B
310,B,B
311,B,B
312,A,A
313,B,B
314,B,B
315,B,B
316,B,B
317,B,B
318,A,A
319,B,B
320,B,B
321,A,A
322,A,A
323,A,A
324,A,A
325,A,A
326,B,B
327,B,B
328,B,B
329,A,A
330,A,A
331,A,A
332,B,B
333,B,B
334,B,B
335,B,B
336,A,A
337,B,B
338,A,A
339,A,A
340,A,A
341,B,B
342,B,B
343,B,B
344,B,B
345,A,A
346,B,B
347,B,B
348,B,B
349,A,A
350,B,B
351,B,B
352,B,B
353,B,B
354,B,B
355,B,B
356,B,B
357,B,B
358,B,B
359,B,B
360,A,A
361,B,B
362,B,B
363,B,B
364,B,B
365,B,B
366,B,B
367,B,B
368,B,B
369,B,B
370,A,A
371,B,B
372,B,B
373,B,B
374,B,B
375,B,B
376,B,B
377,B,B
378,B,B
379,B,B
380,B,B
381,B,B
382,B,B
383,B,B
384,B,B
385,A,A
386,A,A
387,A,A
388,A,A
389,B,B
390,B,B
391,B,B
392,B,B
393,B,B
394,A,A
395,A,A
396,B,B
397,B,B
398,A,A
399,B,B
400,B,B
401,B,B
402,B,B
403,B,B
404,B,B
405,B,B
406,A,A
407,B,B
408,B,B
409,B,B
410,A,A
411,B,B
412,A,A
413,B,B
414,B,B
415,B,B
416,A,A
417,A,A
418,A,A
419,B,B
420,B,B
421,B,B
422,B,B
423,B,B
424,B,B
425,B,B
426,B,B
427,B,B
428,B,B
429,B,B
430,A,A
431,B,B
432,B,B
433,B,B
434,B,B
435,B,B
436,B,B
437,B,B
438,B,B
439,A,A
440,B,B
441,B,B
442,B,B
443,A,A
444,B,B
445,B,B
446,B,B
447,B,B
448,B,B
449,B,B
450,A,A
451,B,B
452,B,B
453,B,B
454,B,B
455,B,B
456,B,B
457,A,A
458,B,B
459,A,A
460,A,A
461,B,B
462,B,B
463,B,B
464,B,B
465,A,A
466,B,B
467,A,A
468,B,B
469,A,A
470,A,A
471,A,A
472,B,B
473,A,A
474,B,B
475,B,B
476,B,B
477,A,A
478,B,B
479,A,A
480,B,B
481,B,B
482,B,B
483,B,B
484,B,B
485,B,B
486,B,B
487,B,B
488,A,A
489,A,A
490,A,A
491,A,A
492,B,B
493,B,B
494,A,A
495,B,B
496,A,A
497,A,A
498,A,A
499,A,A
500,A,A
501,A,A
502,B,B
503,B,B
504,B,B
505,A,A
506,A,A
507,B,B
508,B,B
509,A,A
510,B,B
511,A,A
512,A,A
513,B,B
514,A,A
515,A,A
516,A,A
517,A,A
518,A,A
519,B,B
520,B,B
521,A,A
522,A,A
523,A,A
524,A,A
525,B,B
526,B,B
527,B,B
528,B,B
529,B,B
530,B,B
531,B,B
532,B,B
533,B,B
534,B,B
535,B,B
536,B,B
537,B,B
538,B,B
539,B,B
540,B,B
541,B,B
542,B,B
543,A,A
544,B,B
545,B,B
546,A,A
547,A,A
548,B,B
549,B,B
550,B,B
551,B,B
552,B,B
553,B,B
554,A,A
555,B,B
556,B,B
557,A,A
558,A,A
559,B,B
560,B,B
561,A,A
562,B,B
563,B,B
564,B,B
565,A,A
566,B,B
567,B,B
568,B,B
569,A,A
570,B,B
571,A,A
572,B,B
573,A,A
574,B,B
575,B,B
576,A,A
577,B,B
578,B,B
579,B,B
580,A,A
581,B,B
582,B,B
583,A,A
584,A,A
585,B,B
586,B,B
587,B,B
588,B,B
589,B,B
590,B,B
591,B,B
592,B,B
593,B,B
594,B,B
595,A,A
596,B,B
597,B,B
598,B,B
599,B,B
600,B,B
601,B,B
602,B,B
603,A,A
604,A,A
605,B,B
606,B,B
607,B,B
608,A,A
609,A,A
610,B,B
611,A,A
612,B,B
613,A,A
614,B,B
615,B,B
616,B,B
617,B,B
618,B,B
619,B,B
620,B,B
621,B,B
622,B,B
623,B,B
624,B,B
625,B,B
626,B,B
627,B,B
628,A,A
629,A,A
630,A,A
631,A,A
632,B,B
633,B,B
634,B,B
635,B,B
636,B,B
637,B,B
638,B,B
639,B,B
640,B,B
641,B,B
642,B,B
643,A,A
644,B,B
645,B,B
646,B,B
647,B,B
648,B,B
649,A,A
650,B,B
651,B,B
652,B,B
653,B,B
654,B,B
655,B,B
656,B,B
657,B,B
658,B,B
659,B,B
660,B,B
661,B,B
662,B,B
663,A,A
664,B,B
665,B,B
666,B,B
667,B,B
668,B,B
669,B,B
670,B,B
671,B,B
672,B,B
673,B,B
674,B,B
675,B,B
676,A,A
677,B,B
678,B,B
679,B,B
680,A,A
681,B,B
682,B,B
683,B,B
684,B,B
685,B,B
686,B,B
687,B,B
688,A,A
689,B,B
690,B,B
691,B,B
692,B,B
693,B,B
694,B,B
695,B,B
696,A,A
697,B,B
698,B,B
699,B,B
700,B,B
701,B,B
702,A,A
703,B,B
704,B,B
705,A,A
706,A,A
707,B,B
708,A,A
709,B,B
710,B,B
711,B,B
712,B,B
713,B,B
714,B,B
715,B,B
716,A,A
717,B,B
718,A,A
719,B,B
720,B,B
721,B,B
722,B,B
723,B,B
724,B,B
725,B,B
726,B,B
727,B,B
728,B,B
729,B,B
730,B,B
731,B,B
732,B,B
733,B,B
734,A,A
735,B,B
736,B,B
737,B,B
738,B,B
739,A,A
740,B,B
741,B,B
742,B,B
743,B,B
744,B,B
745,B,B
746,B,B
747,B,B
748,B,B
749,B,B
750,B,B
751,A,A
752,B,B
753,B,B
754,B,B
755,A,A
756,A,A
757,B,B
758,A,A
759,A,A
760,B,B
761,B,B
762,B,B
763,B,B
764,B,B
765,B,B
766,B,B
767,B,B
768,B,B
769,A,A
770,A,A
771,A,A
772,B,B
773,A,A
774,A,A
775,B,B
776,A,A
777,B,B
778,B,B
779,B,B
780,B,B
781,B,B
782,A,A
783,A,A
784,A,A
785,B,B
786,B,B
787,B,B
788,B,B
789,B,B
790,B,B
791,B,B
792,B,B
793,B,B
794,A,A
795,A,A
796,A,A
797,B,B
798,A,A
799,A,A
800,A,A
801,B,B
802,B,B
803,B,B
804,B,B
805,A,A
806,A,A
807,A,A
808,B,B
809,B,B
810,B,B
811,B,B
812,B,B
813,B,B
814,B,B
815,A,A
816,B,B
817,B,B
818,B,B
819,B,B
820,B,B
821,B,B
822,B,B
823,B,B
824,B,B
825,B,B
826,B,B
827,B,B
828,B,B
829,B,B
830,B,B
831,B,B
832,B,B
833,B,B
834,B,B
835,B,B
836,B,B
837,B,B
838,B,B
839,B,B
840,B,B
841,B,B
842,B,B
843,B,B
844,B,B
845,B,B
846,B,B
847,B,B
848,B,B
849,B,B
850,B,B
851,B,B
852,B,B
853,A,A
854,A,A
855,A,A
856,B,B
857,B,B
858,A,A
859,A,A
860,A,A
861,B,B
862,B,B
863,B,B
864,B,B
865,A,A
866,A,A
867,B,B
868,A,A
869,A,A
870,B,B
871,B,B
872,B,B
873,B,B
874,A,A
875,A,A
876,B,B
877,B,B
878,B,B
879,B,B
880,B,B
881,B,B
882,B,B
883,B,B
884,B,B
885,A,A
886,B,B
887,B,B
888,A,A
889,A,A
890,B,B
891,B,B
892,B,B
893,B,B
894,B,B
895,B,B
896,B,B
897,B,B
898,A,A
899,B,B
900,B,B
901,B,B
902,B,B
903,B,B
904,B,B
905,B,B
906,B,B
907,B,B
908,A,A
909,B,B
910,B,B
911,A,A
912,B,B
913,B,B
914,B,B
915,B,B
916,B,B
917,B,B
918,B,B
919,B,B
920,B,B
921,B,B
922,B,B
923,B,B
924,B,B
925,B,B
926,B,B
927,B,B
928,B,B
929,B,B
930,B,B
931,B,B
932,B,B
933,B,B
934,B,B
935,B,B
936,B,B
937,B,B
938,B,B
939,B,B
940,B,B
941,B,B
942,B,B
943,B,B
944,B,B
945,B,B
946,B,B
947,B,B
948,B,B
949,B,B
950,A,A
951,B,B
952,A,A
953,B,B
954,B,B
955,B,B
956,B,B
957,B,B
958,B,B
959,B,B
960,B,B
961,B,B
962,B,B
963,B,B
964,B,B
965,B,B
966,B,B
967,B,B
968,A,A
969,B,B
970,B,B
971,B,B
972,A,A
973,A,A
974,B,B
975,B,B
976,B,B
977,A,A
978,B,B
979,B,B
980,B,B
981,B,B
982,B,B
983,B,B
984,B,B
985,B,B
986,B,B
987,B,B
988,B,B
989,B,B
990,B,B
991,B,B
992,B,B
993,B,B
994,A,A
995,B,B
996,B,B
997,B,B
998,B,B
999,B,B
1000,B,B
1001,B,B
1002,B,B
1003,B,B
1004,B,B
1005,B,B
1006,B,B
1007,B,B
1008,B,B
1009,B,B
1010,B,B
1011,B,B
1012,B,B
1013,B,B
1014,B,B
1015,B,B
1016,B,B
1017,B,B
1018,B,B
1019,B,B
1020,B,B
1021,B,B
1022,B,B
1023,B,B
1024,A,A
1025,B,B
1026,B,B
1027,B,B
1028,B,B
1029,B,B
1030,B,B
1031,B,B
1032,B,B
1033,B,B
1034,B,B
1035,B,B
1036,B,B
1037,B,B
1038,B,B
1039,B,B
1040,B,B
1041,B,B
1042,B,B
1043,B,B
1044,B,B
1045,B,B
1046,B,B
1047,B,B
1048,B,B
1049,B,B
1050,B,B
1051,A,A
1052,B,B
1053,B,B
1054,B,B
1055,B,B
1056,B,B
1057,B,B
1058,B,B
1059,B,B
1060,B,B
1061,B,B
1062,B,B
1063,B,B
1064,B,B
1065,B,B
1066,B,B
1067,B,B
1068,B,B
1069,B,B
1070,B,B
1071,B,B
1072,B,B
1073,B,B
1074,B,B
1075,B,B
1076,B,B
1077,B,B
1078,B,B
1079,B,B
1080,B,B
1081,B,B
1082,B,B
1083,B,B
1084,B,B
1085,B,B
1086,B,B
1087,B,B
1088,B,B
1089,A,A
1090,B,B
1091,B,B
1092,A,A
1093,B,B
1094,B,B
1095,A,A
1096,B,B
1097,B,B
1098,B,B
1099,B,B
1100,B,B
1101,B,B
1102,B,B
1103,B,B
1104,B,B
1105,B,B
1106,B,B
1107,A,A
1108,B,B
1109,B,B
1110,B,B
1111,B,B
1112,B,B
1113,B,B
1114,B,B
1115,B,B
1116,B,B
1117,B,B
1118,B,B
1119,B,B
1120,B,B
1121,B,B
1122,B,B
1123,B,B
1124,B,B
1125,B,B
1126,B,B
1127,B,B
1128,B,B
1129,B,B
1130,B,B
1131,B,B
1132,B,B
1133,B,B
1134,B,B
1135,B,B
1136,B,B
1137,B,B
1138,B,B
1139,B,B
1140,B,B
1141,A,A
1142,B,B
1143,B,B
1144,B,B
1145,B,B
1146,B,B
1147,B,B
1148,B,B
1149,B,B
1150,B,B
1151,B,B
1152,B,B
1153,B,B
1154,A,A
