task_id,choice,raw_output
10001,B,D
10002,C,C
10003,A,E
10004,D,B
10005,A,E
10006,B,D
10007,A,E
10008,B,D
10009,A,E
10010,A,E
10011,A,E
10012,B,D
10013,C,C
10014,A,E
10015,C,C
10016,A,E
10017,A,E
10018,C,C
10019,B,D
10020,B,D
10021,C,C
10022,C,C
10023,C,C
10024,B,D
10025,C,C
10026,A,E
10027,C,C
10028,D,B
10029,D,B
10030,A,E
10031,B,D
10032,A,E
10033,A,E
10034,B,D
10035,A,E
10036,A,E
10037,B,D
10038,B,D
10039,D,B
10040,A,E
10041,B,D
10042,A,E
10043,D,B
10044,C,C
10045,A,E
10046,B,D
10047,C,C
10048,D,B
10049,A,E
10050,D,B
10051,A,E
10052,D,B
10053,C,C
10054,A,E
10055,B,D
10056,D,B
10057,A,E
10058,D,B
10059,C,C
10060,A,E
10061,D,B
10062,B,D
10063,A,E
10064,A,E
10065,B,D
10066,A,E
10067,C,C
10068,B,D
10069,D,B
10070,B,D
10071,A,E
10072,B,D
10073,D,B
10074,C,C
10075,C,C
10076,B,D
10077,C,C
10078,B,D
10079,C,C
10080,B,D
10081,A,E
10082,B,D
10083,B,D
10084,B,D
10085,B,D
10086,A,E
10087,B,D
10088,C,C
10089,B,D
10090,B,D
10091,B,D
10092,C,C
10093,B,D
10094,C,C
10095,A,E
10096,A,E
10097,A,E
10098,A,E
10099,D,B
10100,C,C
10101,A,E
10102,A,E
10103,C,C
10104,A,E
10105,B,D
10106,A,E
10107,B,D
10108,D,B
10109,A,E
10110,B,D
10111,A,E
10112,A,E
10113,A,E
10114,A,E
10115,A,E
10116,B,D
10117,D,B
10118,A,E
10119,C,C
10120,A,E
10121,A,E
10122,A,E
10123,B,D
10124,B,D
10125,A,E
10126,B,D
10127,A,E
10128,B,D
10129,A,E
10130,C,C
10131,B,D
10132,C,C
10133,B,D
10134,D,B
10135,C,C
10136,A,E
10137,A,E
10138,B,D
10139,A,E
10140,D,B
10141,A,E
10142,B,D
10143,A,E
10144,C,C
10145,A,E
10146,A,E
10147,A,E
10148,D,B
10149,A,E
10150,B,D
10151,A,E
10152,B,D
10153,A,E
10154,C,C
10155,A,E
10156,C,C
10157,C,C
10158,A,E
10159,A,E
10160,A,E
10161,A,E
10162,B,D
10163,B,D
10164,A,E
10165,B,D
10166,A,E
10167,A,E
10168,D,B
10169,A,E
10170,A,E
10171,C,C
10172,C,C
10173,C,C
10174,B,D
10175,A,E
10176,A,E
10177,C,C
10178,A,E
10179,A,E
10180,A,E
10181,A,E
10182,C,C
10183,A,E
10184,A,E
10185,A,E
10186,C,C
10187,A,E
10188,D,B
10189,A,E
10190,A,E
10191,A,E
10192,A,E
10193,B,D
10194,B,D
10195,C,C
10196,A,E
10197,A,E
10198,A,E
10199,C,C
10200,B,D
10201,C,C
10202,A,E
10203,A,E
10204,D,B
10205,C,C
10206,B,D
10207,B,D
10208,A,E
10209,A,E
10210,A,E
10211,A,E
10212,A,E
10213,A,E
10214,B,D
10215,A,E
10216,B,D
10217,A,E
10218,A,E
10219,C,C
10220,C,C
10221,C,C
10222,A,E
10223,D,B
10224,B,D
10225,C,C
10226,C,C
10227,B,D
10228,B,D
10229,A,E
10230,C,C
10231,C,C
10232,C,C
10233,A,E
10234,D,B
10235,B,D
10236,C,C
10237,D,B
10238,D,B
10239,A,E
10240,A,E
10241,C,C
10242,C,C
10243,D,B
10244,C,C
10245,C,C
10246,A,E
10247,C,C
10248,B,D
10249,A,E
10250,A,E
10251,C,C
10252,A,E
10253,D,B
10254,B,D
10255,D,B
10256,A,E
10257,A,E
10258,A,E
10259,C,C
10260,A,E
10261,C,C
10262,A,E
10263,A,E
10264,B,D
10265,C,C
10266,D,B
10267,A,E
10268,D,B
10269,C,C
10270,A,E
10271,A,E
10272,A,E
10273,D,B
10274,A,E
10275,B,D
10276,B,D
10277,C,C
10278,C,C
10279,C,C
10280,D,B
10281,A,E
10282,A,E
10283,B,D
10284,B,D
10285,B,D
10286,D,B
10287,C,C
10288,B,D
10289,B,D
10290,A,E
10291,E,A
10292,B,D
10293,B,D
10294,B,D
10295,A,E
10296,C,C
10297,A,E
10298,D,B
10299,C,C
10300,B,D
