task_id,choice,raw_output
10001,A,B
10002,A,B
10005,A,B
10006,A,B
10009,A,B
10010,A,B
10013,A,B
10014,A,B
10017,A,B
10018,A,B
10021,A,B
10022,A,B
10025,A,B
10026,A,B
10029,A,B
10030,A,B
10033,A,B
10034,A,B
10037,A,B
10038,A,B
10041,A,B
10042,A,B
10045,A,B
10046,A,B
10049,A,B
10050,A,B
10053,A,B
10054,A,B
10057,A,B
10058,A,B
10061,A,B
10062,A,B
10065,A,B
10066,A,B
10069,A,B
10070,A,B
10073,B,A
10074,A,B
10077,A,B
10078,A,B
10081,A,B
10082,A,B
10085,A,B
10086,A,B
10089,A,B
10090,A,B
10093,A,B
10094,A,B
10097,A,B
10098,A,B
10101,A,B
10102,A,B
10105,A,B
10106,A,B
10109,A,B
10110,A,B
10113,A,B
10114,A,B
10117,A,B
10118,A,B
10121,A,B
10122,A,B
10125,A,B
10126,A,B
10129,A,B
10130,A,B
10133,A,B
10134,A,B
10137,A,B
10138,A,B
10141,A,B
10142,A,B
10145,A,B
10146,B,A
10149,A,B
10150,A,B
10153,A,B
10154,A,B
10157,A,B
10158,A,B
10161,A,B
10162,A,B
10165,A,B
10166,A,B
10169,A,B
10170,A,B
10173,A,B
10174,A,B
10177,A,B
10178,A,B
10181,A,B
10182,A,B
10185,A,B
10186,A,B
10189,A,B
10190,A,B
10193,A,B
10194,A,B
10197,A,B
10198,A,B
10201,A,B
10202,B,A
10205,A,B
10206,A,B
10209,A,B
10210,A,B
10213,A,B
10214,A,B
10217,A,B
10218,A,B
10221,A,B
10222,A,B
10225,B,A
10226,A,B
10229,A,B
10230,A,B
10233,A,B
10234,A,B
10237,A,B
10238,A,B
10241,A,B
10242,A,B
10245,A,B
10246,A,B
10249,A,B
10250,B,A
10253,A,B
10254,B,A
10257,A,B
10258,A,B
10261,A,B
10262,A,B
10265,A,B
10266,A,B
10269,A,B
10270,A,B
10273,A,B
10274,A,B
10277,A,B
10278,A,B
10281,A,B
10282,A,B
10285,A,B
10286,A,B
10289,A,B
10290,A,B
10293,A,B
10294,A,B
10297,A,B
10298,A,B
10301,A,B
10302,A,B
10305,A,B
10306,A,B
10309,A,B
10310,A,B
10313,A,B
10314,A,B
10317,A,B
10318,A,B
10321,A,B
10322,A,B
10325,A,B
10326,A,B
10329,A,B
10330,A,B
10333,A,B
10334,A,B
10337,A,B
10338,A,B
10341,B,A
10342,A,B
10345,A,B
10346,A,B
10349,A,B
10350,A,B
10353,A,B
10354,A,B
10357,A,B
10358,A,B
10361,A,B
10362,A,B
10365,A,B
10366,A,B
10369,A,B
10370,A,B
10373,B,A
10374,A,B
10377,A,B
10378,A,B
10381,A,B
10382,A,B
10385,A,B
10386,A,B
10389,A,B
10390,A,B
10393,A,B
10394,A,B
10397,A,B
10398,A,B
10401,A,B
10402,A,B
10405,A,B
10406,A,B
10409,A,B
10410,A,B
10413,A,B
10414,A,B
10417,A,B
10418,A,B
10421,A,B
10422,A,B
10425,A,B
10426,A,B
10429,A,B
10430,A,B
10433,A,B
10434,A,B
10437,A,B
10438,A,B
10441,A,B
10442,A,B
10445,A,B
10446,A,B
10449,A,B
10450,A,B
10453,A,B
10454,A,B
10457,A,B
10458,A,B
10461,B,A
10462,A,B
10465,A,B
10466,A,B
10469,A,B
10470,A,B
10473,A,B
10474,A,B
10477,A,B
10478,A,B
10481,A,B
10482,A,B
10485,B,A
10486,A,B
10489,A,B
10490,A,B
10493,A,B
10494,A,B
10497,A,B
10498,A,B
10501,A,B
10502,A,B
10505,A,B
10506,A,B
10509,A,B
10510,A,B
10513,A,B
10514,A,B
10517,A,B
10518,A,B
10521,A,B
10522,A,B
10525,A,B
10526,A,B
10529,A,B
10530,A,B
10533,A,B
10534,B,A
10537,A,B
10538,A,B
10541,A,B
10542,A,B
10545,B,A
10546,A,B
10549,A,B
10550,A,B
10553,A,B
10554,A,B
10557,A,B
10558,A,B
10561,A,B
10562,A,B
10565,A,B
10566,A,B
10569,A,B
10570,A,B
10573,A,B
10574,A,B
10577,A,B
10578,A,B
10581,A,B
10582,A,B
10585,A,B
10586,A,B
10589,A,B
10590,A,B
10593,A,B
10594,A,B
10597,A,B
10598,A,B
10601,A,B
10602,A,B
10605,A,B
10606,A,B
10609,A,B
10610,A,B
10613,A,B
10614,A,B
10617,A,B
10618,A,B
10621,A,B
10622,A,B
10625,A,B
10626,A,B
10629,A,B
10630,A,B
10633,A,B
10634,A,B
10637,A,B
10638,A,B
10641,A,B
10642,A,B
10645,A,B
10646,A,B
10649,A,B
10650,A,B
10653,A,B
10654,A,B
10657,A,B
10658,B,A
10661,A,B
10662,A,B
10665,A,B
10666,A,B
10669,A,B
10670,A,B
10673,A,B
10674,A,B
10677,A,B
10678,A,B
10681,A,B
10682,A,B
10685,A,B
10686,A,B
10689,A,B
10690,A,B
10693,A,B
10694,A,B
10697,A,B
10698,A,B
10701,A,B
10702,A,B
10705,A,B
10706,A,B
10709,A,B
10710,A,B
10713,A,B
10714,A,B
10717,B,A
10718,A,B
10721,A,B
10722,A,B
10725,A,B
10726,A,B
10729,A,B
10730,A,B
10733,A,B
10734,A,B
10737,A,B
10738,A,B
10741,A,B
10742,A,B
10745,A,B
10746,A,B
10749,A,B
10750,A,B
10753,A,B
10754,A,B
10757,A,B
10758,A,B
10761,A,B
10762,A,B
10765,A,B
10766,A,B
10769,A,B
10770,A,B
10773,A,B
10774,A,B
10777,A,B
10778,A,B
10781,A,B
10782,A,B
10785,A,B
10786,A,B
10789,A,B
10790,A,B
10793,A,B
10794,A,B
10797,A,B
10798,A,B
10801,A,B
10802,A,B
10805,A,B
10806,A,B
10809,A,B
10810,A,B
10813,A,B
10814,A,B
10817,A,B
10818,A,B
10821,A,B
10822,A,B
10825,A,B
10826,A,B
10829,A,B
10830,A,B
10833,A,B
10834,A,B
10837,A,B
10838,A,B
10841,A,B
10842,A,B
10845,A,B
10846,A,B
10849,A,B
10850,A,B
10853,A,B
10854,A,B
10857,A,B
10858,A,B
10861,A,B
10862,A,B
10865,A,B
10866,A,B
10869,A,B
10870,A,B
10873,A,B
10874,A,B
10877,A,B
10878,A,B
10881,A,B
10882,A,B
10885,A,B
10886,A,B
10889,A,B
10890,A,B
10893,A,B
10894,A,B
10897,A,B
10898,A,B
10901,A,B
10902,A,B
10905,A,B
10906,A,B
10909,A,B
10910,A,B
10913,A,B
