task_id,choice,raw_output
1,B,B
2,A,A
5,B,B
6,B,B
9,A,A
10,A,A
13,B,B
14,A,A
17,B,B
18,B,B
21,B,B
22,B,B
25,B,B
26,A,A
29,B,B
30,A,A
33,B,B
34,B,B
37,A,A
38,B,B
41,B,B
42,B,B
45,B,B
46,B,B
49,B,B
50,A,A
53,B,B
54,B,B
57,B,B
58,B,B
61,A,A
62,A,A
65,B,B
66,B,B
69,B,B
70,B,B
73,B,B
74,A,A
77,B,B
78,B,B
81,B,B
82,B,B
85,B,B
86,A,A
89,B,B
90,B,B
93,B,B
94,B,B
97,B,B
98,B,B
101,B,B
102,B,B
105,A,A
106,B,B
109,A,A
110,A,A
113,A,A
114,B,B
117,B,B
118,A,A
121,B,B
122,B,B
125,B,B
126,A,A
129,B,B
130,B,B
133,A,A
134,B,B
137,B,B
138,B,B
141,B,B
142,B,B
145,B,B
146,B,B
149,B,B
150,A,A
153,B,B
154,B,B
157,A,A
158,A,A
161,B,B
162,B,B
165,B,B
166,B,B
169,A,A
170,A,A
173,A,A
174,B,B
177,A,A
178,B,B
181,A,A
182,A,A
185,A,A
186,A,A
189,A,A
190,B,B
193,A,A
194,A,A
197,B,B
198,B,B
201,B,B
202,B,B
205,B,B
206,A,A
209,B,B
210,B,B
213,B,B
214,B,B
217,B,B
218,B,B
221,A,A
222,B,B
225,B,B
226,B,B
229,A,A
230,A,A
233,B,B
234,A,A
237,B,B
238,A,A
241,B,B
242,A,A
245,A,A
246,B,B
249,B,B
250,B,B
253,B,B
254,B,B
257,B,B
258,B,B
261,B,B
262,B,B
265,B,B
266,A,A
269,B,B
270,A,A
273,B,B
274,B,B
277,A,A
278,A,A
281,A,A
282,A,A
285,B,B
286,B,B
289,A,A
290,A,A
293,B,B
294,B,B
297,A,A
298,A,A
301,A,A
302,B,B
305,B,B
306,A,A
309,A,A
310,B,B
313,B,B
314,A,A
317,B,B
318,A,A
321,A,A
322,A,A
325,A,A
326,B,B
329,B,B
330,A,A
333,B,B
334,B,B
337,B,B
338,A,A
341,B,B
342,B,B
345,B,B
346,B,B
349,A,A
350,B,B
353,B,B
354,B,B
357,B,B
358,B,B
361,B,B
362,A,A
365,B,B
366,B,B
369,B,B
370,A,A
373,B,B
374,B,B
377,B,B
378,B,B
381,B,B
382,B,B
385,A,A
386,A,A
389,B,B
390,A,A
393,B,B
394,A,A
397,B,B
398,A,A
401,B,B
402,B,B
405,B,B
406,A,A
409,B,B
410,B,B
413,B,B
414,B,B
417,A,A
418,A,A
421,B,B
422,B,B
425,B,B
426,B,B
429,A,A
430,A,A
433,B,B
434,B,B
437,B,B
438,B,B
441,B,B
442,B,B
445,B,B
446,B,B
449,B,B
450,A,A
453,B,B
454,B,B
457,A,A
458,A,A
461,B,B
462,B,B
465,A,A
466,B,B
469,B,B
470,A,A
473,A,A
474,B,B
477,A,A
478,A,A
481,B,B
482,B,B
485,B,B
486,B,B
489,B,B
490,B,B
493,B,B
494,A,A
497,A,A
498,A,A
501,B,B
502,B,B
505,A,A
506,A,A
509,A,A
510,B,B
513,B,B
514,A,A
517,B,B
518,A,A
521,A,A
522,B,B
525,B,B
526,B,B
529,B,B
530,B,B
533,B,B
534,B,B
537,B,B
538,B,B
541,B,B
542,A,A
545,B,B
546,A,A
549,B,B
550,A,A
553,B,B
554,A,A
557,A,A
558,A,A
561,A,A
562,B,B
565,A,A
566,B,B
569,A,A
570,B,B
573,A,A
574,B,B
577,A,A
578,A,A
581,A,A
582,A,A
585,B,B
586,B,B
589,B,B
590,B,B
593,B,B
594,A,A
597,B,B
598,B,B
601,A,A
602,A,A
605,B,B
606,B,B
609,A,A
610,B,B
613,A,A
614,B,B
617,B,B
618,B,B
621,B,B
622,A,A
625,B,B
626,B,B
629,A,A
630,A,A
633,B,B
634,B,B
637,B,B
638,B,B
641,B,B
642,B,B
645,B,B
646,B,B
649,A,A
650,B,B
653,B,B
654,B,B
657,B,B
658,B,B
661,B,B
662,B,B
665,B,B
666,B,B
669,B,B
670,B,B
673,B,B
674,B,B
677,B,B
678,B,B
681,B,B
682,B,B
685,B,B
686,B,B
689,B,B
690,A,A
693,B,B
694,B,B
697,B,B
698,B,B
701,B,B
702,A,A
705,A,A
706,A,A
709,B,B
710,B,B
713,B,B
714,B,B
717,B,B
718,B,B
721,B,B
722,B,B
725,B,B
726,B,B
729,B,B
730,B,B
733,B,B
734,A,A
737,A,A
738,B,B
741,B,B
742,A,A
745,B,B
746,B,B
749,B,B
750,B,B
753,B,B
754,B,B
757,B,B
758,B,B
761,B,B
762,B,B
765,B,B
766,B,B
769,A,A
770,A,A
773,A,A
774,A,A
777,B,B
778,B,B
781,A,A
782,A,A
785,B,B
786,B,B
789,B,B
790,B,B
793,A,A
794,A,A
797,B,B
798,A,A
801,B,B
802,B,B
805,A,A
806,A,A
809,B,B
810,B,B
813,B,B
814,B,B
817,B,B
818,B,B
821,A,A
822,B,B
825,B,B
826,B,B
829,B,B
830,B,B
833,B,B
834,B,B
837,B,B
838,B,B
841,B,B
842,B,B
845,B,B
846,A,A
849,B,B
850,B,B
853,A,A
854,A,A
857,B,B
858,A,A
861,B,B
862,B,B
865,A,A
866,A,A
869,A,A
870,B,B
873,B,B
874,A,A
877,B,B
878,B,B
881,B,B
882,B,B
885,A,A
886,B,B
889,B,B
890,B,B
893,B,B
894,B,B
897,A,A
898,B,B
901,B,B
902,B,B
905,B,B
906,B,B
909,B,B
910,B,B
913,B,B
914,B,B
917,B,B
918,A,A
921,B,B
922,B,B
925,B,B
926,B,B
929,B,B
930,B,B
933,B,B
934,B,B
937,B,B
938,B,B
941,A,A
942,A,A
945,B,B
946,B,B
949,B,B
950,B,B
953,B,B
954,B,B
957,B,B
958,B,B
961,B,B
962,B,B
965,B,B
966,B,B
969,B,B
970,B,B
973,A,A
974,B,B
977,B,B
978,B,B
981,B,B
982,B,B
985,B,B
986,B,B
989,B,B
990,B,B
993,B,B
994,A,A
997,B,B
998,B,B
1001,B,B
1002,B,B
1005,B,B
1006,B,B
1009,B,B
1010,B,B
1013,B,B
1014,B,B
1017,B,B
1018,B,B
1021,B,B
1022,B,B
1025,B,B
1026,B,B
1029,B,B
1030,B,B
1033,B,B
1034,B,B
1037,B,B
1038,B,B
1041,B,B
1042,B,B
1045,B,B
1046,B,B
1049,B,B
1050,B,B
1053,B,B
1054,B,B
1057,B,B
1058,B,B
1061,B,B
1062,B,B
1065,B,B
1066,B,B
1069,B,B
1070,B,B
1073,A,A
1074,B,B
1077,B,B
1078,B,B
1081,B,B
1082,B,B
1085,B,B
1086,B,B
1089,B,B
1090,B,B
1093,B,B
1094,B,B
1097,B,B
1098,B,B
1101,B,B
1102,B,B
1105,B,B
1106,B,B
1109,B,B
1110,B,B
1113,B,B
1114,B,B
1117,B,B
1118,B,B
1121,A,A
1122,B,B
1125,B,B
1126,B,B
1129,B,B
1130,B,B
1133,B,B
1134,B,B
1137,B,B
1138,B,B
1141,B,B
1142,B,B
1145,B,B
1146,B,B
1149,B,B
1150,B,B
1153,B,B
1154,A,A
1157,B,B
1158,B,B
1161,B,B
1162,B,B
1165,A,A
1166,A,A
1169,B,B
1170,B,B
1173,B,B
1174,A,A
1177,B,B
1178,A,A
1181,B,B
1182,A,A
1185,A,A
1186,B,B
1189,B,B
1190,B,B
1193,A,A
1194,A,A
1197,A,A
1198,B,B
1201,B,B
1202,B,B
1205,B,B
1206,B,B
1209,A,A
1210,A,A
1213,B,B
1214,A,A
1217,B,B
1218,B,B
1221,B,B
1222,A,A
1225,B,B
1226,B,B
1229,B,B
1230,A,A
1233,B,B
1234,B,B
1237,B,B
1238,A,A
1241,A,A
1242,A,A
1245,A,A
1246,A,A
1249,B,B
1250,B,B
1253,B,B
1254,B,B
1257,B,B
1258,A,A
1261,B,B
1262,B,B
1265,B,B
1266,B,B
1269,B,B
1270,A,A
1273,A,A
1274,A,A
1277,A,A
1278,A,A
1281,B,B
1282,B,B
1285,B,B
1286,A,A
1289,B,B
1290,B,B
1293,A,A
1294,A,A
1297,B,B
1298,B,B
1301,B,B
1302,B,B
1305,B,B
1306,B,B
1309,B,B
1310,B,B
1313,B,B
1314,B,B
1317,A,A
1318,A,A
1321,B,B
1322,A,A
