task_id,choice,raw_output
10001,A,B
10002,A,B
10003,B,A
10004,A,B
10005,A,B
10006,A,B
10007,A,B
10008,A,B
10009,A,B
10010,A,B
10011,A,B
10012,A,B
10013,A,B
10014,A,B
10015,A,B
10016,A,B
10017,A,B
10018,A,B
10019,A,B
10020,A,B
10021,A,B
10022,A,B
10023,A,B
10024,A,B
10025,A,B
10026,A,B
10027,A,B
10028,A,B
10029,A,B
10030,A,B
10031,A,B
10032,A,B
10033,A,B
10034,B,A
10035,A,B
10036,B,A
10037,A,B
10038,B,A
10039,B,A
10040,B,A
10041,A,B
10042,A,B
10043,A,B
10044,A,B
10045,A,B
10046,B,A
10047,B,A
10048,A,B
10049,A,B
10050,A,B
10051,A,B
10052,A,B
10053,A,B
10054,A,B
10055,A,B
10056,A,B
10057,A,B
10058,A,B
10059,A,B
10060,A,B
10061,A,B
10062,A,B
10063,A,B
10064,A,B
10065,A,B
10066,A,B
10067,B,A
10068,A,B
10069,A,B
10070,A,B
10071,A,B
10072,A,B
10073,B,A
10074,A,B
10075,A,B
10076,B,A
10077,A,B
10078,B,A
10079,B,A
10080,A,B
10081,B,A
10082,A,B
10083,B,A
10084,A,B
10085,A,B
10086,A,B
10087,A,B
10088,A,B
10089,B,A
10090,B,A
10091,B,A
10092,B,A
10093,B,A
10094,A,B
10095,A,B
10096,A,B
10097,A,B
10098,A,B
10099,A,B
10100,A,B
10101,B,A
10102,A,B
10103,B,A
10104,B,A
10105,A,B
10106,A,B
10107,A,B
10108,A,B
10109,A,B
10110,A,B
10111,A,B
10112,A,B
10113,A,B
10114,A,B
10115,A,B
10116,A,B
10117,A,B
10118,A,B
10119,A,B
10120,A,B
10121,A,B
10122,B,A
10123,A,B
10124,A,B
10125,A,B
10126,A,B
10127,A,B
10128,A,B
10129,A,B
10130,B,A
10131,A,B
10132,A,B
10133,A,B
10134,B,A
10135,A,B
10136,A,B
10137,A,B
10138,A,B
10139,A,B
10140,A,B
10141,A,B
10142,A,B
10143,A,B
10144,A,B
10145,A,B
10146,B,A
10147,B,A
10148,A,B
10149,A,B
10150,A,B
10151,A,B
10152,A,B
10153,A,B
10154,A,B
10155,A,B
10156,A,B
10157,A,B
10158,A,B
10159,A,B
10160,A,B
10161,A,B
10162,A,B
10163,A,B
10164,A,B
10165,A,B
10166,A,B
10167,A,B
10168,A,B
10169,A,B
10170,A,B
10171,A,B
10172,B,A
10173,A,B
10174,A,B
10175,A,B
10176,A,B
10177,A,B
10178,A,B
10179,A,B
10180,A,B
10181,A,B
10182,A,B
10183,A,B
10184,A,B
10185,A,B
10186,A,B
10187,A,B
10188,A,B
10189,A,B
10190,A,B
10191,A,B
10192,A,B
10193,A,B
10194,A,B
10195,A,B
10196,A,B
10197,A,B
10198,A,B
10199,A,B
10200,A,B
10201,A,B
10202,B,A
10203,A,B
10204,A,B
10205,A,B
10206,A,B
10207,A,B
10208,A,B
10209,A,B
10210,A,B
10211,A,B
10212,A,B
10213,A,B
10214,A,B
10215,B,A
10216,A,B
10217,A,B
10218,A,B
10219,A,B
10220,A,B
10221,A,B
10222,A,B
10223,A,B
10224,A,B
10225,B,A
10226,A,B
10227,A,B
10228,A,B
10229,A,B
10230,A,B
10231,A,B
10232,B,A
10233,A,B
10234,A,B
10235,A,B
10236,A,B
10237,A,B
10238,A,B
10239,A,B
10240,A,B
10241,A,B
10242,A,B
10243,A,B
10244,A,B
10245,A,B
10246,A,B
10247,A,B
10248,A,B
10249,A,B
10250,B,A
10251,A,B
10252,A,B
10253,A,B
10254,A,B
10255,A,B
10256,A,B
10257,A,B
10258,A,B
10259,A,B
10260,A,B
10261,A,B
10262,B,A
10263,A,B
10264,A,B
10265,A,B
10266,A,B
10267,A,B
10268,A,B
10269,A,B
10270,A,B
10271,A,B
10272,A,B
10273,A,B
10274,A,B
10275,A,B
10276,A,B
10277,A,B
10278,A,B
10279,A,B
10280,A,B
10281,A,B
10282,A,B
10283,A,B
10284,A,B
10285,A,B
10286,A,B
10287,A,B
10288,A,B
10289,A,B
10290,A,B
10291,A,B
10292,A,B
10293,A,B
10294,A,B
10295,A,B
10296,B,A
10297,A,B
10298,A,B
10299,A,B
10300,A,B
10301,A,B
10302,A,B
10303,A,B
10304,A,B
10305,A,B
10306,A,B
10307,A,B
10308,A,B
10309,A,B
10310,A,B
10311,A,B
10312,A,B
10313,A,B
10314,A,B
10315,A,B
10316,A,B
10317,A,B
10318,A,B
10319,A,B
10320,A,B
10321,A,B
10322,A,B
10323,A,B
10324,A,B
10325,A,B
10326,A,B
10327,A,B
10328,A,B
10329,A,B
10330,A,B
10331,A,B
10332,A,B
10333,A,B
10334,A,B
10335,A,B
10336,A,B
10337,A,B
10338,A,B
10339,A,B
10340,A,B
10341,B,A
10342,A,B
10343,A,B
10344,A,B
10345,A,B
10346,A,B
10347,A,B
10348,B,A
10349,A,B
10350,A,B
10351,A,B
10352,A,B
10353,A,B
10354,A,B
10355,A,B
10356,A,B
10357,A,B
10358,A,B
10359,B,A
10360,A,B
10361,A,B
10362,A,B
10363,A,B
10364,A,B
10365,A,B
10366,A,B
10367,A,B
10368,A,B
10369,A,B
10370,A,B
10371,A,B
10372,A,B
10373,B,A
10374,A,B
10375,A,B
10376,A,B
10377,A,B
10378,A,B
10379,A,B
10380,A,B
10381,A,B
10382,B,A
10383,B,A
10384,A,B
10385,A,B
10386,A,B
10387,A,B
10388,A,B
10389,A,B
10390,A,B
10391,A,B
10392,A,B
10393,A,B
10394,A,B
10395,A,B
10396,A,B
10397,A,B
10398,A,B
10399,A,B
10400,A,B
10401,A,B
10402,A,B
10403,A,B
10404,A,B
10405,A,B
10406,A,B
10407,A,B
10408,A,B
10409,A,B
10410,A,B
10411,A,B
10412,A,B
10413,A,B
10414,A,B
10415,B,A
10416,A,B
10417,A,B
10418,A,B
10419,A,B
10420,A,B
10421,A,B
10422,A,B
10423,A,B
10424,A,B
10425,A,B
10426,A,B
10427,B,A
10428,A,B
10429,A,B
10430,A,B
10431,A,B
10432,A,B
10433,A,B
10434,A,B
10435,A,B
10436,A,B
10437,A,B
10438,A,B
10439,A,B
10440,A,B
10441,A,B
10442,B,A
10443,A,B
10444,A,B
10445,A,B
10446,A,B
10447,A,B
10448,A,B
10449,B,A
10450,A,B
10451,A,B
10452,B,A
10453,B,A
10454,B,A
10455,B,A
10456,A,B
10457,A,B
