task_id,task_type,group_id,rep,a_hotel_id,a_name,a_stars,a_neighborhood,a_review_score,a_review_count,a_room_type,a_cancellation_free,a_breakfast_included,a_amenities,a_price,b_hotel_id,b_name,b_stars,b_neighborhood,b_review_score,b_review_count,b_room_type,b_cancellation_free,b_breakfast_included,b_amenities,b_price,c_hotel_id,c_name,c_stars,c_neighborhood,c_review_score,c_review_count,c_room_type,c_cancellation_free,c_breakfast_included,c_amenities,c_price
1,binary,1,1,1,Pod 51,2,Midtown East,7.8,5602,Full Pod (1 twin bed),0,0,Free WiFi; Air conditioning,89,30,Courtyard by Marriott Manhattan/Central Park,4,Midtown,8.2,2793,King Room (1 king bed),1,0,Free WiFi; Fitness center; Restaurant,303,,,,,,,,,,,
2,binary,1,2,1,Pod 51,2,Midtown East,7.7,5133,Full Pod (1 twin bed),1,0,Free WiFi; Air conditioning,96,30,Courtyard by Marriott Manhattan/Central Park,4,Midtown,8.2,2597,Double Room (2 double beds),0,0,Free WiFi; Fitness center; Restaurant,295,,,,,,,,,,,
3,binary,1,3,1,Pod 51,2,Midtown East,7.6,4924,Full Pod (1 twin bed),0,0,Free WiFi; Air conditioning,86,30,Courtyard by Marriott Manhattan/Central Park,4,Midtown,8.4,2868,Double Room (2 double beds),1,1,Free WiFi; Fitness center; Restaurant,278,,,,,,,,,,,
4,binary,1,4,1,Pod 51,2,Midtown East,8.0,5261,Queen Pod (1 queen bed),0,0,Free WiFi; Air conditioning,118,30,Courtyard by Marriott Manhattan/Central Park,4,Midtown,8.3,2881,Double Room (2 double beds),1,0,Free WiFi; Fitness center; Restaurant,192,,,,,,,,,,,
5,binary,2,1,1,Pod 51,2,Midtown East,8.0,5244,Full Pod (1 twin bed),0,0,Free WiFi; Air conditioning,114,42,Virgin Hotels New York City,4,NoMad,8.7,937,Chamber King (1 king bed),0,0,Free WiFi; Restaurant; Rooftop bar; Fitness center,214,,,,,,,,,,,
6,binary,2,2,1,Pod 51,2,Midtown East,7.7,5108,Queen Pod (1 queen bed),1,0,Free WiFi; Air conditioning,99,42,Virgin Hotels New York City,4,NoMad,8.7,1024,Grand Chamber King (1 king bed),1,0,Free WiFi; Restaurant; Rooftop bar; Fitness center,282,,,,,,,,,,,
7,binary,2,3,1,Pod 51,2,Midtown East,7.8,5485,Queen Pod (1 queen bed),0,0,Free WiFi; Air conditioning,124,42,Virgin Hotels New York City,4,NoMad,8.6,997,Chamber King (1 king bed),1,0,Free WiFi; Restaurant; Rooftop bar; Fitness center,262,,,,,,,,,,,
8,binary,2,4,1,Pod 51,2,Midtown East,7.8,5416,Full Pod (1 twin bed),1,0,Free WiFi; Air conditioning,114,42,Virgin Hotels New York City,4,NoMad,8.6,891,Grand Chamber King (1 king bed),1,1,Free WiFi; Restaurant; Rooftop bar; Fitness center,387,,,,,,,,,,,
9,binary,3,1,1,Pod 51,2,Midtown East,7.8,4732,Full Pod (1 twin bed),0,0,Free WiFi; Air conditioning,82,67,Equinox Hotel New York,5,Hudson Yards,8.9,911,King Room (1 king bed),0,0,Free WiFi; Rooftop pool; Spa; Fitness center; Restaurant,783,,,,,,,,,,,
10,binary,3,2,1,Pod 51,2,Midtown East,7.6,4769,Full Pod (1 twin bed),0,0,Free WiFi; Air conditioning,76,67,Equinox Hotel New York,5,Hudson Yards,8.8,853,Premium King (1 king bed),0,0,Free WiFi; Rooftop pool; Spa; Fitness center; Restaurant,783,,,,,,,,,,,
