model,provider,brand,coef,se,pvalue
Qwen3 8B,Alibaba,Hilton,0.028367266494424375,0.08033593227955366,0.724007418487588
Qwen3 8B,Alibaba,Marriott,0.06983466094308638,0.07030684849022727,0.3205716193515169
Qwen3 8B,Alibaba,IHG,0.022254155051803653,0.08823594221539914,0.8008772768137477
Qwen3 8B,Alibaba,Hyatt,0.09236594603557827,0.09739091067111652,0.3429237361385771
Qwen3 8B,Alibaba,Wyndham,0.01714629690488011,0.18338463287085774,0.925507069955216
DeepSeek-R1 1.5B,DeepSeek,Hilton,-0.0010320746738408779,0.08058108087063139,0.9897810512674015
DeepSeek-R1 1.5B,DeepSeek,Marriott,-0.03972401153170213,0.07076736120539644,0.574570969440348
DeepSeek-R1 1.5B,DeepSeek,IHG,-0.0648228376247798,0.08919811168964518,0.46739210056591773
DeepSeek-R1 1.5B,DeepSeek,Hyatt,0.058951755008149566,0.09769531562475818,0.5462262730876366
DeepSeek-R1 1.5B,DeepSeek,Wyndham,0.10004094913386899,0.17822323065396092,0.5745767889363904
Qwen3 4B,Alibaba,Hilton,0.11947921930244149,0.08660380638695482,0.16770767465148784
Qwen3 4B,Alibaba,Marriott,0.07673076960993469,0.07634227230550042,0.3148540500705115
Qwen3 4B,Alibaba,IHG,-0.04926561268739907,0.09524955245151494,0.6049979083212094
Qwen3 4B,Alibaba,Hyatt,0.19502766406940136,0.10328480470952836,0.058992225322714274
Qwen3 4B,Alibaba,Wyndham,0.23171729882131376,0.18830905756642669,0.21850395801246492
Qwen3 30B-A3B,Alibaba,Hilton,-0.09664638001619595,0.08290425851463046,0.24371192502866434
Qwen3 30B-A3B,Alibaba,Marriott,-0.015482350595881092,0.07262243770732767,0.8311790567217847
Qwen3 30B-A3B,Alibaba,IHG,-0.06300151561801477,0.09106253722093896,0.489032228035045
Qwen3 30B-A3B,Alibaba,Hyatt,-0.04384244138524485,0.10104539838264655,0.6643693748231064
Qwen3 30B-A3B,Alibaba,Wyndham,-0.0839911909364163,0.19647020448370103,0.6690145234532963
Phi-2 2.7B,Microsoft,Hilton,0.10489716030642811,0.08988675831279418,0.24321345449052778
Phi-2 2.7B,Microsoft,Marriott,-0.03432095052607093,0.07866041238691915,0.6626060542153889
Phi-2 2.7B,Microsoft,IHG,-0.11629310918298033,0.09934040479310528,0.24173842078517827
Phi-2 2.7B,Microsoft,Hyatt,-0.12767086948452058,0.10880120690626885,0.24062242068435136
Phi-2 2.7B,Microsoft,Wyndham,0.31081274326630337,0.20519660311806462,0.12984660593002445
DeepSeek-R1 7B,DeepSeek,Hilton,0.11811681033503348,0.0856761694048251,0.1680049990025665
DeepSeek-R1 7B,DeepSeek,Marriott,0.2110190713851315,0.07534273845099107,0.0050977926087443235
DeepSeek-R1 7B,DeepSeek,IHG,0.23049261774861207,0.09434146786260642,0.014558717695497301
DeepSeek-R1 7B,DeepSeek,Hyatt,0.27056628137434274,0.10285788676260943,0.008526275876614826
DeepSeek-R1 7B,DeepSeek,Wyndham,-0.6474061841287172,0.24411255952909983,0.007999744218214708
Phi-3 Mini,Microsoft,Hilton,0.17967874258411873,0.09505941072789194,0.058734810951899
Phi-3 Mini,Microsoft,Marriott,0.339974192742439,0.08382901039581099,5.001277087996462e-05
Phi-3 Mini,Microsoft,IHG,0.07686543258148162,0.10435300104642663,0.46137139426178186
Phi-3 Mini,Microsoft,Hyatt,0.1584149159378254,0.1132894410086299,0.16201692893420683
Phi-3 Mini,Microsoft,Wyndham,0.27201383245882,0.24557315162094534,0.26800467746566226
Claude Haiku 4.5,Anthropic,Hilton,0.8314967027264651,0.12000356986243495,4.240263679007402e-12
Claude Haiku 4.5,Anthropic,Marriott,0.6510626669884532,0.10140178880963609,1.3571767544734572e-10
Claude Haiku 4.5,Anthropic,IHG,0.5965804436991323,0.12216796874185032,1.0433535126240689e-06
Claude Haiku 4.5,Anthropic,Hyatt,0.7547422833974877,0.13338212453505505,1.5270483952352867e-08
Claude Haiku 4.5,Anthropic,Wyndham,0.7345455704821268,0.27377096044923344,0.007295058023646345
Gemma3 1B,Google,Hilton,0.08897606814054412,0.07943661895707292,0.2626759178614556
Gemma3 1B,Google,Marriott,0.05539762921095607,0.06985105160515738,0.42772990331926153
Gemma3 1B,Google,IHG,-0.009419874710289612,0.08789924418595127,0.9146567077292018
Gemma3 1B,Google,Hyatt,0.019698354115213413,0.09612165306082289,0.8376256475220523
Gemma3 1B,Google,Wyndham,-0.24555554663317583,0.18665969444058153,0.1883334272390197
GPT-5.4 Nano,OpenAI,Hilton,0.741123140916775,0.13617539632596104,5.25627808098943e-08
GPT-5.4 Nano,OpenAI,Marriott,0.6300632605501688,0.11398608809005452,3.2474247202229877e-08
GPT-5.4 Nano,OpenAI,IHG,0.47481544973483186,0.14175118444430257,0.000809166270563336
GPT-5.4 Nano,OpenAI,Hyatt,0.6952417854130782,0.14898533968313962,3.063566621535931e-06
GPT-5.4 Nano,OpenAI,Wyndham,0.28978165924016586,0.37140092476569797,0.43524993619316354
GPT-5.4,OpenAI,Hilton,0.6216578327336042,0.137757472002057,6.400821074666936e-06
GPT-5.4,OpenAI,Marriott,0.7307183100120236,0.12426278494014442,4.092079728866028e-09
GPT-5.4,OpenAI,IHG,0.44640547121644286,0.14309793813849794,0.0018110905028052738
GPT-5.4,OpenAI,Hyatt,0.689571048599941,0.1682175049461049,4.1443320151045414e-05
GPT-5.4,OpenAI,Wyndham,2.1728851258795903,0.2976228316181068,2.860591511056466e-13
GPT-5.4 Mini,OpenAI,Hilton,0.41385847431406864,0.12124488041389798,0.0006415536988709036
GPT-5.4 Mini,OpenAI,Marriott,0.6303734315232576,0.1033826044390269,1.077531486796407e-09
GPT-5.4 Mini,OpenAI,IHG,0.23455911813003866,0.12256727803204913,0.055656289688474934
GPT-5.4 Mini,OpenAI,Hyatt,0.5849783981007913,0.13861336698157462,2.4406797111992626e-05
GPT-5.4 Mini,OpenAI,Wyndham,1.7024533018516603,0.2972336891440342,1.0182580966600665e-08
Phi-4 Mini,Microsoft,Hilton,0.1450142132810218,0.11076119933769628,0.1904493347713586
Phi-4 Mini,Microsoft,Marriott,0.44664427448101374,0.09780460616965225,4.95462799122384e-06
Phi-4 Mini,Microsoft,IHG,0.21356216124495103,0.11986863528034367,0.07480876585949237
Phi-4 Mini,Microsoft,Hyatt,0.3552041157339933,0.13286558477450958,0.0075084533838607245
Phi-4 Mini,Microsoft,Wyndham,-0.1334350702032874,0.32062710058824506,0.6772863184994338
GPT-4.1 Mini,OpenAI,Hilton,0.18144096435237014,0.1244754823488204,0.1449386410069367
GPT-4.1 Mini,OpenAI,Marriott,0.34067452394763015,0.10764176805121535,0.0015514075591022073
GPT-4.1 Mini,OpenAI,IHG,-0.07940408695997767,0.12724010203425212,0.5325952584690137
GPT-4.1 Mini,OpenAI,Hyatt,0.4678284989809653,0.1448751707755443,0.0012414424626793488
GPT-4.1 Mini,OpenAI,Wyndham,1.0623923799355126,0.2613618348622484,4.806673341458988e-05
