model,Hilton,Marriott,IHG,Hyatt,Wyndham
Claude Haiku 4.5,0.8314967027264651,0.6510626669884532,0.5965804436991323,0.7547422833974877,0.7345455704821268
DeepSeek-R1 1.5B,-0.0010320746738408779,-0.03972401153170213,-0.0648228376247798,0.058951755008149566,0.10004094913386899
DeepSeek-R1 7B,0.11811681033503348,0.2110190713851315,0.23049261774861207,0.27056628137434274,-0.6474061841287172
GPT-4.1 Mini,0.18144096435237014,0.34067452394763015,-0.07940408695997767,0.4678284989809653,1.0623923799355126
GPT-4.1 Nano,0.15197836262021436,0.1664249772441956,0.1283325501019845,0.2636672847470499,0.4927612102941943
GPT-5.4,0.6216578327336042,0.7307183100120236,0.44640547121644286,0.689571048599941,2.1728851258795903
GPT-5.4 Mini,0.41385847431406864,0.6303734315232576,0.23455911813003866,0.5849783981007913,1.7024533018516603
GPT-5.4 Nano,0.741123140916775,0.6300632605501688,0.47481544973483186,0.6952417854130782,0.28978165924016586
Gemma2 9B,-0.05623850768304039,0.05072146491097366,-0.11784834104050013,0.20497544089785147,0.11278893265037011
Gemma3 12B,0.12107297800677289,0.18540819219482454,0.03738166756696954,-0.0007289424659705943,0.8185045203743128
Gemma3 1B,0.08897606814054412,0.05539762921095607,-0.009419874710289612,0.019698354115213413,-0.24555554663317583
Gemma3 27B,0.48580406297724354,0.5022512675146564,0.4719621426906543,0.5790661786227381,1.1465621699956206
Gemma3 4B,0.1576964572276973,0.3794256979864653,0.1561328254000659,0.09494137552674561,0.06125496620176574
Llama3.2 3B,0.16629218405104232,0.26371280540653075,-0.04228444815989582,0.35956208362460346,0.07166502490901591
Mistral-Nemo 12B,0.10831929729371864,0.0044045179044932175,0.09326018713638307,0.12234107679255342,0.49051016507574524
Phi-2 2.7B,0.10489716030642811,-0.03432095052607093,-0.11629310918298033,-0.12767086948452058,0.31081274326630337
Phi-3 Medium,0.16540718684405334,0.25750127251854177,0.17898763262063144,0.18376089388165603,-0.13480303629935472
Phi-3 Mini,0.17967874258411873,0.339974192742439,0.07686543258148162,0.1584149159378254,0.27201383245882
Phi-4 14B,0.39698542873006853,0.42132421498183653,0.3726877439462733,0.36961273430801095,0.24441248410131292
Phi-4 Mini,0.1450142132810218,0.44664427448101374,0.21356216124495103,0.3552041157339933,-0.1334350702032874
Qwen3 30B-A3B,-0.09664638001619595,-0.015482350595881092,-0.06300151561801477,-0.04384244138524485,-0.0839911909364163
Qwen3 4B,0.11947921930244149,0.07673076960993469,-0.04926561268739907,0.19502766406940136,0.23171729882131376
Qwen3 8B,0.028367266494424375,0.06983466094308638,0.022254155051803653,0.09236594603557827,0.01714629690488011
