model,decile,median_price,coef,se
Qwen3 8B,2,162.0,0.09987002167869648,0.07519230265379981
Qwen3 8B,3,196.0,-0.13808201056140787,0.0800119462008878
Qwen3 8B,4,224.0,-0.23790021054060292,0.08217988279134426
Qwen3 8B,5,251.0,-0.40649664775119004,0.08379560172768927
Qwen3 8B,6,281.0,-0.6379702765506232,0.0866195778203957
Qwen3 8B,7,317.5,-0.7953743891242755,0.08961411164419628
Qwen3 8B,8,369.0,-1.0661406020306525,0.09591944124573888
Qwen3 8B,9,490.0,-1.329932758471984,0.10708076365434098
Qwen3 8B,10,920.5,-1.8754499802111295,0.12223966595544561
Qwen3 8B,1,114.0,0.0,0.0
DeepSeek-R1 1.5B,2,162.0,-0.10158627110637992,0.07225005508185216
DeepSeek-R1 1.5B,3,196.0,-0.4507757978009392,0.07780200545598333
DeepSeek-R1 1.5B,4,224.0,-0.6312116234437477,0.08035361771133995
DeepSeek-R1 1.5B,5,251.0,-0.8446496459211519,0.08230410154991151
DeepSeek-R1 1.5B,6,281.0,-1.1587088491752013,0.08595063139839669
DeepSeek-R1 1.5B,7,317.5,-1.4143692155760061,0.08989613953136116
DeepSeek-R1 1.5B,8,369.0,-1.7407174599151434,0.09654579764643348
DeepSeek-R1 1.5B,9,490.0,-1.5020334375086022,0.10439512310799388
DeepSeek-R1 1.5B,10,920.5,-1.5276659419776393,0.11683900515322468
DeepSeek-R1 1.5B,1,114.0,0.0,0.0
Qwen3 4B,2,162.0,-0.5284040867324757,0.07840636925307783
Qwen3 4B,3,196.0,-0.9331326729665882,0.0845611876441605
Qwen3 4B,4,224.0,-1.1535583835450816,0.08746999123251135
Qwen3 4B,5,251.0,-1.5128702316812883,0.09039381868316203
Qwen3 4B,6,281.0,-1.875537418438496,0.09435664624417658
Qwen3 4B,7,317.5,-2.191764835608004,0.09891523555445894
Qwen3 4B,8,369.0,-2.342460570763121,0.10542537446446215
Qwen3 4B,9,490.0,-2.612293201072842,0.11825488903374877
Qwen3 4B,10,920.5,-3.268598926496308,0.13667122379315133
Qwen3 4B,1,114.0,0.0,0.0
Qwen3 30B-A3B,2,162.0,-0.499676997016912,0.0804119025251206
Qwen3 30B-A3B,3,196.0,-0.773736314364396,0.08499232886062637
Qwen3 30B-A3B,4,224.0,-1.0121358223226102,0.08825352807159714
Qwen3 30B-A3B,5,251.0,-1.1863486057161745,0.09021950997066897
Qwen3 30B-A3B,6,281.0,-1.27040485292071,0.0926969569023926
Qwen3 30B-A3B,7,317.5,-1.5540118771601106,0.09662360551030175
Qwen3 30B-A3B,8,369.0,-1.7147949470017418,0.10274026577642864
Qwen3 30B-A3B,9,490.0,-2.008930942480723,0.11438203073387043
Qwen3 30B-A3B,10,920.5,-2.540827187481476,0.12996020936617658
Qwen3 30B-A3B,1,114.0,0.0,0.0
Phi-2 2.7B,2,162.0,0.1794672776587311,0.1089567352650036
Phi-2 2.7B,3,196.0,0.017222296769625074,0.11492087887956236
Phi-2 2.7B,4,224.0,0.07105944218618536,0.11517174010816594
Phi-2 2.7B,5,251.0,0.02647446815401087,0.11756495703672354
Phi-2 2.7B,6,281.0,0.3122988728996035,0.11966246146352627
Phi-2 2.7B,7,317.5,0.21721522951082609,0.12393702298895305
Phi-2 2.7B,8,369.0,0.11736341158929119,0.13140203874499815
Phi-2 2.7B,9,490.0,0.10565343654323582,0.14399187097583802
Phi-2 2.7B,10,920.5,0.0012901875658468394,0.16010466336037818
Phi-2 2.7B,1,114.0,0.0,0.0
DeepSeek-R1 7B,2,162.0,-0.051112477381951585,0.08269252247946386
DeepSeek-R1 7B,3,196.0,-0.4062260228874923,0.08678823315863228
DeepSeek-R1 7B,4,224.0,-0.6832688274570168,0.08976658253128092
DeepSeek-R1 7B,5,251.0,-0.8605011174037621,0.09137135339049202
DeepSeek-R1 7B,6,281.0,-0.9992248138570035,0.09411994091855698
DeepSeek-R1 7B,7,317.5,-1.2512680622570207,0.0974678339253064
DeepSeek-R1 7B,8,369.0,-1.552707070708698,0.10371436596578519
