model,decile,median_price,coef,se
Qwen3 8B,1,114.0,0.0,0.0
Qwen3 8B,2,159.0,0.22388725845643137,0.10191955291229522
Qwen3 8B,3,194.0,-0.025408508502022652,0.10782296794791929
Qwen3 8B,4,222.0,-0.18779300089531178,0.10959478932643181
Qwen3 8B,5,250.0,-0.3517685157365751,0.11289094536722954
Qwen3 8B,6,280.0,-0.6711149804220091,0.11769210298915146
Qwen3 8B,7,316.0,-0.8057288247989436,0.12267944691670282
Qwen3 8B,8,367.5,-1.224540111794028,0.13263865196991356
Qwen3 8B,9,488.0,-1.6857874538266058,0.14762336016017205
Qwen3 8B,10,917.5,-2.687179991292223,0.17738992485059887
DeepSeek-R1 1.5B,1,114.0,0.0,0.0
DeepSeek-R1 1.5B,2,159.0,0.014140622365613984,0.09423786240172674
DeepSeek-R1 1.5B,3,194.0,-0.4204462877586192,0.10191035639726487
DeepSeek-R1 1.5B,4,222.0,-0.6424380045446207,0.10421652957761847
DeepSeek-R1 1.5B,5,250.0,-0.902742652083504,0.1087519554302103
DeepSeek-R1 1.5B,6,280.0,-1.14698104902387,0.11438315720017826
DeepSeek-R1 1.5B,7,316.0,-1.5117240285491305,0.12209622216722392
DeepSeek-R1 1.5B,8,367.5,-1.8945226432500257,0.13231127330275402
DeepSeek-R1 1.5B,9,488.0,-1.5275333445369168,0.13716634136004727
DeepSeek-R1 1.5B,10,917.5,-1.2885482676802396,0.15386719725385817
Qwen3 4B,1,114.0,0.0,0.0
Qwen3 4B,2,159.0,-0.33073283143112125,0.10155059590132108
Qwen3 4B,3,194.0,-0.7245978513521947,0.1090338554840681
Qwen3 4B,4,222.0,-1.0234390664152742,0.11230301332357234
Qwen3 4B,5,250.0,-1.3861599545090473,0.11718314345465883
Qwen3 4B,6,280.0,-1.7746545248433914,0.12384576510550303
Qwen3 4B,7,316.0,-2.106149963302972,0.1314298799536851
Qwen3 4B,8,367.5,-2.2879062943301736,0.1409759867497145
Qwen3 4B,9,488.0,-2.7312877182992703,0.15882939703561533
Qwen3 4B,10,917.5,-3.411420229138533,0.18794509781647767
Qwen3 30B-A3B,1,114.0,0.0,0.0
Qwen3 30B-A3B,2,159.0,-0.7469533235396686,0.11335989240560677
Qwen3 30B-A3B,3,194.0,-1.103233668324678,0.11908548165464412
Qwen3 30B-A3B,4,222.0,-1.4553397936802108,0.12315562898829385
Qwen3 30B-A3B,5,250.0,-1.7294334177786193,0.12776195820963393
Qwen3 30B-A3B,6,280.0,-1.959428407520759,0.13293067449711735
Qwen3 30B-A3B,7,316.0,-2.3353486329399438,0.14122663945855632
Qwen3 30B-A3B,8,367.5,-2.639322638112993,0.15076552994966655
Qwen3 30B-A3B,9,488.0,-3.312582217021405,0.16918531016395028
Qwen3 30B-A3B,10,917.5,-4.179615980119925,0.1952406980829304
Phi-2 2.7B,1,114.0,0.0,0.0
Phi-2 2.7B,2,159.0,0.14109788331412487,0.14504466592352194
Phi-2 2.7B,3,194.0,-0.03199575037346119,0.154169664022644
Phi-2 2.7B,4,222.0,0.10180599442020076,0.15117295473289286
Phi-2 2.7B,5,250.0,-0.03477500106433507,0.15623344114249418
Phi-2 2.7B,6,280.0,0.3820507413239597,0.1579947565815809
Phi-2 2.7B,7,316.0,0.1843412970161019,0.1646534061680517
