model,verdict,error,r2_log,r2_lin,aic_log,aic_lin,n,b_logp,b_logp_se,b_logp_p,b_linp,b_linp_se,b_linp_p,b_d_stars,b_d_stars_se,b_d_stars_p,b_d_bed,b_d_bed_se,b_d_bed_p,b_d_cancel,b_d_cancel_se,b_d_cancel_p,b_d_breakfast,b_d_breakfast_se,b_d_breakfast_p,b_d_review_score,b_d_review_score_se,b_d_review_score_p,b_d_review_count_100,b_d_review_count_100_se,b_d_review_count_100_p,wtp_star,wtp_review,wtp_cancel,wtp_breakfast,fit_form
Qwen3 0.6B,locked-primacy,,0.0019335359662177032,0.001973162821281238,4996.726182523524,4996.528429646678,3600.0,-0.009519062404122324,0.07590242404166056,0.9001975178189814,-6.651965127011556e-05,0.00014396957680749522,0.6440528949496975,0.04626890976225603,0.05388525658491158,0.3905302209817556,0.008002873566898104,0.033467702189204154,0.8110107586479655,0.08728346654979233,0.0487466346860765,0.07336494437777909,0.08694678726635693,0.05793586938597195,0.13342232871261672,0.03389209019975635,0.06493195742839647,0.6016959754910601,0.0001282938701949165,0.0013434135956866791,0.923918948493946,793.8498776187012,570.9725838997293,1300.5041292539893,1317.5304845380456,insignificant
Qwen3 1.7B,no data,no variation in choices,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gemma2 9B,engaged,,0.5292140067468697,0.5674503890029476,2319.492314814439,2132.406857864946,3600.0,-5.714452944116592,0.21673766684241974,3.3859086074498685e-153,-0.022423110587229872,0.0009218508163666587,1.0923558322617253e-130,0.5639028372436107,0.08561521779890251,4.503791115729722e-11,0.15291029191278507,0.050128806796709745,0.0022857655457437704,1.5789660956483647,0.0895214807036571,1.2617974930805494e-69,1.6830900391823727,0.1019022921405122,2.781893793810663e-61,1.5655939881163468,0.11428116781152704,1.0223652633156205e-42,0.005926754737395171,0.0021650562428370225,0.006191566004818405,19.98572622633773,69.74688697163558,73.69080516679142,71.96287594860577,linear
Gemma3 1B,engaged,,0.029036438576010126,0.028470146040628252,4858.4846917904215,4861.3089614567725,3600.0,0.1305544961834944,0.0776617678445918,0.09275024872583555,1.2615923194966095e-05,0.0001477787679078947,0.931966974817388,0.15123420943999472,0.05506395984924967,0.00602314054921565,0.014431100555912617,0.034050482651582385,0.6717008395564084,0.10308530519287083,0.049662588354762366,0.03792045642187803,0.2768572402813284,0.059374532895088275,3.117911491355971e-06,0.2042073156634194,0.06666997567557842,0.002191610335188293,0.00029308382835343925,0.0013747292403526433,0.8311757599497134,-16835.566259057134,-18171.5679271485,-8197.647721984878,-23375.404860703587,insignificant
Gemma3 4B,engaged,,0.2164020205032976,0.22873498284320326,3909.831990873353,3848.5473978066307,3600.0,-1.3264843269719189,0.09492212950344485,2.2323889913884086e-44,-0.002959255280103765,0.00019385907713093643,1.3086437640138111e-52,0.5572960526456568,0.06443693552384552,5.2087072374498245e-18,0.093231761942183,0.039687051140269436,0.018815146064030733,0.7105244518116919,0.058529554335082314,6.51563079443839e-34,1.1584598242663944,0.0735312648766507,6.380504788114727e-56,1.7886033208502872,0.09756658696304148,4.585930426715032e-75,0.021837774541918025,0.002176295221306416,1.0763280053663849e-23,136.9768517510886,617.1709412396506,234.31304427542298,361.54254898580393,linear
Llama3.2 1B,locked-primacy,,-4.440892098500626e-16,0.0,5006.659700031607,5006.659700031605,3600.0,-3.209591200215606e-16,0.07579552999166876,0.9999999999999967,-7.43241916094435e-20,0.0001437532782747742,0.9999999999999996,1.2821716456382476e-16,0.05379782784310227,0.9999999999999981,-1.5684591600965017e-17,0.03342124744436168,0.9999999999999997,6.620407414956519e-18,0.048660636248486704,0.9999999999999999,3.687168746068963e-17,0.057818959248361675,0.9999999999999994,1.5319569591124566e-16,0.06481337583834368,0.9999999999999981,-2.9938266129231656e-18,0.0013408195351728189,0.9999999999999982,,,,,insignificant
Llama3.2 3B,engaged,,0.24577618124888534,0.23407623865411142,3779.5916997493646,3837.9746435685465,3600.0,-0.923749481793792,0.09350897318395344,5.148349617072273e-23,-0.0011443719363361524,0.0001747512494398583,5.808807508045244e-11,0.3741707128732937,0.06493356531267154,8.294482875508009e-09,0.04373454395458919,0.040367632895432715,0.27862816276325797,1.0289644609492175,0.06176847967367516,2.629357239535855e-62,1.0683528180222845,0.07407466859449287,3.7276574039498225e-47,1.9381461513713225,0.09752913123283981,7.042926281948025e-88,0.004442034112773425,0.0018710489719988275,0.017592377473683394,107.84595921857425,1583.5166308712046,869.2981995705632,831.7670727293677,log
Qwen3 4B,engaged,,0.13087830566134684,0.0893648899397641,4317.823574373507,4523.299276530226,3600.0,-1.589970602746639,0.09400903218666487,3.611316730873808e-64,-0.0018770721705817304,0.00017882054683585015,8.92065959025031e-26,0.15870383105052852,0.05905974013533145,0.007205928411854415,0.07423990262073098,0.036494894626666344,0.04192594490402843,0.4783949145378621,0.054614544646000254,1.9615623057330896e-18,0.6543456640948617,0.06510455035838461,9.122624914355257e-24,0.8099711894213122,0.07504121639891992,3.6870601726260104e-27,-0.0006741360283391008,0.0014998362923817068,0.6530904279053377,-139.26172371137986,330.99147816893566,227.3351405996265,249.5186621859633,log
Qwen3 8B,engaged,,0.03869373271339571,0.03304831973393385,4810.32088741879,4838.476244651544,3600.0,-0.5510289906799104,0.0790767517973391,3.2083796998293483e-12,-0.0006847613378614656,0.0001489731813389589,4.295624509635195e-06,0.21965664688893943,0.05546142191637891,7.478347498040466e-05,0.015877782412700634,0.03441779844595558,0.6445656275127676,0.34206128525785856,0.050313964946024296,1.0568784943543233e-11,0.3272685509230716,0.05987284991254427,4.6015033217092856e-08,0.5798672857783981,0.06979498607841125,9.72047574671911e-17,0.003682815150648804,0.0014619925099309803,0.011767585036969274,98.17479223700472,768.571983681174,482.53646167588477,392.7166227190685,log
Gemma3 12B,engaged,,0.3475560579157304,0.3484215818394526,3260.78941474013,3256.48491793244,3600.0,-2.153758774228853,0.1135601430142384,3.2702422499248322e-80,-0.004302267895977251,0.0002333934310060751,7.069745079787585e-76,0.2750453952527359,0.06968422147374416,7.912815031931128e-05,0.07744809464812982,0.04398617580206028,0.07828289865529628,0.9857809958383469,0.06708199121490596,6.922863952408603e-49,1.2350422303063116,0.08162971149687882,1.0298839705268777e-51,3.528454448130137,0.13612819835628429,3.954692055373033e-148,0.012272685576890681,0.002350909737687848,1.7853857475796979e-07,-15.140125956357732,819.0883748922354,219.6857065075517,243.41683061200848,linear
