model,n_bin_groups,n_ter_groups,b_logp_bin,se_logp_bin,b_logp_pool,se_logp_pool,b_logp_ter,se_logp_ter,llf_bin,llf_pool,lr_chi2,lr_df,lr_p
Qwen3 8B,3600,3600,-0.5550751080061747,0.0784941718076158,-1.0319567841383261,0.05399738717100032,-1.4543224349684318,0.07642800007984336,-2397.2491298462946,-5899.754323812674,280.9600326747368,7,7.006585189345333e-57
DeepSeek-R1 1.5B,3600,3600,-0.973917332203027,0.08030763316888993,-0.8283917619820964,0.05111703072454438,-0.7269031702284473,0.06696434103579549,-2407.4323307169366,-6297.315524373546,40.83176442456897,7,8.720822004672298e-07
Qwen3 4B,3600,3600,-1.607236257750307,0.09361389031476898,-1.8003911480482642,0.06293686463746363,-1.985443150314804,0.08603590455844874,-2152.8714700688247,-5285.19800208661,107.19629860570967,7,3.5015702654009194e-20
Qwen3 30B-A3B,3600,3600,-0.4118722804498929,0.080854204128587,-1.278931498038096,0.05774157547182856,-2.1968870656193555,0.08973725395260751,-2262.096488228118,-5364.702333714013,635.2638351180667,7,6.17825659230639e-133
Phi-2 2.7B,1778,1971,-0.0515913006011871,0.10451212690753833,-0.07573949800278586,0.06700326560346051,-0.0713813366610204,0.08763618013184293,-1213.0448166201545,-3333.8437840851825,20.46201972665949,7,0.004653591621851067
DeepSeek-R1 7B,3600,3600,-0.6643917640722977,0.08389936118541721,-1.1569355424686507,0.05592287038232539,-1.5397294802336343,0.0773371444540041,-2159.560711556718,-5448.548067809575,269.6771774542012,7,1.7839016128691395e-54
Phi-3 Mini,3600,3600,-0.4874652316372741,0.0919114839142091,-0.3141281975619797,0.051783616211990964,-0.26457566123258663,0.0653688449365483,-1821.508669879387,-5736.821061034656,399.37399197820196,7,3.2492390022568685e-82
Claude Haiku 4.5,3594,0,-4.813362159603452,0.17376323719015166,-4.813362159603452,0.17376323719015166,,,-1421.9897753323312,-1421.9897753323312,,7,
Gemma3 1B,3600,3600,0.13317908720302432,0.0770641379032848,0.08833122972708106,0.04913864442302603,0.060505827285538445,0.06441279204392546,-2421.277532550094,-6337.179606865529,43.597299915485564,7,2.557109554658582e-07
GPT-5.4 Nano,3600,3600,-2.4591382996788167,0.14107127714310533,-2.351220634147964,0.08048793249695606,-2.3829855609803605,0.10138891047404237,-1128.1136472187095,-3438.6254439576046,204.637175176269,7,1.1954969665655418e-40
GPT-5.4,3600,3600,-7.033729981527899,0.262017508280789,-5.451720936901304,0.1246813806496311,-4.911079496164248,0.14518637110995614,-1046.9703677470495,-3215.5598013766826,235.34461653971812,7,3.6301209112037234e-47
GPT-5.4 Mini,3600,3600,-4.593367265978009,0.17305889231889338,-4.445500457614936,0.10508599552790769,-4.3614145385140075,0.1327798655003999,-1342.7774850076771,-3471.270328191986,20.979971518559978,7,0.0037999064729033823
Phi-4 Mini,3600,3600,-0.7500667952551247,0.10824820773993442,-0.5800280678813992,0.06091418524889176,-0.4721446160772618,0.07572797415643549,-1401.8127350499833,-4317.266771869722,187.5081450527705,7,5.048160495641728e-37
GPT-4.1 Mini,3600,3600,-5.706627957589687,0.20993294524923609,-4.32202502643375,0.10285679856415503,-3.7439386194482207,0.12009823896113779,-1216.1184590560354,-3553.677694021504,192.8124512032873,7,3.8131587632825593e-38
Gemma3 27B,3600,3600,-4.407816059271121,0.17068983655014822,-3.6906765953523157,0.09153029800638911,-3.3880526740482546,0.11000819829051481,-1291.7876515594146,-3724.733093857466,73.48441651771009,7,2.9115885536783726e-13
Phi-4 14B,3600,3600,-3.2617915070421155,0.14218172585381159,-2.8189124574723365,0.08322971980646449,-2.6239353417667126,0.10573378477401947,-1417.7110351304561,-3666.005321839259,132.032635546042,7,2.3633869812899134e-25
Gemma2 9B,3600,3600,-5.726831397632017,0.21648698512551165,-4.999096333443233,0.11786934793935841,-4.747102939455976,0.14452746971960911,-1152.5616038829241,-3279.43750170682,183.67104680964894,7,3.266954008190935e-36
Gemma3 12B,3600,3600,-2.1534817745993102,0.11286279043939978,-2.424118880675206,0.0742770797462368,-2.7506359734504793,0.10327910856816583,-1622.3949478053885,-4165.197300815652,337.4292268819527,7,6.038437585792451e-69
Phi-3 Medium,3600,3600,-2.1975890676019314,0.11448027361862215,-2.0025972867760045,0.07056927274886199,-1.9408041565523928,0.09117947474040887,-1602.1248245987688,-4084.0633245119643,72.85468695913823,7,3.906502004816987e-13
GPT-4.1 Nano,3600,3600,-2.4418164532501825,0.1249391032477625,-2.4208416938709756,0.07448038454550837,-2.5329850608878663,0.09754131898650692,-1413.8867309742877,-4068.7919034752517,322.2505585019235,7,1.0647851930308478e-65
Llama3.2 3B,3600,3600,-0.9237052156793703,0.09282659982373487,-1.161038143392218,0.05892742194425143,-1.3106280702571336,0.07742021853386476,-1881.7958576551148,-5000.422025145193,113.01912310505213,7,2.1688560527396517e-21
Gemma3 4B,3600,3600,-1.341263310673603,0.09425797712901617,-1.1453103388987138,0.05918160608622181,-1.0019627964997286,0.07709548616791938,-1947.7306086409067,-4918.267168773331,107.27147637370763,7,3.378197649819013e-20
Mistral-Nemo 12B,3600,3600,-1.3787041200641696,0.08893661531024688,-1.7591166217132213,0.061049581550353046,-2.055067441502583,0.08397858318212656,-2222.7449261070356,-5421.436660126371,85.26515777210625,7,1.1568791014561608e-15
