model,n,n_groups,b_logp,b_logp_se,b_logp_p,b_linp,b_linp_se,b_linp_p,llf_log,llf_lin,b_stars,b_bed_rank,b_cancel,b_breakfast,b_review_score,b_review_count_100,fit_form
Qwen3 8B,10800,3600,-1.4543224349684318,0.07642800007984336,9.874538215506291e-81,-0.003593590910473021,0.00020251883933045884,1.9016189874828184e-70,-3362.0250859796747,-3345.494048323601,0.3663994265282593,0.09069646818052693,0.9622755689709858,0.8571747308376744,0.4068244394177545,0.006921680471742083,linear
DeepSeek-R1 1.5B,10800,3600,-0.7269031702284473,0.06696434103579549,1.88644897854272e-27,-0.0004026683495733103,0.0001290224860725371,0.001802894131146061,-3869.467243077195,-3925.024863297553,0.28377145664206327,0.07195218201000961,-0.003428775720856948,0.21409522253138044,-0.03505305776911121,-0.002243177329483766,log
Qwen3 4B,10800,3600,-1.985443150314804,0.08603590455844874,7.897714152598353e-118,-0.003880573995502791,0.0002387464451470516,2.094081394819046e-59,-3078.7281494884633,-3206.832191020229,0.1260436807134108,0.06279907273323258,0.9083450749773038,0.9064992662740913,0.5763827811799906,0.004840539806323065,log
Qwen3 30B-A3B,10800,3600,-2.1968870656193555,0.08973725395260751,2.3353943207198708e-132,-0.003185762109797523,0.00018863342881197996,5.454569069664529e-64,-2784.973745879036,-2966.4694929942875,0.2719398436685266,0.12407084522061244,1.6221713468912184,1.1672732329313373,1.780556633094228,0.006387027306458307,log
Phi-2 2.7B,5913,1971,-0.0713813366610204,0.08763618013184293,0.4153476734660232,-0.00035838201318561696,0.00016356566475266793,0.02844752702087183,-2110.5678304127646,-2108.478666847447,0.37586159978974015,0.02634027877807114,0.2547861127149779,0.10053260584102754,-0.09679681785062325,-3.235457138136297e-05,linear
DeepSeek-R1 7B,10800,3600,-1.5397294802336343,0.0773371444540041,3.379113260867151e-88,-0.0017872730752227254,0.0001430201054742581,7.78578700046736e-36,-3154.148485968937,-3289.487979129629,0.8241428932769809,0.15218307211013246,1.1896961701633015,1.0588787219921272,0.957212106354491,-8.972190186965404e-06,log
Phi-3 Mini,10800,3600,-0.26457566123258663,0.0653688449365483,5.178361172323484e-05,-0.0006272744260297975,0.00012147083957500562,2.417382212997816e-07,-3715.6253755273733,-3710.3264816987808,0.5706508286504565,-0.013615817786335827,0.19395026393258075,0.1835887306516827,0.24225907552945086,0.007296473056603663,linear
Gemma3 1B,10800,3600,0.060505827285538445,0.06441279204392546,0.34755369613890363,-0.00020914663994108673,0.0001202797644174346,0.08206382566187036,-3894.1033978290943,-3893.021296524555,0.3027178445589589,0.004086572801199629,0.09031409666273446,0.10545098288405004,-0.25133670748759873,0.0007669121528060956,insignificant
GPT-5.4 Nano,10800,3600,-2.3829855609803605,0.10138891047404237,3.7636980023400043e-122,-0.006963204693959436,0.000271590579801665,5.6649354676884644e-145,-2208.193209108336,-2006.1915842747733,0.4412925631314057,0.12239881657411873,2.350906087981849,2.007186088211088,3.0204466883407433,0.013159256961543407,linear
GPT-5.4,10800,3600,-4.911079496164248,0.14518637110995614,8.170986570012074e-251,-0.021132753742220466,0.000660970346659694,2.64555770427166e-224,-2050.9160501453816,-1751.3534406924105,0.7317405262230496,0.3233954018040787,2.0419721608765444,1.39812909134281,2.874589474522404,0.024812263469250178,linear
