model,se_bin,se_pool,se_ratio,b_bin,b_pool,lr_p,has_ternary
Qwen3 8B,0.0784941718076158,0.05399738717100032,0.6879158786889868,-0.5550751080061747,-1.0319567841383261,7.006585189345333e-57,True
DeepSeek-R1 1.5B,0.08030763316888993,0.05111703072454438,0.636515219132948,-0.973917332203027,-0.8283917619820964,8.720822004672298e-07,True
Qwen3 4B,0.09361389031476898,0.06293686463746363,0.6723026297256061,-1.607236257750307,-1.8003911480482642,3.5015702654009194e-20,True
Qwen3 30B-A3B,0.080854204128587,0.05774157547182856,0.7141443799261059,-0.4118722804498929,-1.278931498038096,6.17825659230639e-133,True
Phi-2 2.7B,0.10451212690753833,0.06700326560346051,0.6411051768445796,-0.0515913006011871,-0.07573949800278586,0.004653591621851067,True
DeepSeek-R1 7B,0.08389936118541721,0.05592287038232539,0.6665470343538862,-0.6643917640722977,-1.1569355424686507,1.7839016128691395e-54,True
Phi-3 Mini,0.0919114839142091,0.051783616211990964,0.5634074656038216,-0.4874652316372741,-0.3141281975619797,3.2492390022568685e-82,True
Claude Haiku 4.5,0.17376323719015166,0.17376323719015166,1.0,-4.813362159603452,-4.813362159603452,,False
Gemma3 1B,0.0770641379032848,0.04913864442302603,0.6376330905653528,0.13317908720302432,0.08833122972708106,2.557109554658582e-07,True
GPT-5.4 Nano,0.14107127714310533,0.08048793249695606,0.5705479820339869,-2.4591382996788167,-2.351220634147964,1.1954969665655418e-40,True
GPT-5.4,0.262017508280789,0.1246813806496311,0.47585133324761364,-7.033729981527899,-5.451720936901304,3.6301209112037234e-47,True
GPT-5.4 Mini,0.17305889231889338,0.10508599552790769,0.6072267892150095,-4.593367265978009,-4.445500457614936,0.0037999064729033823,True
Phi-4 Mini,0.10824820773993442,0.06091418524889176,0.5627269635284649,-0.7500667952551247,-0.5800280678813992,5.048160495641728e-37,True
GPT-4.1 Mini,0.20993294524923609,0.10285679856415503,0.48995072422787966,-5.706627957589687,-4.32202502643375,3.8131587632825593e-38,True
Gemma3 27B,0.17068983655014822,0.09153029800638911,0.5362375397172389,-4.407816059271121,-3.6906765953523157,2.9115885536783726e-13,True
Phi-4 14B,0.14218172585381159,0.08322971980646449,0.5853756473039272,-3.2617915070421155,-2.8189124574723365,2.3633869812899134e-25,True
Gemma2 9B,0.21648698512551165,0.11786934793935841,0.5444638987005239,-5.726831397632017,-4.999096333443233,3.266954008190935e-36,True
Gemma3 12B,0.11286279043939978,0.0742770797462368,0.658118406049148,-2.1534817745993102,-2.424118880675206,6.038437585792451e-69,True
Phi-3 Medium,0.11448027361862215,0.07056927274886199,0.6164317267790205,-2.1975890676019314,-2.0025972867760045,3.906502004816987e-13,True
GPT-4.1 Nano,0.1249391032477625,0.07448038454550837,0.5961334971150613,-2.4418164532501825,-2.4208416938709756,1.0647851930308478e-65,True
Llama3.2 3B,0.09282659982373487,0.05892742194425143,0.6348118110126474,-0.9237052156793703,-1.161038143392218,2.1688560527396517e-21,True
Gemma3 4B,0.09425797712901617,0.05918160608622181,0.6278684084766283,-1.341263310673603,-1.1453103388987138,3.378197649819013e-20,True
Mistral-Nemo 12B,0.08893661531024688,0.061049581550353046,0.6864392279533847,-1.3787041200641696,-1.7591166217132213,1.1568791014561608e-15,True
