model,provider,n,first_rate,imbalance,verdict
Qwen3 8B,Alibaba,6237,0.1847041847041847,0.3152958152958153,engaged
DeepSeek-R1 1.5B,DeepSeek,6180,0.1975728155339806,0.3024271844660194,engaged
Qwen3 4B,Alibaba,6074,0.22703325650312808,0.2729667434968719,engaged
Qwen3 30B-A3B,Alibaba,6069,0.22870324600428407,0.27129675399571596,engaged
Phi-2 2.7B,Microsoft,3621,0.2844518088925711,0.2155481911074289,engaged
DeepSeek-R1 7B,DeepSeek,6431,0.29357798165137616,0.20642201834862384,engaged
Phi-3 Mini,Microsoft,6659,0.364469139510437,0.13553086048956298,engaged
Claude Haiku 4.5,Anthropic,3594,0.43433500278241516,0.06566499721758484,engaged
Gemma3 1B,Google,7200,0.4395833333333333,0.060416666666666674,engaged
GPT-5.4 Nano,OpenAI,6368,0.4623115577889447,0.03768844221105527,engaged
GPT-5.4,OpenAI,6324,0.5156546489563567,0.01565464895635671,engaged
GPT-5.4 Mini,OpenAI,6428,0.5213130056004979,0.02131300560049787,engaged
Phi-4 Mini,Microsoft,6638,0.5388671286532088,0.03886712865320885,engaged
GPT-4.1 Mini,OpenAI,6196,0.5602001291155584,0.06020012911555839,engaged
Gemma3 27B,Google,6370,0.5616954474097331,0.061695447409733095,engaged
Phi-4 14B,Microsoft,6439,0.5707407982605994,0.07074079826059942,engaged
Gemma2 9B,Google,6319,0.5875929735717677,0.08759297357176765,engaged
Gemma3 12B,Google,6437,0.6064937082491844,0.10649370824918436,engaged
Phi-3 Medium,Microsoft,6317,0.6078834889979421,0.10788348899794209,engaged
GPT-4.1 Nano,OpenAI,6251,0.6179811230203167,0.11798112302031671,engaged
Llama3.2 3B,Meta,5899,0.6421427360569588,0.14214273605695882,engaged
Gemma3 4B,Google,6535,0.6615149196633512,0.1615149196633512,engaged
Mistral-Nemo 12B,Mistral,6242,0.8072733098365908,0.30727330983659085,engaged
Llama3 8B,Meta,5834,0.8817278025368529,0.3817278025368529,locked-primacy
Llama3.1 8B,Meta,5870,0.8821124361158432,0.3821124361158432,locked-primacy
Qwen3 0.6B,Alibaba,5400,0.9851851851851852,0.48518518518518516,locked-primacy
Mistral 7B,Mistral,9034,0.9954615895505867,0.4954615895505867,locked-primacy
Llama3.2 1B,Meta,5400,1.0,0.5,locked-primacy
Qwen3 1.7B,Alibaba,0,,,no data
