spec,model,brand,coef,se,p
baseline,Qwen3 8B,Hilton,0.028367266494424375,0.08033593227955366,0.724007418487588
baseline,Qwen3 8B,Marriott,0.06983466094308638,0.07030684849022727,0.3205716193515169
baseline,Qwen3 8B,IHG,0.022254155051803653,0.08823594221539914,0.8008772768137477
baseline,Qwen3 8B,Hyatt,0.09236594603557827,0.09739091067111652,0.3429237361385771
baseline,Qwen3 8B,Wyndham,0.01714629690488011,0.18338463287085774,0.925507069955216
baseline,DeepSeek-R1 1.5B,Hilton,-0.0010320746738408779,0.08058108087063139,0.9897810512674015
baseline,DeepSeek-R1 1.5B,Marriott,-0.03972401153170213,0.07076736120539644,0.574570969440348
baseline,DeepSeek-R1 1.5B,IHG,-0.0648228376247798,0.08919811168964518,0.46739210056591773
baseline,DeepSeek-R1 1.5B,Hyatt,0.058951755008149566,0.09769531562475818,0.5462262730876366
baseline,DeepSeek-R1 1.5B,Wyndham,0.10004094913386899,0.17822323065396092,0.5745767889363904
baseline,Qwen3 4B,Hilton,0.11947921930244149,0.08660380638695482,0.16770767465148784
baseline,Qwen3 4B,Marriott,0.07673076960993469,0.07634227230550042,0.3148540500705115
baseline,Qwen3 4B,IHG,-0.04926561268739907,0.09524955245151494,0.6049979083212094
baseline,Qwen3 4B,Hyatt,0.19502766406940136,0.10328480470952836,0.058992225322714274
baseline,Qwen3 4B,Wyndham,0.23171729882131376,0.18830905756642669,0.21850395801246492
baseline,Qwen3 30B-A3B,Hilton,-0.09664638001619595,0.08290425851463046,0.24371192502866434
baseline,Qwen3 30B-A3B,Marriott,-0.015482350595881092,0.07262243770732767,0.8311790567217847
baseline,Qwen3 30B-A3B,IHG,-0.06300151561801477,0.09106253722093896,0.489032228035045
baseline,Qwen3 30B-A3B,Hyatt,-0.04384244138524485,0.10104539838264655,0.6643693748231064
baseline,Qwen3 30B-A3B,Wyndham,-0.0839911909364163,0.19647020448370103,0.6690145234532963
baseline,Phi-2 2.7B,Hilton,0.10489716030642811,0.08988675831279418,0.24321345449052778
baseline,Phi-2 2.7B,Marriott,-0.03432095052607093,0.07866041238691915,0.6626060542153889
