model,in_screen20,n_boot_fail,b_logp,b_logp_ci_lo,b_logp_ci_hi,b_review,b_review_ci_lo,b_review_ci_hi,wtp,wtp_ci_lo,wtp_ci_hi,rank_absb_point,rank_absb_ci_lo,rank_absb_ci_hi,rank_wtp_point,rank_wtp_ci_lo,rank_wtp_ci_hi
GPT-5.4,True,0,-7.023718386901956,-8.083419273153503,-6.290368137487989,3.014255930715156,2.559656118023064,3.620479668426189,107.28846761340233,94.09809751121242,121.24664443031605,1.0,1.0,1.0,19.0,18.0,19.0
Gemma2 9B,True,0,-5.714452944116592,-6.243221113898193,-5.2728982413965415,1.5655939881163468,1.345902278339031,1.7990988176934994,68.49273252517678,58.93873058210403,77.86385389221468,2.0,2.0,3.0,20.0,20.0,20.0
GPT-4.1 Mini,True,0,-5.679632170600266,-6.354014394031323,-5.150699197683853,2.6974827373191053,2.4022585907379415,3.1165140732880476,118.7349222755219,107.7776483667515,131.24668233525185,3.0,2.0,3.0,18.0,17.0,19.0
Claude Haiku 4.5,True,0,-4.747569804186318,-5.283979341421729,-4.308621725341907,2.631931398299644,2.234108328788147,3.1431373103586338,138.59361246141427,122.20806074567811,156.85678211725914,4.0,4.0,6.0,16.0,16.0,17.0
GPT-5.4 Mini,True,0,-4.56218654593201,-5.17780098066665,-4.10813879639034,4.059529937459583,3.5707825510066398,4.693890777991402,222.4552797539245,203.44278114821125,245.76228887389036,5.0,4.0,6.0,12.0,11.0,14.0
Gemma3 27B,True,0,-4.382456914114496,-4.905871412463501,-3.9164266272690087,3.6834790973196343,3.26949846920213,4.18386208513623,210.12637257518284,190.6967207110267,233.19191980505786,6.0,4.0,6.0,13.0,12.0,15.0
Phi-4 14B,True,0,-3.273301045751406,-3.6874448795878845,-2.9359654511380815,2.6399718472626508,2.339165249062314,3.059053322598409,201.62916657858378,180.98433611173076,227.69622679173747,7.0,7.0,7.0,15.0,13.0,15.0
GPT-5.4 Nano,True,0,-2.466873435816733,-2.8627844322518445,-2.1270005462715633,4.937655905924098,4.435013348805197,5.631466177325358,500.396152700203,445.816929271903,571.6764729602664,8.0,8.0,10.0,5.0,3.0,5.0
GPT-4.1 Nano,True,0,-2.4212221364889865,-2.767675154641286,-2.116911729847827,4.040256107354449,3.621260180414035,4.523944712738163,417.1711515504752,376.7535550044483,469.3512830747256,9.0,8.0,10.0,6.0,5.0,8.0
Phi-3 Medium,True,0,-2.1837652757578883,-2.4789847336446584,-1.9446514919317388,2.407546597617888,2.164133336224674,2.7153026950088632,275.6187471639248,240.428735755639,308.90200889745086,10.0,9.0,11.0,10.0,10.0,11.0
Gemma3 12B,True,0,-2.153758774228853,-2.445828128106287,-1.9154264378630406,3.528454448130137,3.1508169270386093,3.9507848808374213,409.56936430746407,366.89628371338296,460.84382451160474,11.0,9.0,11.0,7.0,5.0,8.0
Qwen3 4B,True,0,-1.589970602746639,-1.7975831776121047,-1.406077353228969,0.8099711894213122,0.6932320992697786,0.9404767632751926,127.35631527119196,109.21650590371488,146.68662258625497,12.0,12.0,13.0,17.0,16.0,19.0
Mistral-Nemo 12B,True,0,-1.374769587196374,-1.5425593708195873,-1.2353274762247342,1.1178635168723603,0.9571149340477934,1.3100209341546658,203.2819767187436,179.22882463069573,232.87270056837644,13.0,13.0,14.0,14.0,12.0,15.0
