model,b_logp,b_logp_p,b_d_review_score,b_d_review_score_p,wtp_unit,wtp_100,wtp_250,wtp_600,rank_100,rank_250,rank_600,wtp_linear,rank_linear,rank_shift,fit_form
Phi-4 Mini,-0.7608746748516788,3.404209097422544e-12,3.2607400441427807,2.564857330061728e-122,4.285515278555451,428.5515278555451,1071.3788196388628,2571.3091671332704,1,1,1,2187.682207972031,1,0,tie
Phi-3 Mini,-0.4727385961965546,3.4138559008082775e-07,1.220920631987166,7.085051674934509e-44,2.582654857906997,258.2654857906997,645.6637144767492,1549.592914744198,2,2,2,1636.028097997977,3,1,log
Llama3.2 3B,-0.923749481793792,5.148349617072273e-23,1.9381461513713223,7.042926281948025e-88,2.0981296223384223,209.81296223384223,524.5324055846056,1258.8777734030534,3,3,3,1583.5166308712046,4,1,log
Qwen3 30B-A3B,-0.4026591376646635,7.728319268388949e-07,0.8225245607167874,9.761130738351135e-29,2.042731640183936,204.2731640183936,510.682910045984,1225.6389841103617,4,4,4,2072.949970842344,2,-2,log
GPT-5.4 Nano,-2.466873435816733,9.078198914059868e-68,4.937655905924098,6.690373509157649e-141,2.001584610800812,200.1584610800812,500.396152700203,1200.9507664804871,5,5,5,911.2104490523104,6,1,linear
GPT-4.1 Nano,-2.4212221364889865,5.323524824505875e-83,4.040256107354449,8.287495576189591e-145,1.6686846062019007,166.86846062019006,417.1711515504752,1001.2107637211404,6,6,6,1020.499479117256,5,-1,log
Gemma3 12B,-2.153758774228853,3.270242249924832e-80,3.528454448130137,3.954692055373033e-148,1.6382774572298562,163.8277457229856,409.56936430746407,982.9664743379137,7,7,7,819.0883748922354,7,0,linear
DeepSeek-R1 7B,-0.6686072666804166,2.8641670516728863e-15,0.90967106206892,1.572984134015279e-31,1.360546179202279,136.0546179202279,340.13654480056977,816.3277075213674,8,8,8,716.4619683119527,9,1,log
Gemma3 4B,-1.3264843269719189,2.2323889913884088e-44,1.7886033208502872,4.585930426715032e-75,1.3483787817782118,134.83787817782118,337.09469544455294,809.027269066927,9,9,9,617.1709412396506,11,2,linear
Phi-3 Medium,-2.1837652757578883,1.6854414168424064e-80,2.407546597617888,1.0049998643942589e-99,1.1024749886556993,110.24749886556992,275.6187471639248,661.4849931934195,10,10,10,680.1918526580503,10,0,log
Qwen3 8B,-0.5510289906799104,3.2083796998293487e-12,0.5798672857783981,9.72047574671911e-17,1.0523353500201584,105.23353500201584,263.0838375050396,631.401210012095,11,11,11,768.571983681174,8,-3,log
GPT-5.4 Mini,-4.56218654593201,5.202837466508778e-153,4.059529937459583,5.95052750604721e-142,0.8898211190156979,88.9821119015698,222.4552797539245,533.8926714094188,12,12,12,349.8119601678971,13,1,linear
Gemma3 27B,-4.382456914114496,4.502771490860819e-145,3.6834790973196343,2.6918884065122053e-123,0.8405054903007314,84.05054903007314,210.12637257518284,504.30329418043885,13,13,13,346.2421158936418,15,2,linear
Mistral-Nemo 12B,-1.374769587196374,2.530369690945786e-53,1.1178635168723603,2.3959073907928048e-47,0.8131279068749744,81.31279068749744,203.2819767187436,487.8767441249846,14,14,14,413.6707831018571,12,-2,log
Phi-4 14B,-3.273301045751406,6.515668569683355e-116,2.6399718472626508,9.858468726114094e-94,0.8065166663143352,80.65166663143351,201.62916657858378,483.9099997886011,15,15,15,347.5648092612668,14,-1,linear
Claude Haiku 4.5,-4.747569804186318,1.4191331437339665e-167,2.631931398299644,1.1575828167052444e-97,0.5543744498456571,55.43744498456571,138.59361246141427,332.62466990739426,16,16,16,214.21844027930217,17,1,linear
Qwen3 4B,-1.589970602746639,3.611316730873808e-64,0.8099711894213122,3.68706017262601e-27,0.5094252610847678,50.942526108476784,127.35631527119196,305.6551566508607,17,17,17,330.99147816893566,16,-1,log
GPT-4.1 Mini,-5.679632170600266,5.106591299496375e-161,2.6974827373191053,2.113501524755936e-89,0.47493968910208756,47.49396891020876,118.7349222755219,284.9638134612525,18,18,18,152.60583188116604,18,0,linear
GPT-5.4,-7.023718386901956,9.281162539047015e-157,3.014255930715156,1.3940902322312773e-85,0.4291538704536093,42.91538704536093,107.28846761340233,257.4923222721656,19,19,19,115.01967954996591,19,0,linear
Gemma2 9B,-5.714452944116592,3.3859086074498685e-153,1.5655939881163468,1.0223652633156205e-42,0.2739709301007071,27.397093010070712,68.49273252517678,164.38255806042426,20,20,20,69.74688697163558,20,0,linear
