task_id,task_type,group_id,rep,a_hotel_id,a_name,a_stars,a_neighborhood,a_review_score,a_review_count,a_room_type,a_cancellation_free,a_breakfast_included,a_amenities,a_price,b_hotel_id,b_name,b_stars,b_neighborhood,b_review_score,b_review_count,b_room_type,b_cancellation_free,b_breakfast_included,b_amenities,b_price,c_hotel_id,c_name,c_stars,c_neighborhood,c_review_score,c_review_count,c_room_type,c_cancellation_free,c_breakfast_included,c_amenities,c_price,d_hotel_id,d_name,d_stars,d_neighborhood,d_review_score,d_review_count,d_room_type,d_cancellation_free,d_breakfast_included,d_amenities,d_price,e_hotel_id,e_name,e_stars,e_neighborhood,e_review_score,e_review_count,e_room_type,e_cancellation_free,e_breakfast_included,e_amenities,e_price
1,fiveopt,1,1,2,Pod 39,3,Murray Hill,8.1,2709,Full Bunk Pod (1 bunk bed),1,0,Free WiFi; Rooftop bar; Restaurant,126,27,citizenM New York Bowery,4,Lower East Side,8.6,2983,citizenM King Room (1 king bed),1,0,Free WiFi; Rain shower; Rooftop bar; Smart TV,157,51,Nine Orchard,4,Lower East Side,8.8,725,Deluxe King (1 king bed),0,1,Free WiFi; Restaurant; Spa,376,69,Hampton Inn Manhattan/Times Square South,3,Times Square,8.4,3351,Double Room (2 double beds),1,1,Free WiFi; Breakfast included; Fitness center,275,111,The Westin New York at Times Square,4,Times Square,7.9,4342,Double Room (2 double beds),1,0,Free WiFi; Restaurant; Fitness center; Bar,285
2,fiveopt,2,1,54,The Wall Street Hotel,4,Financial District,8.8,643,Pearl Suite (1 king bed),0,0,Free WiFi; Restaurant; Bar; Fitness center,432,79,DoubleTree by Hilton New York Times Square West,4,Times Square,7.9,3265,Double Room (2 double beds),0,0,Free WiFi; Restaurant; Fitness center,306,116,Hyatt Centric Midtown 5th Avenue New York,4,Midtown,8.4,1882,King Room (1 king bed),1,0,Free WiFi; Fitness center; Restaurant; Bar,328,121,Hyatt Regency Times Square,4,Times Square,7.9,2733,Double Room (2 double beds),1,0,Free WiFi; Fitness center; Restaurant; Bar,234,125,Wyndham New Yorker Hotel,3,Midtown,7.5,4335,King Room (1 king bed),0,0,Free WiFi; Fitness center,230
3,fiveopt,3,1,2,Pod 39,3,Murray Hill,8.2,2854,Queen Pod (1 queen bed),0,0,Free WiFi; Rooftop bar; Restaurant,82,16,Broadway Plaza Hotel,3,Upper West Side,9.3,2106,Studio (1 queen bed),0,0,Free WiFi; Kitchenette,152,20,SpringHill Suites by Marriott Midtown Manhattan,3,Midtown,8.0,3068,Suite (1 king bed),0,1,Free WiFi; Breakfast; Fitness center,166,98,Courtyard by Marriott New York Manhattan/Upper East Side,3,Upper East Side,8.2,1260,Double Room (2 double beds),0,0,Free WiFi; Fitness center; Restaurant,342,130,The Jane Hotel,2,West Village,7.2,2305,Standard Cabin (1 twin bed),0,0,Free WiFi; Bar; Ballroom,140
4,fiveopt,4,1,6,Hotel Wolcott,2,Midtown,7.6,1449,Standard Double (2 double beds),0,0,Free WiFi; Fitness center,87,134,Pod Brooklyn,3,"Williamsburg, Brooklyn",8.1,848,King Pod (1 king bed),0,0,Free WiFi; Rooftop bar,129,150,The Peninsula New York,5,Midtown,9.3,893,Superior King (1 king bed),1,0,Free WiFi; Fitness center; Restaurant; Bar; Spa; Pool,1277,156,The Hoxton Williamsburg,4,"Williamsburg, Brooklyn",8.5,943,King Room (1 king bed),1,0,Free WiFi; Restaurant; Rooftop bar,249,171,New York Marriott Marquis,4,Times Square,7.9,8977,Double Room (2 double beds),1,0,Free WiFi; Restaurant; Bar; Fitness center; Theater,262
5,fiveopt,5,1,38,Casablanca Hotel by Library Hotel Collection,4,Theater District,9.3,1525,Deluxe King (1 king bed),1,1,Free WiFi; Continental breakfast; 24-hour refreshments,396,104,Residence Inn New York Manhattan/Midtown East,3,Midtown East,8.3,1485,Studio Suite (1 king bed),0,1,Free WiFi; Breakfast included; Kitchen; Fitness center,338,128,La Quinta Inn & Suites New York Times Square South,2,Midtown,7.0,1559,King Room (1 king bed),0,1,Free WiFi; Breakfast,128,152,Arlo Midtown,3,Times Square,8.1,1817,King Room (1 king bed),1,0,Free WiFi; Rooftop bar; Restaurant,146,155,Walker Hotel Tribeca,4,TriBeCa,8.4,487,Queen Room (1 queen bed),1,0,Free WiFi; Restaurant,365
6,fiveopt,6,1,14,Margaritaville Resort Times Square,3,Midtown West,7.9,2247,Standard Double (2 double beds),0,0,Free WiFi; Pool; Bar; Restaurant,85,18,The Lucerne Hotel,3,Upper West Side,8.4,2509,Deluxe King (1 king bed),0,1,Free WiFi; Restaurant; Fitness center,201,57,Sofitel New York,5,Midtown,8.5,2617,Luxury King (1 king bed),0,0,Free WiFi; Restaurant; Spa; Fitness center,343,143,1 Hotel Brooklyn Bridge,4,Brooklyn Heights,8.6,1739,King Room (1 king bed),0,0,Free WiFi; Rooftop pool; Restaurant; Spa,329,172,New York Marriott Downtown,4,Financial District,7.8,2951,King Room (1 king bed),0,0,Free WiFi; Fitness center; Restaurant,389
7,fiveopt,7,1,43,Arlo NoMad,4,NoMad,7.9,2790,Queen Room (1 queen bed),1,0,Free WiFi; Rooftop bar; Restaurant,198,114,Sheraton Brooklyn New York Hotel,4,Downtown Brooklyn,7.9,1504,Double Room (2 double beds),0,0,Free WiFi; Restaurant; Fitness center; Pool,299,146,Mandarin Oriental New York,5,Upper West Side,9.1,1064,Hudson River View King (1 king bed),0,0,Free WiFi; Fitness center; Restaurant; Bar; Spa; Pool,938,147,"The Pierre, A Taj Hotel",5,Upper East Side,8.6,1290,Deluxe King (1 king bed),1,0,Free WiFi; Fitness center; Restaurant; Bar; Spa,804,165,Hotel Le Bleu,3,"Park Slope, Brooklyn",8.0,472,Queen Room (1 queen bed),0,0,Free WiFi; Restaurant,162
8,fiveopt,8,1,26,Hyatt House New York/Chelsea,3,Chelsea,8.3,1972,One-Bedroom Suite (1 king bed),1,0,Free WiFi; Kitchen; Fitness center; Breakfast,249,33,MADE Hotel,4,Midtown,8.7,1806,King Room (1 king bed),0,0,Free WiFi; Rooftop bar; Allergy-free rooms,192,38,Casablanca Hotel by Library Hotel Collection,4,Theater District,9.1,1490,Classic Queen (1 queen bed),0,1,Free WiFi; Continental breakfast; 24-hour refreshments,435,56,The Knickerbocker,5,Times Square,8.9,1839,Deluxe King (1 king bed),0,0,Free WiFi; Restaurant; Rooftop bar; Fitness center,255,129,Best Western Plus Hospitality House Suites,3,Midtown East,7.9,1288,One-Bedroom Suite (1 king bed),0,0,Free WiFi; Kitchen; Fitness center,197
9,fiveopt,9,1,9,MOXY NYC Times Square,3,Times Square,8.0,4512,King Room (1 king bed),0,0,Free WiFi; Fitness center; Bar,130,37,NobleDEN Hotel,4,Little Italy,9.3,954,Deluxe King (1 king bed),0,0,Free WiFi; Restaurant,201,61,The Whitby Hotel,5,Upper Midtown,9.4,911,Superior King with Terrace (1 king bed),0,0,Free WiFi; Restaurant; Screening room; Gym,634,63,Baccarat Hotel and Residences New York,5,Midtown,9.2,615,Grand King (1 king bed),1,0,Free WiFi; Spa; Pool; Restaurant; Bar,840,115,Hyatt Grand Central New York,4,Midtown East,7.9,3360,Double Room (2 double beds),0,0,Free WiFi; Fitness center; Restaurant,276
10,fiveopt,10,1,18,The Lucerne Hotel,3,Upper West Side,8.2,2405,Classic Queen (1 queen bed),0,1,Free WiFi; Restaurant; Fitness center,194,40,Hard Rock Hotel New York,4,Midtown,8.3,1844,King Room (1 king bed),0,0,Free WiFi; Restaurant; Fitness center; Bar,353,54,The Wall Street Hotel,4,Financial District,8.6,624,Pearl Suite (1 king bed),0,0,Free WiFi; Restaurant; Bar; Fitness center,377,65,The William Vale,5,"Williamsburg, Brooklyn",8.7,2344,Vale King with Balcony (1 king bed),1,0,Free WiFi; Rooftop pool; Restaurant; Fitness center,550,157,Hotel Hugo,4,SoHo,8.1,1192,Queen Room (1 queen bed),1,0,Free WiFi; Rooftop bar; Restaurant,369
