task_id,task_type,group_id,rep,a_hotel_id,a_name,a_stars,a_neighborhood,a_review_score,a_review_count,a_room_type,a_cancellation_free,a_breakfast_included,a_amenities,a_price,b_hotel_id,b_name,b_stars,b_neighborhood,b_review_score,b_review_count,b_room_type,b_cancellation_free,b_breakfast_included,b_amenities,b_price,c_hotel_id,c_name,c_stars,c_neighborhood,c_review_score,c_review_count,c_room_type,c_cancellation_free,c_breakfast_included,c_amenities,c_price
1,binary,1,1,1,Pod 51,2,Midtown East,7.8,5602,Full Pod (1 twin bed),0,0,Free WiFi; Air conditioning,89,30,Courtyard by Marriott Manhattan/Central Park,4,Midtown,8.2,2793,King Room (1 king bed),1,0,Free WiFi; Fitness center; Restaurant,303,,,,,,,,,,,
5,binary,2,1,1,Pod 51,2,Midtown East,8.0,5244,Full Pod (1 twin bed),0,0,Free WiFi; Air conditioning,114,42,Virgin Hotels New York City,4,NoMad,8.7,937,Chamber King (1 king bed),0,0,Free WiFi; Restaurant; Rooftop bar; Fitness center,214,,,,,,,,,,,
9,binary,3,1,1,Pod 51,2,Midtown East,7.8,4732,Full Pod (1 twin bed),0,0,Free WiFi; Air conditioning,82,67,Equinox Hotel New York,5,Hudson Yards,8.9,911,King Room (1 king bed),0,0,Free WiFi; Rooftop pool; Spa; Fitness center; Restaurant,783,,,,,,,,,,,
13,binary,4,1,1,Pod 51,2,Midtown East,7.7,5494,Queen Pod (1 queen bed),0,0,Free WiFi; Air conditioning,112,110,The Westin New York Grand Central,4,Midtown East,8.0,2895,King Room (1 king bed),0,1,Free WiFi; Restaurant; Fitness center; Heavenly Bed,371,,,,,,,,,,,
17,binary,5,1,2,Pod 39,3,Murray Hill,8.0,2699,Queen Pod (1 queen bed),1,0,Free WiFi; Rooftop bar; Restaurant,106,27,citizenM New York Bowery,4,Lower East Side,8.7,3186,citizenM King Room (1 king bed),1,0,Free WiFi; Rain shower; Rooftop bar; Smart TV,241,,,,,,,,,,,
21,binary,6,1,2,Pod 39,3,Murray Hill,7.9,2644,Full Bunk Pod (1 bunk bed),1,0,Free WiFi; Rooftop bar; Restaurant,95,28,citizenM New York Times Square,4,Times Square,8.5,2934,citizenM King Room (1 king bed),0,0,Free WiFi; Soundproof rooms; Rain shower; Smart TV,150,,,,,,,,,,,
25,binary,7,1,2,Pod 39,3,Murray Hill,7.9,2687,Full Bunk Pod (1 bunk bed),0,0,Free WiFi; Rooftop bar; Restaurant,107,149,Lotte New York Palace,5,Midtown East,8.4,2158,Deluxe King (1 king bed),0,1,Free WiFi; Fitness center; Restaurant; Bar; Spa,481,,,,,,,,,,,
29,binary,8,1,2,Pod 39,3,Murray Hill,7.8,2778,Queen Pod (1 queen bed),0,0,Free WiFi; Rooftop bar; Restaurant,127,173,"The Lexington Hotel, Autograph Collection",4,Midtown East,8.2,2752,King Room (1 king bed),1,0,Free WiFi; Fitness center; Restaurant; Bar,285,,,,,,,,,,,
33,binary,9,1,3,Now Now NoHo,2,NoHo,7.6,807,Double Pod (1 double bed),0,0,Free WiFi; Shared lounge,116,21,Courtyard by Marriott Times Square West,3,Midtown West,8.1,2368,King Room (1 king bed),1,0,Free WiFi; Restaurant; Fitness center,173,,,,,,,,,,,
37,binary,10,1,3,Now Now NoHo,2,NoHo,7.5,814,Pod Room (1 single bed),1,0,Free WiFi; Shared lounge,131,43,Arlo NoMad,4,NoMad,8.0,2574,Queen Room (1 queen bed),0,0,Free WiFi; Rooftop bar; Restaurant,290,,,,,,,,,,,
